cnpj,rating_document_count,latest_document_id,latest_document_date,rating_agency,rating_assigned,rating_scope,rating_availability_status,rating_limitation
49920525000134,13,1092921,30/09/2025,Fitch Ratings,AA+sf(bra) | BBBsf(bra),Sênior | mezanino A.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
50098465000103,9,963056,30/06/2025,Moody's Local,WR,Sênior série 1 e mezanino série 1 retirados em 28/07/2025.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
24761946000139,24,718040,17/07/2024,Fitch Ratings,PIFsf(bra),Documento informa pagamento integral da obrigação classificada.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
50440392000188,2,1198261,14/05/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
54979779000168,8,1192923,31/03/2026,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
47228232000165,3,505515,30/06/2023,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
32321307000180,3,617829,29/12/2023,Liberum Ratings,CCC(FE),Cota única; perspectiva estável.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
52256912000122,11,1245715,05/06/2026,Austin Rating,brAAA(sf),Cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
57609282000146,5,1204281,15/05/2026,Moody's Local,AAA.br(sf) | BBB.br(sf),Sênior série 1 | mezanino série 1.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
55471753000177,8,1185561,06/05/2026,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
28169275000172,18,971677,30/06/2025,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
57028406000108,4,1048523,25/11/2025,Austin Rating,brAA(sf),1ª série de cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
54218673000141,2,1048510,26/11/2025,Moody's Local,AAA.br(sf),Sênior série 1.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
60356171000180,4,1204286,15/05/2026,Moody's Local,AAA.br(sf) | AA+.br(sf),Sênior séries 1 e 2 | mezanino 1 série 1.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
60528786000146,4,1199880,13/05/2026,Moody's Local,AAA.br(sf),Sênior série 1.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
56924942000110,5,1126828,11/02/2026,Austin Rating,brA(sf),"6ª, 11ª, 14ª, 17ª, 25ª e 27ª séries seniores.",documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
17250006000110,32,1241140,06/07/2026,S&P Global Ratings,brAA (sf),Séries seniores classificadas no documento mais recente.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
62393679000183,4,1195777,31/03/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
63572282000111,1,1242099,01/07/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
62393829000159,1,1153844,19/01/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
44302112000172,5,722623,28/06/2024,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
