regra,cnpj_fundo,nome_fidc,competencias_afetadas,pl_max,classificacao_atual,classificacao_potencial,motivo,evidencia,acao_sugerida
emissor_com_evidencia_de_credenciadora,52256912000122,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,"2026-03, 2026-04, 2026-05, 2026-06",2664242875.65,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,Adquirência / recebíveis de arranjo de pagamento,"Classificado como cartão de crédito com risco de emissor, mas a evidência descreve credenciadora ou subadquirente.","Os direitos creditórios são detidos pela credenciadora/cedente contra bancos emissores de cartões, no fluxo financeiro dos arranjos de pagamento.",revisar manualmente
emissor_com_evidencia_de_credenciadora,40906126000144,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CIELO EMISSORES I,"2023-11, 2023-12, 2024-01, 2024-02",2500893083.17,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,Adquirência / recebíveis de arranjo de pagamento,"Classificado como cartão de crédito com risco de emissor, mas a evidência descreve credenciadora ou subadquirente.","Os direitos creditórios são detidos pela credenciadora/cedente contra bancos emissores de cartões, no fluxo financeiro dos arranjos de pagamento.",revisar manualmente
emissor_com_evidencia_de_credenciadora,43616756000172,FIDC - BANCOS EMISSORES DE CARTÃO DE CRÉDITO - STONE IV - RESPONSABILIDADE LIMITADA,"2024-09, 2024-10, 2024-11, 2024-12",2360023358.95,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,Adquirência / recebíveis de arranjo de pagamento,"Classificado como cartão de crédito com risco de emissor, mas a evidência descreve credenciadora ou subadquirente.","Os direitos creditórios são detidos pela credenciadora/cedente contra bancos emissores de cartões, no fluxo financeiro dos arranjos de pagamento.",revisar manualmente
multicarteira_com_classificacao_especifica,40801446000130,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,"2026-03, 2026-04, 2026-05, 2026-06",2202074010.33,"Agro, Indústria e Comércio | Recebíveis Comerciais | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial","Agro, Indústria e Comércio / Multicarteira","A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 1220023 p. 43 [recebíveis comerciais / multissetorial]: ITOS CREDITORIOS EMITIDOS EM CARACTERES DE COMPUTADOR – A CLASSE UNICA PODE ADQUIRIR DIREITOS CREDITORIOS FORMALIZADOS POR MEIO DE CARACTERES EMITIDOS EM COMPUTADOR, DENTRE ELES A DUPLICATA DIGITAL. ESSA E UMA MODALIDADE RECENTE DE TITULO QUE SE CARACTERIZA PELA EMISSAO EM MEIO MAGNETICO, OU SEJA, NAO HA A EMIS SAO DO DIREITO CREDITORIO EM PAPEL. NO CASO DE INADIMPLEMENTO, TAL MODALIDADE PODE DIFICULTAR ACAO DE EXECUCAO DO RESPECTIVO DIREITO CREDITORIO, UMA VEZ QUE NAO EXISTE UM ENTE NDIMENTO UNIFORME DA",revisar manualmente
multicarteira_com_classificacao_especifica,11375619000105,CJP FIDC-NP CRÉDITOS JUDICIAIS E PRECATÓRIOS,"2026-03, 2026-04, 2026-05, 2026-06",1410653436.4,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,Outros / Multicarteira,"A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 1096164 p. 1 [precatórios e requisitórios contra entes públicos]: +55 21 3500-4500 +55 51 2313-0206 RJICORRETORA.COM.BR RJIGESTORA.COM.BR 1 REGULAMENTO DO CJP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS – CREDITOS JUDICIAIS E PRECATORIOS CNPJ NO 11.375.619/0001-05 CAPITULO I DAS DISPOSICOES GERAIS APLICADAS NO FUNDO ARTIGO 1O O CJP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS – CREDITOS JUDICIAIS E PRECATORIOS, E CONSTITUIDO SOB A FORMA DE CONDOMINIO FECHADO, EM COMUNHAO DE RECURSOS QUE DESTINA PARCELA PREPONDERANTE DO RESPECTIVO PAT || CEDENTE/ORIGINADOR: regulamento 1096164 p. 23: CEDENTE E PELO CESSIONARIO, SENDO QUE AS COTAS DO FUNDO SOMENTE PODERAO SER TRANSFERIDAS SE ESTIVEREM INTEGRALIZADAS OU, CASO NAO ESTEJAM, SE O CESSIONARIO ASSUMIR, POR ESCRITO, SOLIDARIAMEN",revisar manualmente
aprovado_sem_evidencia_suficiente,55595137000128,JIF II CRÉDITOS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO,"2026-03, 2026-04, 2026-05, 2026-06",1392414547.58,Financeiro | Multicarteira Financeiro | Financeiro | Multissetorial / Outros | Multicarteira financeiro,em revisão até haver leitura documental,"Decisão aprovada com evidência de 114 caracteres, abaixo do mínimo de 120.",Informe Mensal Estruturado 2026-06: segmento Financeiro = 97% da carteira de direitos creditórios reportada à CVM.,revisar manualmente
multicarteira_com_classificacao_especifica,23006061000161,MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"2026-03, 2026-04, 2026-05, 2026-06",1385982478.15,"Agro, Indústria e Comércio | Recebíveis Comerciais | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial","Agro, Indústria e Comércio / Multicarteira","A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 772139 p. 15 [recebíveis comerciais / multissetorial]: RIOS, RELATIVOS AOS DIREITOS CREDITORIOS ADQUIRIDOS PELO FUNDO, SERAO REALIZADOS CONFORME PROCEDIMENTOS DESCRITOS A SEGUIR: 6.2.1 NO CASO DE DIREITOS CREDITORIOS REPRESENTADOS POR DUPLICATAS: A) AS DUPLICATAS DEVERAO SER ELETRONICAS E ENDOSSADAS POR MEIO DE ASSINATURA DIGITAL, PELOS CEDENTES AO FUNDO; B) A VERIFICACAO E A GUARDA DAS DUPLICATAS ELETRONICAS SERAO REALIZADAS, DE FORMA INDIVIDUALIZADA, PELO CUSTODIANTE, NA DATA DA CESSAO DOS DIREITOS CREDITORIOS POR ELAS REPRESENTADOS; E CLICKSIGN 1C3B8390-49 || CEDENTE/ORIGINADOR: regulamento 772139 p. 50: CEDENTE E E DEVEDORA DO DIREITO CREDITORIO CEDIDO DIA UTIL QUALQUER DIA QUE NAO SEJA SABADO, DOMINGO OU FERIADO NACIONAL OU, AINDA, DIAS EM QUE, POR QUALQUER MOTIVO, NAO HOUVER EXPEDIENTE BA",revisar manualmente
multicarteira_com_classificacao_especifica,62681110000113,ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"2026-03, 2026-04, 2026-05, 2026-06",1337788554.49,"Agro, Indústria e Comércio | Crédito Corporativo | Financeiro | Crédito PJ | Crédito privado/mercado de capitais","Agro, Indústria e Comércio / Multicarteira","A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","Informe Mensal Estruturado 2026-06: segmento Financeiro = 100% da carteira de direitos creditórios reportada à CVM. regulamento 1023671 p. 53 [créditos inadimplidos / NPL]: OU A REALIZACAO DOS DIREITOS DE CREDITO PODERA SER ADVERSAMENTE AFETADA, PREJUDICANDO O DESEMPENHO DA CLASSE. 17.1.17. RISCO DE COBRANCA . O INSUCESSO NA COBRANCA DOS DIREITOS DE CREDITO INADIMPLIDOS PODERA ACARRETAR PERDAS PARA A CLASSE E SEUS COTISTAS. 17.1.18. RISCO REFERENTE A VERIFICACAO DO LASTRO POR AMOSTRAGEM. O GESTOR REALIZARA AUDITORIA PERIODICA, POR AMOSTRAGEM, NOS DIREITOS DE CREDITO, DE FORMA A VERIFICAR A REGULARIDADE DOS DOCUMENTOS COMPROBATORIOS E DA TRANSFERENCIA REALIZADA, CONFORME PROCEDIMENTOS | regulamento 1023671 p. 54 [receitas e dívidas do poder público]: OS CEDENTES, QUANDO DA FORMALIZACAO DA TRANSFERENCIA DE CREDITOS, SENDO SUJEITOS PASSIVOS POR DEBITO PARA COM A FAZ ENDA PUBLICA, POR CREDITO TRIBUTARIO REGULARMENTE INSCRITO COMO DIVIDA ATIVA, NAO DISPUSEREM DE BENS PARA TOTAL PAGAMENTO DA DIVIDA FISCAL. OUTROS RISCOS 17.1.20. RISCOS E CUSTOS DE COBRANCA. OS CUSTOS INCORRIDOS COM OS PROCEDIMENTOS JUDICIAIS OU EXTRAJUDICIAIS NECESSARIOS A COBRANCA E A SALVAGUARDA DOS DIREITOS DA CLASSE ",revisar manualmente
emissor_com_evidencia_de_credenciadora,44770267000133,FIDC - BANCOS EMISSORES DE CARTÃO DE CRÉDITO V - RESPONSABILIDADE LIMITADA,"2025-02, 2025-03, 2025-04, 2025-05",1103431533.66,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,Adquirência / recebíveis de arranjo de pagamento,"Classificado como cartão de crédito com risco de emissor, mas a evidência descreve credenciadora ou subadquirente.","Os direitos creditórios são detidos pela credenciadora/cedente contra bancos emissores de cartões, no fluxo financeiro dos arranjos de pagamento.",revisar manualmente
emissor_com_evidencia_de_credenciadora,43911620000195,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR II - RESPONSABILIDADE LIMITADA,"2024-09, 2024-10, 2024-11, 2024-12",1096671143.86,Financeiro | Cartão de crédito | Cartão de crédito | Meios de Pagamento e Cartões | Banco emissor/cartão de crédito,Adquirência / recebíveis de arranjo de pagamento,"Classificado como cartão de crédito com risco de emissor, mas a evidência descreve credenciadora ou subadquirente.","Os direitos creditórios são detidos pela credenciadora/cedente contra bancos emissores de cartões, no fluxo financeiro dos arranjos de pagamento.",revisar manualmente
multicarteira_com_classificacao_especifica,17024362000115,EXP 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,"2026-03, 2026-04, 2026-05, 2026-06",1001151211.75,"Agro, Indústria e Comércio | Recebíveis Comerciais | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial","Agro, Indústria e Comércio / Multicarteira","A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","Informe Mensal Estruturado 2026-06: segmento Comercial = 100% da carteira de direitos creditórios reportada à CVM. regulamento 1164788 p. 29 [recebíveis comerciais / multissetorial]: OS OU NA PRESTACAO DE SERVICOS, CUJA EXISTENCIA, VALIDADE E EXEQUIBILIDADE QUE INDEPENDAM DE PRESTACAO FUTURA, PORTANTO, SAO CREDITOS JA PERFORMADOS, PODENDO SER REPRESENTADOS POR DUPLICATAS, CHEQUES OU POR QUAISQUER OUTROS TITULOS DE CREDITO OU INSTRUMENTOS CONTRATUAIS OS DIREITOS CREDITORIOS PODEM POSSUIR AS SEGUINTES CARACTERISTICAS: (I) ESTAR VENCIDOS E PENDENTES DE PAGAMENTO QUANDO DA CESSAO; (II) DECORRER DE RECEITAS PUBLICAS ORIGINARIAS OU DERIVADAS DA UNIAO, DOS ESTADOS, DO DISTRITO FEDERAL E DOS | regulamento 1164788 p. 29 [créditos inadimplidos / NPL]: NTADOS POR DUPLICATAS, CHEQUES OU POR QUAISQUER OUTROS TITULOS DE CREDITO OU INSTRUMENTOS CONTRATUAIS OS DIREITOS CREDITORIOS PODEM POSSUIR AS SEGUINTES CARACTERISTICAS: (I) ESTAR VENCIDOS E PENDENTES DE PAGAMENTO QUANDO DA CESSAO; (II) DECORRER DE RECEITAS PUBLICAS ORIGINARIAS OU DERIVADAS DA UNIAO, DOS ESTADOS, DO DISTRITO FEDERAL E DOS MUNICIPIOS, BEM COMO DE SUAS AUTARQUIAS E FUNDACOES; (III) RESULTAR DE ACOES JUDICIAIS OU PROCEDIMENTOS ARB",revisar manualmente
multicarteira_com_classificacao_especifica,29043573000184,MALTA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,"2026-03, 2026-04, 2026-05, 2026-06",914261696.13,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,Outros / Multicarteira,"A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 686335 p. 30 [precatórios e requisitórios contra entes públicos]: TORIOS 11.21 NOS PROCESSOS DE EXECUCAO SUJEITOS AS REGRAS DE EXECUCAO CONTRA A FAZENDA PUBLICA, VIA DE REGRA, O PAGAMENTO DOS DIREITOS CREDITORIOS SE DARA POR MEIO DA EXPEDICAO DE PRECATORIO, DEVENDO SER ENCAMINHADO O OFICIO REQUISITORIO DA INSCRICAO NO ORCAMENTO PARA PAGAMENTO DOS MONTANTES NO EXERCICIO SEGUINTE. NOS CASOS EM QUE O S PRECATORIOS RELATIVOS AOS DIREITOS CREDITORIOS JA TIVEREM SIDO EXPEDIDOS QUANDO DA SUA AQUISICAO PELA CLASSE, DEVERA SER SOLICITADO A CADA JUIZ COMPETENTE, BEM COMO NO SETOR || CEDENTE/ORIGINADOR: regulamento 686335 p. 35: CNPJ DA CEDENTE",revisar manualmente
aprovado_sem_evidencia_suficiente,53293984000102,SERENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"2026-03, 2026-04, 2026-05, 2026-06",865057055.5,Financeiro | Multicarteira Financeiro | Financeiro | Multissetorial / Outros | Multicarteira financeiro,em revisão até haver leitura documental,"Decisão aprovada com evidência de 115 caracteres, abaixo do mínimo de 120.",Informe Mensal Estruturado 2026-06: segmento Financeiro = 100% da carteira de direitos creditórios reportada à CVM.,revisar manualmente
multicarteira_com_classificacao_especifica,35880735000131,DJF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,"2026-03, 2026-04, 2026-05, 2026-06",859509823.24,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,Outros / Multicarteira,"A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 787833 p. 5 [precatórios e requisitórios contra entes públicos]: TFOLIO, OS OUTROS ATIVOS E OS ATIVOS RECUPERADOS, QUANDO REFERIDOS EM CONJUNTO, EXCLUINDO-SE OS ATIVOS EXCLUIDOS; “ATIVOS DISTRESSED”: CADA UM DOS SEGUINTES ATIVOS DETIDOS: (I) OS PRECATORIOS E PRE-PRECATORIOS; (II) AS ACOES E DEMANDAS; (III) OS CREDITOS CORPORATE; E (IV) OS OUTROS ATIVOS DISTRESSED, SENDO CERTO QUE ATIVOS DISTRESSED NAO DEVERAO INCLUIR, EM QUALQUER HIPOTESE, OS ATIVOS EXCLUIDOS; DOCUSIGN ENVELOPE ID: AB7D77D4-0B3E-4AC2-A39C-08E2628C3D73 || CEDENTE/ORIGINADOR: regulamento 787833 p. 6: CEDENTES”: PESSOA JURIDICA, IDENTIFICADA PELO SEU NUMERO DE INSCRICAO NO CNPJ/MF, OU PESSOA NATURAL, IDENTIFICADA PELO SEU NUMERO DE INSC",revisar manualmente
aprovado_sem_evidencia_suficiente,15675220000192,MP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"2026-03, 2026-04, 2026-05, 2026-06",850169083.97,Financeiro | Multicarteira Financeiro | Financeiro | Multissetorial / Outros | Multicarteira financeiro,em revisão até haver leitura documental,"Decisão aprovada com evidência de 115 caracteres, abaixo do mínimo de 120.",Informe Mensal Estruturado 2026-06: segmento Financeiro = 100% da carteira de direitos creditórios reportada à CVM.,revisar manualmente
multicarteira_com_classificacao_especifica,32321306000136,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,"2026-03, 2026-04, 2026-05, 2026-06",834351094.89,"Agro, Indústria e Comércio | Recebíveis Comerciais | Comercial | Crédito PJ | Recebíveis comerciais/multissetorial","Agro, Indústria e Comércio / Multicarteira","A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 969665 p. 45 [recebíveis comerciais / multissetorial]: O DE DIREITOS CREDITORIOS EMITIDOS EM CARACTERES DE COMPUTADOR: O FUNDO PODE ADQUIRIR DIREITOS CREDITORIOS FORMALIZADOS ATRAVES DE CARACTERES EMITIDOS EM COMPUTADOR, DENTRE ELES A DUPLICATA DIGITAL. ESSA E UMA MODALIDADE RECENTE DE TITULO CAMBIARIO QUE SE CARACTERIZA PELA EMISSAO EM MEIO MAGNETICO, OU SEJA, NAO HA A EMISSAO DA DUPLICATA EM PAPEL. NAO EXISTE UM ENTENDIMENTO UNIFORME DA DOUTRINA, BEM COMO DA JURISPRUDENCIA BRASILEIRA QUANTO A POSSIBILIDADE DO ENDOSSO VIRTUAL, ISTO PORQUE A DUPLICATA POSSUI | regulamento 969665 p. 25 [fomento mercantil / factoring]: LUCIO COSTA , NO 2.900 – APT. 402, BARRA DA TIJUCA, RIO DE JANEIRO – RJ, CEP 22.620-172. O FUNDO CONTA COM AGENTE DE COBRANCA: SIM QUALIFICACAO AGENTE DE COBRANCA: MALE FACTORING FOMENTO MERCANTIL LTDA., COM SEDE NA CIVITA, 66, BLOCO 1 - SALA 402, JACAREPAGUA, RIO DE JANEIRO, INSCRITA NO CNPJ SOB O NO 28.388.948/0001-85. O FUNDO CONTA COM ESCRITORIO DE ADVOCACIA SIM QUALIFICACAO DO ESCRITORIO DE ADVOCACIA DARMONT ADVOGADOS, COM SEDE NA RUA GOMES DE CARVALHO, NO 921, VILA OLIMPIA, CIDADE SAO PAULO, ESTADO DE SAO",revisar manualmente
multicarteira_com_classificacao_especifica,47463381000109,PCS II PRINCIPAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,"2026-03, 2026-04, 2026-05, 2026-06",651227911.41,Outros | Poder Público | Ações judiciais | Judicial/Precatórios/NPL | Precatórios/direitos judiciais,Outros / Multicarteira,"A evidência descreve carteira diversificada, mas a decisão fixa um segmento específico sem declarar predominância.","regulamento 1117764 p. 16 [precatórios e requisitórios contra entes públicos]: IO. DESSA FORMA, O FUNDO PODERA ENCONTRAR DIFICULDADES PARA REALIZAR A EXECUCAO JUDICIAL DOS DIREITOS CREDITORIOS REPRESENTADOS POR DUPLICATAS DIGITAIS. XX. RISCOS NA AQUISICAO DE PRECATORIOS : A CLASSE A PODE APLICAR SEUS RECURSOS EM DIREITOS CREDITORIOS ORIUNDOS DE PRECATORIOS. NO ENTANTO, PELA SUA PROPRIA NATUREZA, A APLICACAO EM PRECATORIOS APRESENTA PECULIARIDADES EM RELACAO AS APLICACOES USUAIS DA MAIORIA DOS FUNDOS DE INVESTIMENTO. NAO EXISTE, NO BRASIL, POR EXEMPLO, MERCADO ATIVO PARA COMPRA E VEND | regulamento 1117764 p. 16 [recebíveis comerciais / multissetorial]: REITOS CREDITORIOS, OS RESULTADOS DO FUNDO PODERAO SER AFETADOS NEGATIVAMENTE. XIX. RISCO DE EXECUCAO DE DIREITOS CREDITORIOS EMITIDOS EM CARACTERES DE COMPUTADOR NA MODALIDADE DE DUPLICATAS DIGITAL : A CLASSE PODE ADQUIRIR DIREITOS CREDITORIOS FORMALIZADOS ATRAVES DE DUPLICATAS DIGITAIS. ESSA E UMA MODALIDADE RECENTE DE TITULO CAMBIARIO QUE SE CARACTERIZA PELA EMISSAO EM MEIO MAGNETICO, OU SEJA, NAO HA A EMISSAO DA DUPLICATA EM PAPEL. NAO EXISTE UM ENTENDIMENTO UNIFORME DA DOUTRINA COMO DA JURISPRUDENCIA || CEDENTE/ORIGINADOR: regul",revisar manualmente
