cnpj_fundo,documento_id_regulamento,documento_data_regulamento,pagina_clausula,paginas_lidas,status_curadoria_documental,observacao_documental,subordinacao_minima_junior_pct,subordinacao_minima_junior_display,subordinacao_minima_texto,subordinacao_minima_fonte
53337453000174,683618,2024-06-19,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 683618; referência 2024-06-19; cláusulas candidatas revisadas
58148845000109,877220,2025-04-07,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 877220; referência 2025-04-07; cláusulas candidatas revisadas
65839682000176,1201421,2026-05-20,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1201421; referência 2026-05-20; cláusulas candidatas revisadas
54464892000100,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
62010175000137,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
63848380000139,1068666,2025-12-18,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1068666; referência 2025-12-18; cláusulas candidatas revisadas
62393679000183,1117954,2026-02-19,p. 162–166,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",,"1,0% até D+180; 2,5% após D+180","Cotas subordinadas júnior / PL: 1,0% até D+180 e 2,5% após D+180; condição temporal preservada.",FundosNet/B3; documento 1117954; referência 2026-02-19; p. 162–166
60356171000180,993687,2025-09-04,p. 112–113; apêndice Mezanino B,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",2.5,"2,5%","Cotas subordinadas júnior / PL, mínimo de 2,5%.",FundosNet/B3; documento 993687; referência 2025-09-04; p. 112–113; apêndice Mezanino B
54218673000141,1072697,2025-12-23,"p. 90; Suplemento 1, definição “Índice de Subordinação”",integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",2.5,"2,5%","Cotas subordinadas / PL, razão mínima de 2,5%; a estrutura não tem mezanino no regulamento lido.","FundosNet/B3; documento 1072697; referência 2025-12-23; p. 90; Suplemento 1, definição “Índice de Subordinação”"
54218941000125,1072783,2025-12-22,"p. 90; Suplemento 1, definição “Índice de Subordinação”",integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",3.0,"3,0%","Cotas subordinadas / PL, razão mínima de 3,0%; a estrutura não tem mezanino no regulamento lido.","FundosNet/B3; documento 1072783; referência 2025-12-22; p. 90; Suplemento 1, definição “Índice de Subordinação”"
54219179000100,1072799,2025-12-22,"p. 90; Suplemento 1, definição “Índice de Subordinação”",integral,revisto — conflito interno do documento,Percentual mantido como N/D até documento retificado ou confirmação documental independente.,,N/D,N/D — O documento traz “5% (três por cento)”; conflito entre número e extenso impede materializar um mínimo comparável.,"FundosNet/B3; documento 1072799; referência 2025-12-22; p. 90; Suplemento 1, definição “Índice de Subordinação”"
54248022000102,1072746,2025-12-22,"p. 91; Suplemento 1, definição “Índice de Subordinação”",integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",20.0,"20,0%","Cotas subordinadas / PL, razão mínima de 20,0%; a estrutura não tem mezanino no regulamento lido.","FundosNet/B3; documento 1072746; referência 2025-12-22; p. 91; Suplemento 1, definição “Índice de Subordinação”"
26286939000158,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
54979779000168,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
52256912000122,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
51983832000106,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
26287464000114,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
50473039000102,909547,2025-05-19,p. 99; item 8.8,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",10.0,"10,0%","Totalidade das cotas subordinadas júnior / PL, mínimo de 10,0%.",FundosNet/B3; documento 909547; referência 2025-05-19; p. 99; item 8.8
55471753000177,704724,2024-07-25,p. 106–107,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",33.3,"33,3%","Cotas subordinadas júnior / PL, mínimo de 33,3%.",FundosNet/B3; documento 704724; referência 2024-07-25; p. 106–107
63572282000111,1089845,2026-01-21,p. 99; item 8.8,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",10.0,"10,0%","Totalidade das cotas subordinadas júnior / PL, mínimo de 10,0%.",FundosNet/B3; documento 1089845; referência 2026-01-21; p. 99; item 8.8
28169275000172,1149521,2026-03-25,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1149521; referência 2026-03-25; cláusulas candidatas revisadas
57532556000146,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
60598366000136,928235,2025-06-11,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 928235; referência 2025-06-11; cláusulas candidatas revisadas
66929956000180,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
53095241000128,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
58035124000192,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
59929098000109,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
63662224000189,1059307,2025-12-10,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1059307; referência 2025-12-10; cláusulas candidatas revisadas
50114948000146,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
62543802000103,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
55316469000126,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
58188881000104,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
12803721000119,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
12778706000168,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
33254370000104,1128340,2026-03-03,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1128340; referência 2026-03-03; cláusulas candidatas revisadas
37511828000114,1200490,2026-03-27,p. 41–42; definição “Minimum Junior Ratio”,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",10.0,"10,0% base; aumentos condicionais","Cotas subordinadas júnior / PL, mínimo-base de 10,0%, com aumentos condicionados a juros excedentes e inadimplência.",FundosNet/B3; documento 1200490; referência 2026-03-27; p. 41–42; definição “Minimum Junior Ratio”
41970012000126,1077334,2025-12-19,cláusula 7.29.2,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",10.0,"10,0%","Razão de subordinação júnior na primeira integralização: mínimo de 10,0%.",FundosNet/B3; documento 1077334; referência 2025-12-19; cláusula 7.29.2
