Rank PL,CNPJ,FIDC,PL (R$),Foco publicado hoje,Balde proposto,Base da alocação,Sacado / cedente relevante (Tabela I + Receita),Tem informe jun/26?,Observação,cnpj_fundo
25,49.826.785/0001-45,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3364983017.12,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 78% da carteira,48703388000113 ASA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A. (17.3%),Sim,,49826785000145
27,07.727.002/0001-26,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 78.8%, dominante sobre Judicial (0.0%)",,Sim,,07727002000126
32,51.079.269/0001-46,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3058107297.6,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"Revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"", dado que o próprio regulamento admite cedentes em recuperação judicial.",51079269000146
33,24.194.675/0001-87,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3030582055.52,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 33.6%, dominante sobre Judicial (0.0%)",,Sim,"Manter ""Outros/Multicarteira Outros"". É um dos poucos casos em que o rótulo multicedente se sustenta.",24194675000187
37,53.029.409/0001-05,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2943415740.48,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,53029409000105
43,26.405.883/0001-03,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,2633629374.15,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 86% da carteira,,Sim,"Revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"". O Tipo ""Outros"" está correto.",26405883000103
52,42.358.004/0001-96,ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,2341582512.2,Poder Público,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,42358004000196
53,55.720.253/0001-21,ITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE ILIMITADA,2302518318.66,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,55720253000121
54,59.929.098/0001-09,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,2207591119.67,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Financeiro/Financiamento de Veículos"". R$ 2,21 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Financeiro/Financiamento de Veículos"". R$ 2,21 bi.",59929098000109
55,40.801.446/0001-30,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2202074010.33,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Setor público 100% da carteira,,Sim,,40801446000130
58,57.719.370/0001-09,RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2140596574.92,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,57719370000109
60,13.321.819/0001-00,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,2110355080.85,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 100% da carteira,33592510000154 VALE S.A. (99.4%),Sim,"Investigar: performance futura com concentração declarada em serviços não é multicedente. R$ 2,11 bi.",13321819000100
61,49.306.883/0001-51,TM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2100498673.09,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,49306883000151
66,42.449.510/0001-90,MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1967671103.82,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,42449510000190
81,26.722.650/0001-34,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1610706096.38,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro. R$ 1,61 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para Financeiro. R$ 1,61 bi.",26722650000134
83,58.893.662/0001-18,JIVE BOSSANOVA90 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1554710409.76,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 92% da carteira,,Sim,,58893662000118
89,39.669.950/0001-49,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,1461275229.61,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Financeiro/Crédito Consignado"". R$ 1,46 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Financeiro/Crédito Consignado"". R$ 1,46 bi.",39669950000149
90,13.764.696/0001-74,JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,1447126452.7,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,42102723000141 FEDERACAO DOS PLANTADORES DE CANA DO BRASIL (14.5%),Sim,"Revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"". Não é multicedente: há cedente único identificado.",13764696000174
91,47.227.790/0001-06,SAPPHIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1425902192.06,Poder Público,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,10923227000162 (53.4%),Sim,"Investigar: o Foco ""Poder Público"" não encontra apoio nem no regulamento nem na Tabela II, que aponta crédito corporativo.",47227790000106
96,18.048.642/0001-26,BLC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,1385172155.96,Poder Público,Multicedente/Multissacado,Fundo sem informe mensal em jun/26; permanece no balde por ausência de evidência contrária,,Não,"Manter ""Outros/Poder Público"". Cobrar o preenchimento da Tabela II, hoje em branco.",18048642000126
97,45.207.707/0001-01,LASSIE EDUCATION CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1380228129.74,Poder Público,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 100% da carteira,,Sim,"Revisar o Foco de ""Poder Público"" para ""Recuperação"": o lastro é judicial privado, não crédito contra ente federativo.",45207707000101
99,62.681.110/0001-13,ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1337788554.49,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"Manter ""Outros/Multicarteira Outros"".",62681110000113
100,41.240.321/0001-40,LAGUZ I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,1302594039.08,Poder Público,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,41240321000140
101,46.879.223/0001-71,GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,1299037542.35,Poder Público,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,"O Foco ""Poder Público"" não encontra apoio documental nem na Tabela II. Investigar antes de manter na lista de precatórios. R$ 1,30 bi.",46879223000171
104,11.489.344/0001-22,RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,1271673604.01,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II,62393829000159 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA (11.8%),Sim,"Manter ""Outros/Multicarteira Outros"": é multicedente e multissacado de fato.",11489344000122
105,19.221.032/0001-45,FUNDO DE LIQUIDAÇÃO FINANCEIRA FIDC - RESPONSABILIDADE LIMITADA,1266715166.56,Multicarteira Outros,Ações Judiciais,"Tabela II J (Judicial) = 100.0%, dominante sobre Precatórios (0.0%)",,Sim,,19221032000145
108,63.465.818/0001-08,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,1245855236.41,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,63465818000108
110,59.595.605/0001-15,BTG PACTUAL ATLAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1239913416.4,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 100% da carteira,19468242000132 IFOOD PAGO INSTITUICAO DE PAGAMENTO S.A. (40.8%),Sim,,59595605000115
112,47.094.392/0001-69,LIETO11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO RESPONSABILIDADE ILIMITADA,1225291499.88,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,47094392000169
117,23.954.863/0001-01,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,1174546978.45,Poder Público,Ações Judiciais,"Tabela II J (Judicial) = 100.0%, dominante sobre Precatórios (0.0%)",,Sim,,23954863000101
118,14.051.028/0001-62,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL - RESPONS. LIMITADA,1168381489.17,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 83% da carteira,,Sim,,14051028000162
119,55.595.137/0001-28,JIF II CRÉDITOS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO,1167255846.63,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 97% da carteira,21161326000170 INTREPID INVESTIMENTOS E PARTICIPACOES S/A (17.8%),Sim,,55595137000128
120,32.774.233/0001-38,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS BRASIL,1163772257.6,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 94.4%, dominante sobre Judicial (5.6%)",,Sim,,32774233000138
125,60.431.592/0001-28,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS KINEA CRÉDITO ESTRUTURADO RESPONSABILIDADE LIMITADA,1116265513.27,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II,,Sim,,60431592000128
131,29.292.312/0001-06,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II,1069185006.76,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,60746948000112 BANCO BRADESCO S.A. (16.4%) · 59285411000113 BANCO PAN S.A. (15.1%) · 90400888000142 BANCO SANTANDER (BRASIL) S.A. (9.9%),Sim,,29292312000106
141,57.555.582/0001-90,ALDEBARAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,1002415606.75,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,57555582000190
142,17.024.362/0001-15,EXP 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,1001151211.75,Poder Público,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 100% da carteira,92874270000140 BANCO DIGIMAIS S.A. (72.1%) · 03311116000130 (13.6%),Sim,"O Foco ""Poder Público"" não tem apoio documental nem na Tabela II. Investigar antes de manter na contagem de precatórios. R$ 1,00 bi.",17024362000115
143,54.029.912/0001-15,TABOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,985011383.52,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,92874270000140 BANCO DIGIMAIS S.A. (104.0%),Sim,,54029912000115
147,40.770.670/0001-01,MEZZO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,969334455.98,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"". R$ 0,97 bi.",,Sim,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"". R$ 0,97 bi.",40770670000101
154,35.880.835/0001-68,FUNDO DE GESTÃO E RECUPERAÇÃO - FIDC - RESPONSABILIDADE LIMITADA,935477620.12,Recuperação,Ações Judiciais,"Tabela II J (Judicial) = 100.0%, dominante sobre Precatórios (0.0%)",,Sim,,35880835000168
155,24.069.733/0001-40,MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,933195240.21,Poder Público,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,24069733000140
156,52.044.598/0001-14,EMPRESAS DE TRANSPORTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS.,927447084.08,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II,05169726000176 (28.2%) · 33453598000123 RAIZEN S.A. (24.0%) · 34274233000102 VIBRA ENERGIA S.A (22.2%),Sim,,52044598000114
160,50.327.909/0001-27,TAMBASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,907215866.55,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 99% da carteira,17359233000188 (87.0%),Sim,"Investigar: concentração de 99% em um único segmento não caracteriza multicedente. R$ 0,91 bi.",50327909000127
162,35.754.011/0001-41,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PORTO DESAP -RESPONSABILIDADE LIMITADA,896266402,Recuperação,Ações Judiciais,"Tabela II J (Judicial) = 100.0%, dominante sobre Precatórios (0.0%)",,Sim,,35754011000141
163,36.672.404/0001-79,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITOS NÃO PADRONIZADOS I RESPONSABILIDADE LIMITADA,891514870.24,Multicarteira Outros,Multicedente/Multissacado,Fundo sem informe mensal em jun/26; permanece no balde por ausência de evidência contrária,,Não,,36672404000179
164,51.943.745/0001-25,V SELECT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,890681446.37,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II,,Sim,,51943745000125
166,57.976.916/0001-07,TM II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,876161254.62,Multicarteira Outros,Sai do balde Outros,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"", com o mesmo tratamento dado ao TM. R$ 0,88 bi.",,Não,"Reclassificar de ""Outros/Multicarteira Outros"" para ""Agro, Indústria e Comércio/Crédito Corporativo"", com o mesmo tratamento dado ao TM. R$ 0,88 bi.",57976916000107
168,53.293.984/0001-02,SERENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,865057055.5,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,61190096000192 EUROFARMA LABORATORIOS S.A. (55.8%),Sim,,53293984000102
169,53.779.703/0001-26,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,864281715.99,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 100% da carteira,,Sim,"Revisar o Foco de ""Multicarteira Outros""; a carteira não é multicedente difusa. R$ 0,86 bi.",53779703000126
170,29.043.573/0001-84,MALTA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,855320775.99,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 100% da carteira,,Sim,"Manter o Tipo ""Outros"" e revisar o Foco de ""Multicarteira Outros"" para ""Recuperação"". R$ 0,86 bi.",29043573000184
171,49.805.246/0001-20,LASSIE 1 CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,850538306.24,Poder Público,Ações Judiciais,"Tabela II J (Judicial) = 62.0%, dominante sobre Precatórios (11.1%)",,Sim,,49805246000120
174,53.313.856/0001-83,RAIKKONEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,836729263.29,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,53313856000183
176,26.405.874/0001-12,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATACADO RESPONSABILIDADE LIMITADA,817184529.35,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,90400888000142 BANCO SANTANDER (BRASIL) S.A. (53.0%),Sim,,26405874000112
177,36.246.327/0001-95,AMAZONITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,812145748.68,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,36246327000195
178,23.798.073/0001-76,JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP,809070617.54,Poder Público,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,23798073000176
181,62.092.802/0001-26,IA II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,795397994.61,Poder Público,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,62092802000126
183,48.997.793/0001-91,IA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,781782715.39,Multicarteira Outros,Precatórios,"Tabela II I1 (Precatórios) = 100.0%, dominante sobre Judicial (0.0%)",,Sim,,48997793000191
184,32.321.306/0001-36,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,780376793.13,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 100% da carteira,,Sim,,32321306000136
185,30.144.066/0001-16,CITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,772069392.13,Multicarteira Outros,Multicedente/Multissacado,Fundo sem informe mensal em jun/26; permanece no balde por ausência de evidência contrária,,Não,,30144066000116
186,29.986.319/0001-10,KINEA VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO RESPONSABILIDADE LIMITADA,771314631.91,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Financeiro 98% da carteira,,Sim,,29986319000110
189,32.113.780/0001-72,PASSO FUNDO RS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,765710103.17,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Comercial 100% da carteira,88212113000100 COMERCIO DE MEDICAMENTOS BRAIR LTDA (16.2%),Sim,"Investigar: mesma situação do Tambasa. R$ 0,77 bi.",32113780000172
196,54.759.252/0001-28,ITAÚ PIRINEUS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE INFRA - RESP LIMITADA,747930967.3,Multicarteira Outros,Multicedente/Multissacado,Sem precatório nem judicial dominante na Tabela II. Concentração relevante: Serviços 100% da carteira,,Sim,"Manter ""Outros/Multicarteira Outros"" pelo mandato aberto, com a mesma ressalva feita ao Itaú Crédito Privado quanto à concentração corrente em serviços.",54759252000128
