cnpj;categoria_atual;categoria_proposta;categoria_candidata;subtipo_risco;status;applied_flag;middle_market_status;racional;evidencia
57270666000187;Agro / Revenda;Agro / Revenda;Adquirência;Recebíveis performados, Rede como adquirente;PENDENTE_FONTE_PRIMARIA;NAO;Não;Rede aparece como adquirente somente na planilha;IMG_8705
58288437000152;Agro / Revenda;Risco Corporativo;;Recebíveis comerciais Altomax / grupo econômico;APLICAR_ALTA;SIM;Não;Estrutura de recebíveis comerciais com cedente e devedores do grupo;regulamento e auditoria documental
55476342000174;Agro / Revenda;Agro / Revenda;;Recebíveis do Grupo Lavoro;MANTER_ALTA;NAO;Não;Cedente integra a cadeia de insumos agro;auditoria documental
63679792000192;Agro / Revenda;Risco Corporativo;;Locação de equipamentos médicos;APLICAR_ALTA;SIM;Candidato;Direitos decorrem de contratos de locação de equipamentos;regulamento 1101558
42154687000160;Financeiro;Financeiro;;Multissetorial com predominância permitida de CCB;MANTER_ASTERISCO;NAO;Pendente;Regulamento admite vendas, serviços e CCB, que pode atingir 80%;regulamento 1223029, 100 páginas
48946335000123;Agro / Revenda;Agro / Revenda;;Multicedente FIAGRO, lastro específico pendente;PENDENTE_DOCUMENTAL;NAO;Pendente;Tipo e devedor não localizados;IMG_8705 + regulamento 1000248
55374251000128;Agro / Revenda;Agro / Revenda;Risco Corporativo;Debênture / risco Azul;PENDENTE_FONTE_PRIMARIA;NAO;Não;Instrumento e risco constam somente na planilha;IMG_8705
48953864000154;Agro / Revenda;Adquirência;;URs de transações de pagamento Asaas;APLICAR_ALTA;SIM;Não;Cedente é subcredenciadora e lastro são URs registradas;regulamento 473796
50536324000117;Agro / Revenda;Agro / Revenda;;Venda a prazo de máquinas e implementos Maqnelson;MANTER_ALTA;NAO;Não;Recebíveis performados de venda de bens na cadeia agro;regulamento 918862
57816252000100;Financeiro;Financeiro;;Financiamento a consultoras Natura, CCBs;MANTER_ALTA;NAO;Não;Financiamentos da Natura SCD formalizados em CCB;regulamento 1182394
50988212000105;Financeiro;Financeiro;Risco Corporativo;Crédito comercial/PME segurado;PENDENTE_FONTE_PRIMARIA;NAO;Candidato;Crédito PME informado sem cláusula primária de instrumento e devedor;IMG_8706
58476088000100;Agro / Revenda;Risco Corporativo;;Notas comerciais de empresas/devedores;APLICAR_ALTA;SIM;Candidato;Lastro são notas comerciais, com porte dos emissores ainda a validar;regulamento 852325
58349979000198;Agro / Revenda;Risco Corporativo;;Recebíveis comerciais Volkswagen;APLICAR_ALTA;SIM;Não;Clientes devem créditos pela compra de produtos Volkswagen;regulamento + IMG_8706
54559035000194;Financeiro;Financeiro;;CDB Banco IBM vinculado a contratos de leasing;MANTER_ALTA;NAO;Não;Obrigação imediata é CDB do Banco IBM;regulamento 634437
55070804000159;Financeiro;Financeiro;;CDB Banco IBM vinculado a contratos de leasing;MANTER_ALTA;NAO;Não;Obrigação imediata é CDB do Banco IBM;regulamento 667195
43866348000179;Agro / Revenda;Agro / Revenda;;NP, CPR-F e CDCA da cadeia de insumos;MANTER_ALTA;NAO;Não;Instrumentos e emissores agro explícitos;regulamento 741138
47936340000192;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra BASF;MANTER_ALTA;NAO;Não;BASF e insumos agrícolas;IMG_8706
58291962000127;Agro / Revenda;Agro / Revenda;;Recebíveis comerciais HELM na cadeia agro;MANTER_ASTERISCO;NAO;Não;Produto agro não está explícito no trecho aceito;regulamento 957854
57259989000170;Agro / Revenda;Agro / Revenda;;Recebíveis e CPR da 3Tentos;MANTER_ALTA;NAO;Não;Regulamento inclui CPR e clientes da cedente agro;regulamento 1016583
58171340000165;Agro / Revenda;Agro / Revenda;Risco Corporativo;Recebíveis comerciais contra supermercados;PENDENTE_FONTE_PRIMARIA;NAO;Candidato;Pagadores supermercados constam somente na planilha;IMG_8706
51554551000138;Agro / Revenda;Agro / Revenda;;Venda de insumos a produtores e distribuidores;MANTER_ALTA;NAO;Não;Direitos do agronegócio por venda de insumos;regulamento 1261911
57752597000148;Agro / Revenda;Agro / Revenda;;Comercialização de grãos;MANTER_ALTA;NAO;Não;Cedente Agromercantil e lastro de grãos;IMG_8706
47425750000179;Agro / Revenda;Agro / Revenda;;Lastro agro não isolado;PENDENTE_DOCUMENTAL;NAO;Pendente;Nenhum originador, cedente, devedor ou tipo foi localizado;regulamento 1237988 apenas estrutural
37035970000132;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, inclui não performados;MANTER_ALTA;NAO;Não;CHDS e insumos agrícolas com prazo safra;IMG_8706
29492605000129;Agro / Revenda;Agro / Revenda;Financeiro ou Risco Corporativo;Recebíveis Gazin, natureza contratual não isolada;PENDENTE_DOCUMENTAL;NAO;Pendente;Falta distinguir crédito ao consumidor, cartão ou duplicatas comerciais;rating 321548 + regulamento 1117213
26749095000134;Financeiro;Financeiro;;Crédito estudantil;MANTER_ALTA;NAO;Não;Risco de financiamento estudantil Pravaler;IMG_8706
62393829000159;Agro / Revenda;Risco Corporativo;;Monosacado/concentrado BRF e Marfrig;APLICAR_ALTA;SIM;Não;Risco corporativo concentrado em BRF e Marfrig, conforme classificação explícita fornecida para o slide;Comentário explícito do usuário e IMG_8706.JPG
47640584000123;Financeiro;Financeiro;;Financiamento solar, CCBs;MANTER_ALTA;NAO;Não;Devedores PF/PJ financiam projetos solares por CCB;regulamento + IMG_8706
57028406000108;Financeiro;Financeiro;;Financiamento solar, recebíveis performados;MANTER_ALTA;NAO;Não;Recebíveis de financiamento de placas solares;IMG_8706
31570767000180;Agro / Revenda;Risco Corporativo;;Recebíveis comerciais pulverizados Trademaster;APLICAR_ALTA;SIM;Candidato;Notas fiscais e duplicatas de vendas/serviços, mínimo 2.500 devedores e máximo 5% por devedor;regulamento 1203635, 80 páginas
43193260000133;Financeiro;Financeiro;;Tipo de crédito não isolado;PENDENTE_DOCUMENTAL;NAO;Pendente;Somente VCI foi identificada;IMG_8707 + regulamento 1044387
58152340000118;Financeiro;Financeiro;;Empréstimos Monee SCD, CCBs;MANTER_ALTA;NAO;Não;CCBs originadas em empréstimos da Monee SCD;regulamento 1191019, 117 páginas
52340225000190;Agro / Revenda;Risco Corporativo;;Duplicatas, notas comerciais e CCBs corporativas;APLICAR_ALTA;SIM;Candidato;Instrumentos corporativos explícitos, com originadora e porte ainda ausentes;regulamento 1171206
37294759000134;Financeiro;Financeiro;;Home equity PF/PJ, CCB com alienação fiduciária;MANTER_ALTA;NAO;Não;CCBs com garantia imobiliária;IMG_8707
61288838000117;Financeiro;Financeiro;;Estrutura mista, CCB + recebíveis de credenciadoras;MANTER_ASTERISCO;NAO;Não;Combina crédito e adquirência;regulamentos 1073756 e 1240846
30035329000159;Financeiro;Consignado INSS e FGTS;;Antecipação do saque-aniversário FGTS, CCBs;APLICAR_ALTA;SIM;Não;Devedores são titulares de FGTS e emitem CCB;regulamento + auditoria documental
63657457000193;Agro / Revenda;Risco Corporativo;;Recebíveis comerciais de serviços/indústria;APLICAR_ALTA;SIM;Candidato;Originadores ligados à Manserv e carteira comercial;rating 1118693
63066147000102;Financeiro;Financeiro;;Crédito Supersim, CCBs;MANTER_ALTA;NAO;Não;Direitos são CCBs de operações de crédito;regulamento 1085943
65836995000170;Financeiro;Risco Corporativo;;Recebíveis comerciais de produtos Cantu Store;APLICAR_ALTA;SIM;Candidato;Vendas locais a prazo para PF/PJ;regulamento 1184844
65873297000145;Agro / Revenda;Risco Corporativo;;Supplier finance, ArcelorMittal como devedora;APLICAR_ALTA;SIM;Não;Fornecedores cedem notas fiscais devidas pela ArcelorMittal;regulamento 1226438
49113994000141;Financeiro;Financeiro;;Tipo de crédito não isolado;PENDENTE_DOCUMENTAL;NAO;Pendente;Nenhum originador, cedente, devedor ou tipo localizado;regulamento 788104 apenas estrutural
