cnpj14_digits,status_curadoria,decisao_curadoria,cedente_originador,devedor_sacado,instrumento,natureza_economica,criterio_decisao,evidencia_curta,fonte_documento,fonte_data,fonte_url,confianca,origem_decisao,flag_pf_pj_ccb
50168890000113,"Fora de Adquirência","Manter na categoria CVM reportada","C&A Pay Sociedade de Crédito Direto S.A.","Clientes do cartão C&A Pay","Contratos de crédito e direitos vinculados ao cartão","Carteira de crédito originada pela SCD contra consumidores","O risco econômico é do cliente do cartão","O regulamento trata de direitos creditórios financeiros cedidos pela SCD, e não de liquidação a lojistas.","Regulamento FundosNet 803743","2024-12-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=803743&cvm=true","Alta","Curadoria documental","Sim — PF/PJ"
46655552000139,"Fora de Adquirência","Manter na categoria CVM reportada","Entidades do grupo Bullla","Clientes do cartão e tomadores de crédito","Contratos de cartão, CCB e crédito consignado","Crédito do emissor contra clientes e tomadores","CCB e crédito a PF/PJ atendem ao critério de exclusão","A política admite contratos de cartão, CCB e operações de crédito consignado contra clientes.","Regulamento FundosNet 1069414","2025-12-15","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1069414&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
51983832000106,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Stone Instituição de Pagamento S.A.","Emissores Visa e Mastercard","Cessão de recebíveis de liquidação","Créditos da Stone contra emissores gerados por transações no Sistema Stone","Recebível puro da cadeia de credenciamento e liquidação","A política identifica Stone como cedente e emissores de cartão como devedores.","Regulamento FundosNet 693367","2024-07-08","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=693367&cvm=true","Alta","Curadoria documental","Não"
45963809000157,"Fora de Adquirência","Manter na categoria CVM reportada","PayJoy","Pessoas naturais que financiam aparelhos celulares","CCB","Crédito direto ao consumidor para aquisição de aparelho","Pessoa física e CCB atendem ao critério de exclusão","Os créditos decorrem de financiamento ao consumidor formalizado por CCB.","Regulamento FundosNet 1047067","2025-11-17","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1047067&cvm=true","Alta","Curadoria documental","Sim — PF e CCB"
62626409000175,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","SumUp","Emissores e participantes dos arranjos de pagamento","Cessão de recebíveis de transações de pagamento","Transações capturadas, processadas e liquidadas pelo Sistema SumUp","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","Os créditos decorrem de transações em estabelecimentos credenciados processadas pelo Sistema SumUp.","Regulamento FundosNet 1152539","2026-03-31","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152539&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
62627051000103,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","SumUp","Emissores e participantes dos arranjos de pagamento","Cessão de recebíveis de transações de pagamento","Transações capturadas, processadas e liquidadas pelo Sistema SumUp","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","Os créditos decorrem de transações em estabelecimentos credenciados processadas pelo Sistema SumUp.","Regulamento FundosNet 1152645","2026-03-31","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152645&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
43705687000173,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Estabelecimentos credenciados da rede Ticket Log","Ticket Log","Cessão de recebíveis de transações de pagamento","Pagamentos devidos pela Ticket Log aos estabelecimentos de sua rede fechada","Recebível da cadeia de pagamentos","As transações no Sistema Ticket Log geram crédito dos estabelecimentos contra a devedora Ticket Log.","Regulamento FundosNet 897234","2025-05-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897234&cvm=true","Alta","Curadoria documental","Não"
45598747000121,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","SumUp","Emissores e participantes dos arranjos de pagamento","Cessão de recebíveis de transações de pagamento","Transações capturadas, processadas e liquidadas pelo Sistema SumUp","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","Os créditos decorrem de transações em estabelecimentos credenciados processadas pelo Sistema SumUp.","Regulamento FundosNet 883977","2025-04-22","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=883977&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
62626887000185,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","SumUp","Emissores e participantes dos arranjos de pagamento","Cessão de recebíveis de transações de pagamento","Transações capturadas, processadas e liquidadas pelo Sistema SumUp","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","Os créditos decorrem de transações em estabelecimentos credenciados processadas pelo Sistema SumUp.","Regulamento FundosNet 1152823","2026-03-31","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152823&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
52271464000136,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Kiwify Pagamentos","Redecard e Cielo","Cessão de recebíveis de cartão","Recebíveis detidos pela Kiwify como subadquirente por compras na plataforma","Recebível da cadeia de subcredenciamento e liquidação","A política vincula os créditos a transações feitas por compradores no arranjo de pagamento.","Regulamento FundosNet 1155755","2026-03-18","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1155755&cvm=true","Alta","Curadoria documental","Não"
21824924000182,"Fora de Adquirência","Manter na categoria CVM reportada","Cielo, estabelecimentos comerciais e instituições financeiras conveniadas","Emissores/credenciadoras e tomadores de crédito","Recebíveis EC e CCB","Estrutura mista com recebíveis de transações de pagamento e operações de crédito em CCB","A presença de CCB impede classificar integralmente o CNPJ como adquirência","O regulamento permite Direitos Creditórios EC e Direitos Creditórios CCB na mesma classe.","Regulamento FundosNet 884675","2025-04-25","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=884675&cvm=true","Alta","Curadoria documental","Sim — carteira mista e CCB"
57437905000140,"Fora de Adquirência","Manter na categoria CVM reportada","Múltiplos cedentes e fundos investidos","Múltiplos devedores","Cotas de FIDC, CCB e certificados de recebíveis","Política multicarteira sem vínculo específico com liquidação de arranjos","CCB e política ampla atendem ao critério de exclusão","O regulamento admite cotas de fundos, CCB e certificados de recebíveis; a exposição em Cartão é pequena perante o PL.","Regulamento FundosNet 998839","2025-09-15","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=998839&cvm=true","Alta","Curadoria documental","Sim — CCB"
62627122000160,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","SumUp","Emissores e participantes dos arranjos de pagamento","Cessão de recebíveis de transações de pagamento","Transações capturadas, processadas e liquidadas pelo Sistema SumUp","Confirmação do usuário e regulamento descrevem cadeia de pagamentos","Os créditos decorrem de transações em estabelecimentos credenciados processadas pelo Sistema SumUp.","Regulamento FundosNet 1152794","2026-03-31","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152794&cvm=true","Alta","Confirmação do usuário + documento primário","Não"
50988212000105,"Fora de Adquirência","Manter na categoria CVM reportada","Supplier e agentes financiadores","Titulares do Cartão de Compra Supplier","Contrato de cartão e CCB","Crédito do emissor contra titulares por compras e financiamento","Crédito a PF/PJ e CCB atendem ao critério de exclusão","Os créditos combinam compras no cartão e financiamento por CCB contra o titular.","Regulamento FundosNet 1013021","2024-11-14","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1013021&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
43722605000107,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Estabelecimentos credenciados da rede Ticket Manutenção","Ticket Manutenção","Cessão de recebíveis de transações de pagamento","Pagamentos devidos pela Ticket Manutenção aos estabelecimentos de sua rede fechada","Recebível da cadeia de pagamentos","As transações no sistema fechado geram crédito dos estabelecimentos contra a devedora Ticket Manutenção.","Regulamento FundosNet 897223","2025-05-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897223&cvm=true","Alta","Curadoria documental","Não"
50857998000113,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Marceneiros e entidades da Rede Leo","Subcredenciadora","Cessão de recebíveis de transações de pagamento","Crédito dos lojistas contra a subcredenciadora por compras de clientes com instrumentos de pagamento","Recebível da cadeia de subcredenciamento e liquidação","O regulamento identifica o crédito dos marceneiros e da Rede Leo contra a subcredenciadora.","Regulamento FundosNet 1017825","2025-10-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017825&cvm=true","Alta","Curadoria documental","Não"
45019334000145,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Estabelecimentos comerciais","Iugu","Unidades de recebíveis registradas","URs originadas por transações com instrumentos de pagamento no Sistema Iugu","Recebível da cadeia de subcredenciamento e liquidação","A classe adquire unidades de recebíveis registradas de estabelecimentos contra a Iugu.","Regulamento FundosNet 1230422","2026-06-26","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1230422&cvm=true","Alta","Curadoria documental","Não"
17474548000176,"Incluído em Adquirência","Reclassificar para Adquirência / Meios de Pagamento","Listo Fácil Brasil S.A. e Listo Instituição de Pagamento Ltda.","Credenciadores e emissores dos arranjos","Termos e contratos de cessão","Recebíveis de transações capturadas e processadas no Sistema Listo","Recebível puro da cadeia de pagamentos","A política separa os braços subadquirente e adquirente, ambos vinculados à liquidação de transações.","Regulamento FundosNet 1239914","2026-07-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1239914&cvm=true","Alta","Curadoria documental","Não"
29665263000100,"Fora de Adquirência","Manter na categoria CVM reportada","DM Instituição de Pagamento S.A. e DM Financeira S.A. CFI","Titulares das contas e cartões","Contratos de cartão e CCB","Saldos de compras, tarifas, rotativo, parcelamento, acordos e saques","Crédito ao portador e CCB atendem ao critério de exclusão","O regulamento vincula os direitos ao saldo devido pelos titulares e prevê novas CCB para financiamento.","Regulamento FundosNet 1071646","2025-12-24","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1071646&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
52923834000172,"Fora de Adquirência","Manter na categoria CVM reportada","Instituições financeiras parceiras e, excepcionalmente, outros fundos","Titulares dos Cartões Cooper Card, PF ou PJ","CCB","Crédito rotativo, parcelamento, acordos, compras financiadas e saques","PF/PJ e CCB atendem ao critério de exclusão","Os créditos são CCBs emitidas pelos titulares do cartão para financiar saldos e transações.","Regulamento FundosNet 1239760","2026-06-22","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1239760&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
32311976000171,"Fora de Adquirência","Manter na categoria CVM reportada","Crediblue Soluções Financeiras e Imobiliárias Ltda. e instituições financeiras","Pessoas físicas e jurídicas elegíveis","CCI e contratos de financiamento","Crédito imobiliário e financiamento com garantias","PF/PJ e instrumentos de crédito atendem ao critério de exclusão","O regulamento descreve CCI de contratos imobiliários e financiamento direcionado a PF/PJ.","Regulamento FundosNet 785586","2024-11-19","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=785586&cvm=true","Alta","Curadoria documental","Sim — PF/PJ"
34661403000101,"Fora de Adquirência","Manter na categoria CVM reportada","Estabelecimentos credenciados e Fiserv SCD","Fiserv/credenciadoras e tomadores de crédito","Unidades de recebíveis e CCB","Estrutura mista com recebíveis de arranjo e operações de crédito em CCB","A presença de CCB impede classificar integralmente o CNPJ como adquirência","O regulamento permite direitos de arranjo e CCB na mesma classe.","Regulamento FundosNet 867419","2025-03-13","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=867419&cvm=true","Alta","Curadoria documental","Sim — carteira mista e CCB"
32101535000145,"Fora de Adquirência","Manter na categoria CVM reportada","DM Instituição de Pagamento, DM Cartões e DM Financeira","Titulares das contas e cartões DMCard","Contratos de cartão e CCB","Compras, tarifas, seguros, encargos, rotativo, parcelamento e acordos","Crédito ao portador e CCB atendem ao critério de exclusão","O regulamento identifica titulares como devedores e prevê CCB para financiamento e refinanciamento.","Regulamento FundosNet 1159087","2026-03-12","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1159087&cvm=true","Alta","Curadoria documental","Sim — PF/PJ e CCB"
23381539000133,"Fora de Adquirência","Manter na categoria CVM reportada","Múltiplos cedentes não nominados","Múltiplos devedores não nominados","Duplicatas, cheques, CCB, CCI, CRI, boletos e outros contratos","Política multicarteira sem vínculo comprovado com liquidação de arranjos","CCB e política ampla atendem ao critério de exclusão conservador","O regulamento admite crédito PF/PJ e diversos instrumentos, incluindo CCB; o reporte mensal em Cartão não identifica o lastro.","Regulamento FundosNet 785856","2024-11-21","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=785856&cvm=true","Média-alta","Curadoria documental","Sim — PF/PJ e CCB"
54519336000194,"Pendente","Manter fora da abertura até obter evidência","Cedentes não nominados no regulamento","Devedores não nominados","Direitos comerciais e de serviços amplos","A exposição secundária em Cartão não tem cedente, devedor ou fluxo econômico identificável nos documentos consultados","Sem evidência suficiente para incluir ou excluir pelo critério econômico","O regulamento remete originadores a termo apartado e não identifica o lastro da parcela reportada em Cartão.","Regulamento FundosNet 800782","2024-12-06","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=800782&cvm=true","Baixa","Curadoria documental","Indeterminado"
26287464000114,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","Estabelecimentos credenciados e instituições financeiras parceiras","Stone, Pagar.me e demais credenciadoras ou subadquirentes autorizadas do grupo Stone","UR, cessão eletrônica e contratos de sub-rogação","Créditos dos lojistas gerados por transações de pagamento, inclusive após sub-rogação por instituição financeira","O crédito subjacente continua sendo a liquidação devida ao estabelecimento comercial","O regulamento separa a cessão direta dos estabelecimentos e a perna sub-rogada por instituições financeiras, ambas ligadas às mesmas URs.","Regulamento FundosNet 1066031","2025-12-17","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true","Alta","Curadoria documental anterior revalidada","Não"
26286939000158,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","Estabelecimentos credenciados da Cielo","Cielo S.A. – Instituição de Pagamento","UR, contrato de credenciamento e cessão eletrônica","Créditos dos lojistas contra a Cielo gerados por compras com instrumentos de pagamento","Recebível puro de credenciamento e liquidação","As URs registradas representam os valores de liquidação devidos pela Cielo aos estabelecimentos credenciados.","Regulamento FundosNet 1017493","2025-10-16","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true","Alta","Curadoria documental anterior revalidada","Não"
28169275000172,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","Estabelecimentos credenciados, representados pelo PagSeguro","PagSeguro Internet S.A.","UR, contrato PagBank e cessão eletrônica","Créditos dos lojistas contra o PagSeguro por transações de crédito e débito","Recebível puro da cadeia PagSeguro","O regulamento descreve URs de vendas à vista, parceladas e de débito cedidas pelos estabelecimentos ao fundo.","Regulamento FundosNet 1149521","2026-03-25","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true","Alta","Curadoria documental anterior revalidada","Não"
63572282000111,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","Estabelecimentos comerciais e Mercado Crédito","Mercado Pago Instituição de Pagamento Ltda.","Cessão direta, sub-rogação e termos eletrônicos","Créditos dos lojistas contra o Mercado Pago, diretamente ou após antecipação e sub-rogação pelo Mercado Crédito","As duas pernas mantêm como lastro o pagamento devido ao estabelecimento comercial","O regulamento identifica cessão direta dos estabelecimentos e sub-rogação pelo Mercado Crédito sobre as mesmas URs.","Regulamento FundosNet 1089845","2026-01-21","https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1089845&cvm=true","Alta","Curadoria documental anterior revalidada","Não"
54218673000141,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","CloudWalk Instituição de Pagamento e Serviços Ltda.","Itaú, Bradesco, Banco do Brasil, Santander e Caixa, inclusive grupos","Promessa de cessão, termos individuais e termo consolidado mensal","Créditos da credenciadora contra emissores de cartão pela liquidação de compras","Recebível puro da cadeia de credenciamento e liquidação","A CloudWalk cede definitivamente ao fundo os créditos contra emissores originados em estabelecimentos credenciados.","Regulamento FundosNet 1072697","2025-12-23","https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072697","Alta","Curadoria documental anterior revalidada","Não"
54218941000125,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","CloudWalk Instituição de Pagamento e Serviços Ltda.","Emissores qualificados, incluindo Itaú, Bradesco, BB, Santander, Caixa, Nu, Sicredi, CSF, XP, BTG, Pan, Safra e Citi","Promessa de cessão, termos individuais e termo consolidado mensal","Créditos da credenciadora contra emissores de cartão pela liquidação de compras","Recebível puro da cadeia de credenciamento e liquidação","A CloudWalk cede definitivamente ao fundo os créditos contra emissores originados em estabelecimentos credenciados.","Regulamento FundosNet 1072783","2025-12-22","https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072783","Alta","Curadoria documental anterior revalidada","Não"
54219179000100,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","CloudWalk Instituição de Pagamento e Serviços Ltda.","Emissores qualificados, incluindo Itaú, Bradesco, BB, Santander, Caixa, Nu, Sicredi, CSF, XP, BTG, Pan, Safra, Citi, Sicoob, Inter e BV","Promessa de cessão, termos individuais e termo consolidado mensal","Créditos da credenciadora contra emissores de cartão pela liquidação de compras","Recebível puro da cadeia de credenciamento e liquidação","A CloudWalk cede definitivamente ao fundo os créditos contra emissores originados em estabelecimentos credenciados.","Regulamento FundosNet 1072799","2025-12-22","https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072799","Alta","Curadoria documental anterior revalidada","Não"
54248022000102,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","CloudWalk Instituição de Pagamento e Serviços Ltda.","Emissores qualificados e não qualificados definidos no regulamento","Promessa de cessão, termos individuais e termo consolidado mensal","Créditos da credenciadora contra emissores de cartão pela liquidação de compras","Recebível puro da cadeia de credenciamento e liquidação","A CloudWalk cede definitivamente ao fundo os créditos contra emissores originados em estabelecimentos credenciados.","Regulamento FundosNet 1072746","2025-12-22","https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072746","Alta","Curadoria documental anterior revalidada","Não"
62393679000183,"Incluído em Adquirência","Manter em Adquirência / Meios de Pagamento","CloudWalk Instituição de Pagamento e Serviços Ltda.","Emissores agrupados por qualidade de crédito, incluindo grandes bancos e instituições de pagamento","Promessa de cessão, termos individuais e termo consolidado mensal","Créditos da credenciadora contra emissores de cartão pela liquidação de compras","Recebível puro da cadeia de credenciamento e liquidação","A CloudWalk cede definitivamente ao fundo os créditos contra emissores originados em estabelecimentos credenciados.","Regulamento FundosNet 1117954","2026-02-19","https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954","Alta","Curadoria documental anterior revalidada","Não"
