#,CNPJ,Fundo,PL de referência,Competência do PL,Cedente / originador,Devedor / sacado,Instrumento,Natureza econômica,Categoria Tabela II,Valor em Cartão,Tipo ANBIMA,Foco ANBIMA,Regulamento primário,cnpj_fundo
11,52.256.912/0001-22,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,2661592324.9,2026-06,Stone Instituição de Pagamento S.A.,Instituições financeiras e de pagamento emissoras,Cessão de recebíveis de liquidação,Créditos da Stone contra emissores por transações processadas no Sistema Stone,Cartão de crédito,2393814408.84,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=643480&cvm=true,52256912000122
12,26.142.862/0001-42,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,2470380152.66,2026-06,Não identificado no documento público,Um devedor não identificado nas demonstrações financeiras,Cessão de unidades de recebíveis,Carteira atual descrita como recebíveis de cartão de crédito na forma de unidades de recebíveis,Cartão de crédito,2071765026.65,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1196139&cvm=true,26142862000142
13,63.572.282/0001-11,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1876075238.87,2026-06,Estabelecimentos comerciais e Mercado Crédito,Mercado Pago Instituição de Pagamento Ltda.,"Cessão direta, sub-rogação e termos eletrônicos","Créditos dos lojistas contra o Mercado Pago, diretamente ou após antecipação e sub-rogação pelo Mercado Crédito",Cartão de crédito,1849120045.1,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1089845&cvm=true,63572282000111
14,31.739.396/0001-17,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1385981646.72,2026-06,Listo Instituição de Pagamento Ltda.,Emissores de cartões e instituições que liquidam as transações,Cessão de recebíveis de liquidação,"Créditos da Listo contra emissores, equivalentes ao valor líquido de transações em estabelecimentos credenciados",Cartão de crédito,1292132432.54,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1146939&cvm=true,31739396000117
15,54.218.673/0001-41,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,904073803.43,2026-06,CloudWalk Instituição de Pagamento e Serviços Ltda.,"Itaú, Bradesco, Banco do Brasil, Santander e Caixa, inclusive grupos","Promessa de cessão, termos individuais e termo consolidado mensal",Créditos da credenciadora contra emissores de cartão pela liquidação de compras,Cartão de crédito,818706077.02,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072697,54218673000141
16,51.983.832/0001-06,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR IV,527467198.34,2026-06,Stone Instituição de Pagamento S.A.,Emissores Visa e Mastercard,Cessão de recebíveis de liquidação,Créditos da Stone contra emissores gerados por transações no Sistema Stone,Cartão de crédito,518616701.04,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=693367&cvm=true,51983832000106
17,62.626.409/0001-75,SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,459711342.54,2026-06,SumUp,Emissores e participantes dos arranjos de pagamento,Cessão de recebíveis de transações de pagamento,"Transações capturadas, processadas e liquidadas pelo Sistema SumUp",Cartão de crédito,454396871.82,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152539&cvm=true,62626409000175
18,62.627.051/0001-03,SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,408290802.91,2026-06,SumUp,Emissores e participantes dos arranjos de pagamento,Cessão de recebíveis de transações de pagamento,"Transações capturadas, processadas e liquidadas pelo Sistema SumUp",Cartão de crédito,403253248.03,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152645&cvm=true,62627051000103
19,43.705.687/0001-73,EDENEMERALD HEZ FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,395670790.38,2026-06,Estabelecimentos credenciados da rede Ticket Log,Ticket Log,Cessão de recebíveis de transações de pagamento,Pagamentos devidos pela Ticket Log aos estabelecimentos de sua rede fechada,Cartão de crédito,359375340.48,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897234&cvm=true,43705687000173
20,45.598.747/0001-21,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,378059320.79,2026-06,SumUp,Emissores e participantes dos arranjos de pagamento,Cessão de recebíveis de transações de pagamento,"Transações capturadas, processadas e liquidadas pelo Sistema SumUp",Cartão de crédito,355103732.98,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=883977&cvm=true,45598747000121
21,62.626.887/0001-85,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,356847386.67,2026-06,SumUp,Emissores e participantes dos arranjos de pagamento,Cessão de recebíveis de transações de pagamento,"Transações capturadas, processadas e liquidadas pelo Sistema SumUp",Cartão de crédito,347991200.65,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152823&cvm=true,62626887000185
22,52.271.464/0001-36,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,347342248.66,2026-06,Kiwify Pagamentos,Redecard e Cielo,Cessão de recebíveis de cartão,Recebíveis detidos pela Kiwify como subadquirente por compras na plataforma,Cartão de crédito,332943663.31,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1155755&cvm=true,52271464000136
23,54.248.022/0001-02,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,310583203.44,2026-06,CloudWalk Instituição de Pagamento e Serviços Ltda.,Emissores qualificados e não qualificados definidos no regulamento,"Promessa de cessão, termos individuais e termo consolidado mensal",Créditos da credenciadora contra emissores de cartão pela liquidação de compras,Cartão de crédito,276878253.57,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072746,54248022000102
24,42.085.830/0001-09,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,308205214.77,2026-06,CloudWalk,Emissores e instituições de pagamento,Direitos de transações de pagamento,"Crédito adquirido da CloudWalk contra emissores de cartões, originado por transações processadas no Sistema CloudWalk.",Financeiro,,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=966441&cvm=true,42085830000109
25,54.218.941/0001-25,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,301953274.03,2026-06,CloudWalk Instituição de Pagamento e Serviços Ltda.,"Emissores qualificados, incluindo Itaú, Bradesco, BB, Santander, Caixa, Nu, Sicredi, CSF, XP, BTG, Pan, Safra e Citi","Promessa de cessão, termos individuais e termo consolidado mensal",Créditos da credenciadora contra emissores de cartão pela liquidação de compras,Cartão de crédito,266881348.37,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072783,54218941000125
26,62.627.122/0001-60,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,204070143.04,2026-06,SumUp,Emissores e participantes dos arranjos de pagamento,Cessão de recebíveis de transações de pagamento,"Transações capturadas, processadas e liquidadas pelo Sistema SumUp",Cartão de crédito,202006904.96,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152794&cvm=true,62627122000160
27,43.722.605/0001-07,EDENTOURMALINE HAN FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,189504761.29,2026-06,Estabelecimentos credenciados da rede Ticket Manutenção,Ticket Manutenção,Cessão de recebíveis de transações de pagamento,Pagamentos devidos pela Ticket Manutenção aos estabelecimentos de sua rede fechada,Cartão de crédito,172518269.09,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897223&cvm=true,43722605000107
28,50.857.998/0001-13,LEO MADEIRAS FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,176969443.65,2026-06,Marceneiros e entidades da Rede Leo,Subcredenciadora,Cessão de recebíveis de transações de pagamento,Crédito dos lojistas contra a subcredenciadora por compras de clientes com instrumentos de pagamento,Cartão de crédito,141162080.57,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017825&cvm=true,50857998000113
29,54.219.179/0001-00,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,151890811.96,2026-06,CloudWalk Instituição de Pagamento e Serviços Ltda.,"Emissores qualificados, incluindo Itaú, Bradesco, BB, Santander, Caixa, Nu, Sicredi, CSF, XP, BTG, Pan, Safra, Citi, Sicoob, Inter e BV","Promessa de cessão, termos individuais e termo consolidado mensal",Créditos da credenciadora contra emissores de cartão pela liquidação de compras,Cartão de crédito,132600947.64,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072799,54219179000100
30,45.019.334/0001-45,IUGU I UR - FIDC - UNIDADE DE RECEBÍVEIS RESPONSABILIDADE LIMITADA,147341700.76,2026-06,Estabelecimentos comerciais,Iugu,Unidades de recebíveis registradas,URs originadas por transações com instrumentos de pagamento no Sistema Iugu,Cartão de crédito,125395372.71,Financeiro,Multicarteira Financeiro,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1230422&cvm=true,45019334000145
31,17.474.548/0001-76,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF I - SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,132131158.97,2026-06,Listo Fácil Brasil S.A. e Listo Instituição de Pagamento Ltda.,Credenciadores e emissores dos arranjos,Termos e contratos de cessão,Recebíveis de transações capturadas e processadas no Sistema Listo,Cartão de crédito,125151761.86,Outros,Multicarteira Outros,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1239914&cvm=true,17474548000176
32,44.124.617/0001-94,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,,N/D,CloudWalk,Emissores e instituições de pagamento,Direitos de transações de pagamento,"Crédito adquirido da CloudWalk contra emissores de cartões, originado por transações processadas no Sistema CloudWalk.",Cartão de Crédito,,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=851798&cvm=true,44124617000194
33,42.085.816/0001-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,,N/D,CloudWalk,Emissores e instituições de pagamento,Direitos de transações de pagamento,"Crédito adquirido da CloudWalk contra emissores de cartões, originado por transações processadas no Sistema CloudWalk.",Cartão de Crédito,,"Agro, Indústria e Comércio",Recebíveis Comerciais,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=733165&cvm=true,42085816000105
