raiz_cnpj_foto,cnpj,denominacao_referencia,cedente_originador_literal,papel_literal,originador,cedente,sacado_devedor,tipo_recebivel_literal,fonte_imagem,localizacao_imagem,status_transcricao,confianca,observacao,updated_at_utc
58476088,58476088000100,CONSORCIO DALTEZ,Saga Brasil,cedente,,Saga Brasil,,notas comerciais para substituição parcial de Floor Plan,IMG_8706.JPG,planilha amarela; linha da raiz 58476088,confirmado_legivel,média,OBS continua fora da foto após a descrição legível.,2026-08-01T16:24:18Z
58349979,58349979000198,VOLKSWAGEN TERA FIDC SEGMENTO RECEBIVEIS COMERCIAI...,Volkswagen do Brasil S.A.,cedente,,Volkswagen do Brasil S.A.,,Direitos creditórios,IMG_8706.JPG,planilha amarela; linha da raiz 58349979,confirmado_legivel,alta,"OBS da foto: concentração grande com LM e Unidas, ambas com tendência de rating estável. Denominação cortada.",2026-08-01T16:24:18Z
54559035,54559035000194,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP,Banco IBM,cedente,,Banco IBM,,,IMG_8706.JPG,planilha amarela; linha da raiz 54559035,confirmado_legivel,alta,,2026-08-01T16:24:18Z
55070804,55070804000159,ESTRATEGIA VINCULADA II FUNDO DE INVESTIMENTO EM D...,Banco IBM,cedente,,Banco IBM,,,IMG_8706.JPG,planilha amarela; linha da raiz 55070804,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
43866348,43866348000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,SUMITOMO,cedente,,SUMITOMO,,financiamento de revendas e produtores,IMG_8706.JPG,planilha amarela; linha da raiz 43866348,confirmado_legivel,alta,OBS literal: FIDC Sumitomo. Financia revendas e produtores.,2026-08-01T16:24:18Z
47936340,47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,BASF,cedente,,BASF,,Insumos Agrícolas - prazo Safra,IMG_8706.JPG,planilha amarela; linha da raiz 47936340,confirmado_legivel,alta,,2026-08-01T16:24:18Z
58291962,58291962000127,HELM FUNDO I E D C RESPONS,Helm,cedente,,Helm,,Insumos Agrícolas - prazo Safra,IMG_8706.JPG,planilha amarela; linha da raiz 58291962,confirmado_legivel,alta,,2026-08-01T16:24:18Z
57259989,57259989000170,TRES TENTOS FUNDO DE INVESTIMENTO EM DIREITOS CRE...,Tres Tentos,cedente,,Tres Tentos,,Insumos Agrícolas - prazo Safra,IMG_8706.JPG,planilha amarela; linha da raiz 57259989,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
58171340,58171340000165,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITOR...,Frimesa,cedente,,Frimesa,,recebíveis supermercados,IMG_8706.JPG,planilha amarela; linha da raiz 58171340,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
51554551,51554551000138,CLASSE UNICA DO FIDC CREDITO NITRO AGRO - RESPONSA...,Nitroquímica,cedente,,Nitroquímica,,Insumos Agrícolas - prazo Safra,IMG_8706.JPG,planilha amarela; linha da raiz 51554551,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
57752597,57752597000148,AGROMERCANTIL CREDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORI...,AGROMERCANTIL,cedente,,AGROMERCANTIL,,Comercializadora de grãos,IMG_8706.JPG,planilha amarela; linha da raiz 57752597,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
47425750,47425750000179,FIDC CROPFIELD CEREALIS,CROPFIELD DO BRASIL INDÚSTRIA DE INSUM...,cedente,,CROPFIELD DO BRASIL INDÚSTRIA DE INSUM...,,Insumos Agrícolas - prazo Safra; possui não performados,IMG_8706.JPG,planilha amarela; linha da raiz 47425750,revisao,média,Literal de cedente cortado; não elegível até revisão.,2026-08-01T16:24:18Z
37035970,37035970000132,CD BANCK FIDC,CHD'S,cedente,,CHD'S,,Insumos Agrícolas - prazo Safra; possui não performados,IMG_8706.JPG,planilha amarela; linha da raiz 37035970,confirmado_legivel,alta,,2026-08-01T16:24:18Z
17468142,17468142000180,VALOREM FIDC MULTISSETORIAL,Multicedentes & Multisacados,cedente,,Multicedentes & Multisacados,,FIDC MultiCedente / Multisacado,IMG_8706.JPG,planilha amarela; linha da raiz 17468142,confirmado_legivel,alta,,2026-08-01T16:24:18Z
31739396,31739396000117,FIDC LF III,Listo IP,cedente,,Listo IP,,Risco Bancos Emissores Diversos,IMG_8706.JPG,planilha amarela; linha da raiz 31739396,confirmado_legivel,alta,OBS da foto: lista de concentração pré-aprovada.,2026-08-01T16:24:18Z
26749095,26749095000134,CREDITO UNIVERSITARIO II FUNDO DE INVESTIMENTO EM...,Pravaler,cedente,,Pravaler,,Crédito Estudantil,IMG_8706.JPG,planilha amarela; linha da raiz 26749095,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
62393829,62393829000159,TOP 2025 V FIDC RESP LIMITADA,Multicedente,cedente,,Multicedente,BRF,Risco Sacado BRF,IMG_8706.JPG,planilha amarela; linha da raiz 62393829,confirmado_legivel,alta,BRF foi desmembrado somente porque a fonte escreve literalmente Risco Sacado BRF.,2026-08-01T16:24:18Z
47640584,47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE...,BMP,cedente,Sol Agora,BMP,,Recebíveis: CCBs,IMG_8706.JPG,planilha amarela; linha da raiz 47640584,confirmado_legivel,alta,"OBS da foto: a Sol Agora é o originador, mas o cedente das CCBs é o BMP (true sale). Os papéis foram desmembrados somente porque estão escritos literalmente na fonte. Denominação cortada.",2026-08-01T16:24:18Z
57028406,57028406000108,IS GREEN SOLFACIL VI FIDC RL,Solfácil SCD,cedente,,Solfácil SCD,,Direitos Creditórios performados oriundos de financiamento de instalação de placas solares,IMG_8706.JPG,planilha amarela; linha da raiz 57028406,confirmado_legivel,alta,FIDC pulverizado para aquisição dos direitos creditórios descritos.,2026-08-01T16:24:18Z
31570767,31570767000180,FUNDO DE INVESTIMENTO EM DIREI...,Trademaster,cedente,,Trademaster,,,IMG_8706.JPG,planilha amarela; linha da raiz 31570767,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
54464892,54464892000100,FUNDO I E D C M F RECEB...,75% Parati / 25% QI Tech,cedente,,75% Parati / 25% QI Tech,,,IMG_8707.jpg,planilha amarela; linha da raiz 54464892,confirmado_legivel,média,"OBS da foto: Rating atual Ba1; se ajustar o rating na base, pode considerar perspectiva estável. Denominação cortada.",2026-08-01T16:24:18Z
11468186,11468186000124,ATLANTA FIDC NAO PADRONIZADO,Multicedentes e Multisacados,cedente,,Multicedentes e Multisacados,,FIDC Multicedentes & Multisacados,IMG_8707.jpg,planilha amarela; linha da raiz 11468186,confirmado_legivel,alta,,2026-08-01T16:24:18Z
43193260,43193260000133,RESIDENCE CLUB FIDC,VCI,cedente,,VCI,,,IMG_8707.jpg,planilha amarela; linha da raiz 43193260,confirmado_legivel,alta,OBS aparece apenas como FIDC de receb... e foi excluída da transcrição estruturada.,2026-08-01T16:24:18Z
58152340,58152340000118,MONEE II FUNDO DE INVESTIMENTO,SHPP IP,cedente,,SHPP IP,,,IMG_8707.jpg,planilha amarela; linha da raiz 58152340,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
52340225,52340225000190,INOVA CREDTECH III FUNDO DE IN...,Cash[U/O?],cedente,,Cash[U/O?],,Duplicatas + CCBs; FIDC Buy Now Pay Later,IMG_8707.jpg,planilha amarela; linha da raiz 52340225,revisao,baixa,Cedente contém caractere incerto e denominação cortada; não elegível até revisão.,2026-08-01T16:24:18Z
37294759,37294759000134,FUNDO I E D C GALLERIA,Galleria SCD,cedente,,Galleria SCD,,CCBs com AF de Imóvel oriundos de empréstimo PF e PJs,IMG_8707.jpg,planilha amarela; linha da raiz 37294759,confirmado_legivel,alta,,2026-08-01T16:24:18Z
42085830,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITO...,Cloudwalk IP,cedente,,Cloudwalk IP,,,IMG_8707.jpg,planilha amarela; linha da raiz 42085830,confirmado_legivel,alta,OBS da foto: Risco Banco Emissor Itaú. Denominação cortada.,2026-08-01T16:24:18Z
61288838,61288838000117,FIDC MOVILE II,MovilePay / iFood,cedente,,MovilePay / iFood,,CCB PJ - ecossistema iFood; Crédito PME,IMG_8707.jpg,planilha amarela; linha da raiz 61288838,confirmado_legivel,alta,,2026-08-01T16:24:18Z
30035329,30035329000159,VAINVEST II FIDC MULTISETORIA...,BMP (Bancarizador),cedente,,BMP (Bancarizador),,,IMG_8707.jpg,planilha amarela; linha da raiz 30035329,confirmado_legivel,média,OBS parcialmente legível: Via Invest (Gestorada grupo faz co-gestão). Denominação cortada.,2026-08-01T16:24:18Z
63066147,63066147000102,FUNDO DE INVESTIMENTO EM DIREI...,Supersim,cedente,,Supersim,,,IMG_8707.jpg,planilha amarela; linha da raiz 63066147,confirmado_legivel,alta,Denominação cortada pela largura da coluna na foto.,2026-08-01T16:24:18Z
