cnpj,fundo,categoria_estrutural,categoria_detalhe,override_flag,fonte,motivo
47425750000179,CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,Agro / Revenda,False,N/D,N/D
50098465000103,CHEMICAL XIII - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - INDÚSTRIA PETROQUÍMICA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
51554551000138,CLASSE ÚNICA DO FIDC CRÉDITO NITRO AGRO - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
47151680000108,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
52343195000176,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
56936116000191,FATOR TARKEN FIAGRO,Agro / Revenda,Agro / Revenda,False,N/D,N/D
47280025000150,FIDC AGRO CAPITAL FINANCE RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
58171340000165,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
44574361000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
55374251000128,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BLUE II SEGMENTO CRÉDITO CORPORATIVO DE RESP LTDA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
43309233000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LIVERPOOL RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
43866348000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OPEA AGRO SUMITOMO CHEMICAL RESP LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
47936340000192,FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS OPEA AGRO INSUMOS RESPONSABILIDADE LIMI,Agro / Revenda,Agro / Revenda,False,N/D,N/D
29492605000129,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
58291962000127,HELM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
48313595000161,IBBA AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,Agro / Revenda,False,N/D,N/D
54857414000160,INDIE MERX RAIZ I CRÉDITO AGRO FIDC DO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,Agro / Revenda,False,N/D,N/D
44272584000120,LAVORO AGRO FIAGRO - DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
55476342000174,LAVORO AGRO II FIAGRO - DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
50536324000117,MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
52968533000165,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,Financeiro,True,"regulamento 994391, 106 páginas",Maqcampo cede vendas e serviços a clientes da cadeia agro
57270666000187,MOBILITAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
48946335000123,NAGRO OIKOS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO,Agro / Revenda,Agro / Revenda,False,N/D,N/D
57131490000182,PONTO RURAL FIAGRO RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
43616659000180,TALÓ 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
44124465000120,TMAQ 21 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE ARRANJOS DE PAGAMENTO DE RESPONSABILIDADE L,Agro / Revenda,Agro / Revenda,False,N/D,N/D
57259989000170,TRÊS TENTOS FIAGRO RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
37645417000111,UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESP LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
45523699000102,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
33076242000118,WORKCAP AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,False,N/D,N/D
53270983000142,ANGÁ FGTS +AG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
53577135000180,ANGÁ FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
54810968000102,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
65976848000104,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado INSS,False,N/D,N/D
54464892000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT FGTS RECEIVABLES II,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
65347578000164,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado INSS,False,N/D,N/D
54252144000164,J17 FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
44173467000109,MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE,Consignado INSS e FGTS,Consignado INSS,False,N/D,N/D
63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado INSS,False,N/D,N/D
55401645000128,QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Consignado INSS e FGTS,Consignado FGTS,False,N/D,N/D
30035329000159,VIA INVEST II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Financeiro,True,regulamento + auditoria documental,Devedores são titulares de FGTS e emitem CCB
62588266000154,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado INSS,False,N/D,N/D
50988212000105,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
32526025000110,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,Financeiro,Financeiro,False,N/D,N/D
62838025000116,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
54559035000194,ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
55070804000159,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
49113994000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAP - RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
63066147000102,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INCLUSÃO CREDIÁRIA RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
37294759000134,GALLERIA HOME EQUITY FIDC,Financeiro,Financeiro,False,N/D,N/D
41197066000109,IFOOD PAGO CRÉDITO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO DE RESP LIMITADA,Financeiro,Financeiro,False,N/D,N/D
61288838000117,IFOOD PAGO CRÉDITO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESP. LIMITADA,Financeiro,Financeiro,False,N/D,N/D
42462306000100,IS GREEN SOLFÁCIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
57028406000108,IS GREEN SOLFÁCIL VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
58152340000118,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO - RESP. LIMITADA,Financeiro,Financeiro,False,N/D,N/D
42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Financeiro,Financeiro,False,N/D,N/D
57816252000100,NATURA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PESSOAL SOCIAL E IS RESP LTDA,Financeiro,Financeiro,False,N/D,N/D
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Financeiro,Financeiro,False,N/D,N/D
43193260000133,RESIDENCE CLUB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Financeiro,Financeiro,False,N/D,N/D
47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Financeiro,Financeiro,False,N/D,N/D
11468186000124,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Fomento Mercantil,Factoring,False,N/D,N/D
18185812000114,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,Fomento Mercantil,Factoring,False,N/D,N/D
53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA - RESP LTDA,Fomento Mercantil,Factoring,False,N/D,N/D
17468142000180,VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,Fomento Mercantil,Factoring,False,N/D,N/D
45123558000100,CLASSE I DO CANAA FUNDO DE INVESTIMENTO NAS CADEIAS USINA COCAL,N/D,N/D,False,N/D,N/D
35868110000154,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,N/D,Veículos,False,N/D,N/D
58288437000152,ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA,Risco Corporativo,Agro / Revenda,True,regulamento e auditoria documental,Estrutura de recebíveis comerciais com cedente e devedores do grupo
65873297000145,ARCELORMITTAL VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS - RESP LIMITADA,Risco Corporativo,Agro / Revenda,True,regulamento 1226438,Fornecedores cedem notas fiscais devidas pela ArcelorMittal
63679792000192,BLUE HEALTH FIDC RECEBÍVEIS COMERCIAIS DE RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,regulamento 1101558,Direitos decorrem de contratos de locação de equipamentos
63622842000103,DESBRAVA UNO ARTIGOS ESPORTIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Risco Corporativo,Agro / Revenda,True,"regulamento 1051646, 90 páginas",Direitos são notas comerciais emitidas pela Dass Nordeste
62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,Comentário explícito do usuário e IMG_8706.JPG,"Risco corporativo concentrado em BRF e Marfrig, conforme classificação explícita fornecida para o slide"
38658727000133,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,Risco Corporativo,Agro / Revenda,True,regulamento 691063,Fornecedores cedem créditos comerciais contra MadeiraMadeira
31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I - RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,"regulamento 1203635, 80 páginas","Notas fiscais e duplicatas de vendas/serviços, mínimo 2.500 devedores e máximo 5% por devedor"
52340225000190,INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA DE RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,regulamento 1171206,"Instrumentos corporativos explícitos, com originadora e porte ainda ausentes"
63657457000193,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,rating 1118693,Originadores ligados à Manserv e carteira comercial
65836995000170,PNEUCASH II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA RESP LIMITADA,Risco Corporativo,Financeiro,True,regulamento 1184844,Vendas locais a prazo para PF/PJ
58476088000100,SAGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Risco Corporativo,Agro / Revenda,True,regulamento 852325,"Lastro são notas comerciais, com porte dos emissores ainda a validar"
52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Risco Corporativo,Financeiro,True,"regulamento 1117315, 244 páginas",Sotreq e Somov cedem vendas e serviços a clientes empresariais
58349979000198,VOLKSWAGEN TERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LTDA,Risco Corporativo,Agro / Revenda,True,regulamento + IMG_8706,Clientes devem créditos pela compra de produtos Volkswagen
