offer_id,period_label,rank,cnpj,issuer_name,rating_document_count,latest_document_id,latest_document_date,rating_agency,rating_assigned,rating_scope,rating_source_type,rating_source_url,rating_match_status,rating_evidence,rating_availability_status,rating_limitation
25708,2026 jan-jun,11,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,18,971677,30/06/2025,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=971677&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
24266,2026 jan-jun,12,63505455000189,IS GREEN SOLFACIL VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,0,0847e467-a14a-47f1-8dc7-5707df123e46,08/06/2026,Moody's Local,br_Aa (AA),Cotas seniores,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/0847e467-a14a-47f1-8dc7-5707df123e46,vínculo por oferta e subclasse,Anúncio de encerramento identifica as cotas seniores e o rating.,rating da emissão verificado,Cotas mezanino da oferta sem rating verificado.
26532,2026 jan-jun,13,66226355000101,DAYCOVAL D413 FUNDO DE INVESTIMENTO EM DIREITOS  CREDITORIOS,0,cceb5997-7bdc-4ed2-840b-d1ba4e58b019,25/06/2026,Fitch Ratings,AAA(EXP)sf(bra) | AA+(EXP)sf(bra),Sênior | mezanino A,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/cceb5997-7bdc-4ed2-840b-d1ba4e58b019,vínculo por oferta e subclasses,Anúncio de encerramento identifica as subclasses e ratings esperados.,rating da emissão verificado,Ratings esperados conforme marcador EXP do documento.
23529,2026 jan-jun,14,61669748000176,LAVORO FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
23032,2026 jan-jun,15,44302112000172,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,5,722623,28/06/2024,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=722623&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
17862,2025 FY,1,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3,505515,30/06/2023,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505515&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
20185,2025 FY,2,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO MEIOS DE PAGAMENTO,4,1204286,15/05/2026,Moody's Local,AAA.br(sf) | AA+.br(sf),Sênior séries 1 e 2 | mezanino 1 série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1204286&cvm=true,vínculo por fundo e subclasses,Relatório identifica as subclasses e séries da oferta.,rating da emissão verificado,Cota mezanino 2 da oferta sem rating verificado.
23734,2025 FY,3,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
20351,2025 FY,4,60528786000146,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,4,1199880,13/05/2026,Moody's Local,AAA.br(sf),Sênior série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1199880&cvm=true,vínculo por fundo e série,Relatório identifica a série sênior correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
19640,2025 FY,5,59356753000187,ER - ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
21258,2025 FY,6,56924942000110,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,5,1126828,11/02/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1126828&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
18230,2025 FY,7,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3,505515,30/06/2023,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505515&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
20365,2025 FY,8,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3,505515,30/06/2023,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505515&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
20694,2025 FY,9,50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,10,1245798,05/06/2026,Austin Rating,brAAA(sf),5ª série sênior da 3ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1245798&cvm=true,vínculo por fundo emissão e série,Relatório e registro da oferta identificam a 5ª série sênior da 3ª emissão.,rating da emissão verificado,Rating aplicável somente à série indicada.
21550,2025 FY,10,60598366000136,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
22987,2025 FY,11,63321684000143,PINE INSS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,0,aaf335ad-f778-4103-9b2d-93a3cea6f2b8,02/12/2025,Moody's Local,AAA(br),Cotas seniores da 1ª série,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/aaf335ad-f778-4103-9b2d-93a3cea6f2b8,vínculo por oferta e série,Comunicado da oferta identifica as cotas seniores da 1ª série.,rating da emissão verificado,Documento público localizado no SRE/CVM.
19298,2025 FY,12,58349979000198,VOLKSWAGEN TERA FIDC SEGMENTO RECEBIVEIS COMERCIAIS - RESP LTDA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
21006,2025 FY,13,61188091000125,BYX MOZART FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CRÉDITO CONSIGNADO RESP. LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
21036,2025 FY,14,61271872000189,PINE INSS FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
21208,2025 FY,15,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,32,1241140,06/07/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1241140&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
18162,2024 FY,1,57532556000146,CLASSE A DO FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
15612,2024 FY,2,54979779000168,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,8,1192923,31/03/2026,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1192923&cvm=true,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
3627,2024 FY,3,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3,505515,30/06/2023,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505515&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3794,2024 FY,4,32321307000180,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3,617829,29/12/2023,Liberum Ratings,CCC(FE),Cota única,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=617829&cvm=true,vínculo por fundo e classe,Relatório identifica a cota única da emissão.,rating da emissão verificado,Perspectiva estável no documento.
4203,2024 FY,5,52256912000122,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR I,11,1245715,05/06/2026,Austin Rating,brAAA(sf),Cotas seniores da 1ª série da 2ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1245715&cvm=true,vínculo por fundo emissão e série,Relatório identifica a 1ª série da 2ª emissão correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
17739,2024 FY,6,57609282000146,CLOUDWALK AGI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,5,1204281,15/05/2026,Moody's Local,AAA.br(sf) | BBB.br(sf),Sênior série 1 | mezanino série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1204281&cvm=true,vínculo por fundo e subclasses,Relatório identifica as subclasses e séries da oferta.,rating da emissão verificado,Notas apresentadas na ordem das subclasses indicadas.
15753,2024 FY,7,54810968000102,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
15714,2024 FY,8,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3,505515,30/06/2023,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=505515&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
18270,2024 FY,9,46450551000158,D365 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
16416,2024 FY,10,55471753000177,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LTDA,8,1185561,06/05/2026,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1185561&cvm=true,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
18027,2024 FY,11,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,18,971677,30/06/2025,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=971677&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3687,2024 FY,12,46073195000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
18122,2024 FY,13,57028406000108,IS GREEN SOLFACIL VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,4,1048523,25/11/2025,Austin Rating,brAA(sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1048523&cvm=true,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,rating da emissão verificado,Cota mezanino da oferta sem rating verificado.
14966,2024 FY,14,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2,1048510,26/11/2025,Moody's Local,AAA.br(sf),Sênior série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1048510&cvm=true,vínculo por fundo e série,Relatório identifica a série sênior correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
15820,2024 FY,15,55070804000159,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
1758,2023 FY,1,50473039000102,SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,10,1245798,05/06/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1245798&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3483,2023 FY,2,51983832000106,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR IV,12,725548,23/08/2024,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=725548&cvm=true,vínculo por fundo e série,"Relatório identifica a 1ª série sênior do ACR IV, correspondente à oferta.",rating da emissão verificado,Rating aplicável somente à série indicada.
816,2023 FY,3,48905593000161,PÁTRIA INFRA CRÉDITO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,11,1263451,30/06/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1263451&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3468,2023 FY,4,52720932000102,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,10,1195770,31/03/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1195770&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
1744,2023 FY,5,50114948000146,DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS,11,1195766,31/03/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1195766&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
2925,2023 FY,6,51957370000152,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I,4,862398,30/09/2024,Austin Rating,brAA+(sf) | brA(sf) | brBBB-(sf),Sênior | subordinada mezanino | subordinada júnior,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=862398&cvm=true,vínculo por fundo e subclasses,Relatório e oferta identificam as mesmas subclasses.,rating da emissão verificado,Notas apresentadas na ordem das subclasses indicadas.
578,2023 FY,7,49306883000151,TERRAMAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8,844717,03/02/2025,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=844717&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3491,2023 FY,8,47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OPEA AGRO INSUMOS,5,664421,28/03/2024,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=664421&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3865,2023 FY,9,34850088000152,SUMUP I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,23,845820,31/12/2024,S&P Global Ratings,brAAA (sf),2ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=845820&cvm=true,vínculo por fundo e série,Relatório identifica a 2ª série sênior correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
2036,2023 FY,10,49920525000134,GREEN SOLFÁCIL III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13,1092921,30/09/2025,Fitch Ratings,AA+sf(bra) | BBBsf(bra),Sênior | mezanino A,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1092921&cvm=true,vínculo por fundo e subclasses,Relatório identifica as cotas sênior e mezanino A da oferta.,rating da emissão verificado,Cota mezanino B da oferta sem rating verificado.
2004,2023 FY,11,50098465000103,CHEMICAL XIII - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - INDÚSTRIA PETROQUÍMICA,9,963056,30/06/2025,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=963056&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
1131,2023 FY,12,24761946000139,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDZ,24,718040,17/07/2024,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=718040&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
3138,2023 FY,13,50988212000105,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SUPPLIER,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
1519,2023 FY,14,50440392000188,PLATINUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,2,1198261,14/05/2026,N/D,N/D,N/D,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1198261&cvm=true,documento do fundo sem vínculo comprovado à emissão,"Relatório público localizado para o fundo; emissão, série ou subclasse do Top 15 não conciliada com segurança.",N/D para a emissão,"Agência e rating mantidos como N/D porque o documento não comprova aplicação à mesma emissão, série ou subclasse."
1433,2023 FY,15,35159296000172,ATRANI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
