period_order,period_label,period_start,period_end,is_full_year,instrument_order,instrument_label,anbima_instrument_label,closed_volume_brl,source_name,source_snapshot,source_sheet,source_range,source_url,source_workbook_sha256,metric,scope,limitation
3,2025 FY,2025-01-01,2025-12-31,True,1,Debêntures,Debêntures,493390073108.00165,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,2,FIDCs,FIDC,90985106092.70312,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,3,CRI,CRI,49370890807.45136,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,4,Notas comerciais,Notas Comerciais,51792395853.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,5,CRA,CRA,46168395183.91086,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,1,Debêntures,Debêntures,146314492401.0112,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,2,FIDCs,FIDC,41648129901.94184,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,3,CRI,CRI,15665621569.42634,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,4,Notas comerciais,Notas Comerciais,17089791033.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,5,CRA,CRA,5362680000.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
