cnpj,fundo,minimo_em_uso_pct,veredito,valor_documental_pct,familia,pagina,trecho,documento,fonte_no_registro
32526025000110,Cobuccio,75.0,remete a suplemento,,subordinacao,14.0,"14 conforme descrito no Capítulo 10 deste Regulamento e detalhado no Anexo da Classe. Índice de Subordinação Junior Considerado por Classe, é a relação mínima que deve ser observada entre o valor de Cotas Subordinadas Juniores e o Patrimônio Líquido da Classe, conforme prevista no Capítulo 10 do Regulamento e detalhada Anexo da Classe. Índice de Subordinação Mezanino Considerado por Classe, e a relação mínima que deve ser observada entre o valor de Cotas Subordinadas Mezanino e o Patrimônio Líquido da Classe, conforme prevista no Capítulo 10 do Regulamento e detalhada no Anexo da Classe. Índice de Subordinação Subordinadas Considerado por Classe, e a relação mínima que deve ser observada ent",Regulamento 791754 · 29/11/2024,Regulamento 1186789 · p. 57 · 2026-05-12
33076242000118,Workcap Agro,20.0,remete a suplemento,,cobertura,24.0,"emuneração determinada no respectivo Suplemento. 11.4 Adicionalmente às Cotas Seniores descritas na Cláusula 11.3 acima, o Fundo emitirá Cotas Subordinadas, a serem subscritas e integralizadas exclusivamente pelo Cedente, em montante equivalente, no mínimo, à Razão de Garantia, com as seguintes características, vantagens, direitos e obrigações: (a) serão subordinadas às Cotas Seniores para os fins de amortização e distribuição de resultados do Fundo; (b) somente poderão ser resgatadas após o resg ate das Cotas Seniores, em observância à Razão de Garantia; (c) seu valor unitário será calculado todo Dia Útil, para efeito de definição de seu valor de integralização, ou resgate, observados os cr",Regulamento 593759 · 31/01/2024,Regulamento 1060211 · p. 61 · 2025-12-12
35868110000154,BV - Crédito de Veículos,25.0,sem cláusula localizada,,,,,Regulamento 792021 · 29/11/2024,Regulamento 792021 · p. 48 · 2024-11-27
37035970000132,CD Cash,30.0,confirma,30.0,subordinacao,31.0,"is inteiros e oitenta e cinco centésimos por cento) (a “Razão de Garantia Mezanino”). Isso significa que, no mínimo, 30% (trinta por cento) do patrimônio representado por cotas subordinadas em circulação deve ser representado por Cotas Subordinadas Junior (o “Índice de Subordinação Junior”). 14.4.2 A Razão de Garantia deve ser apurada todo Dia Útil pela Administradora, devendo ser informadas aos Cotistas mensalmente, caso haja desenquadramento.",Regulamento 308295 · 24/05/2022,Regulamento 1187379 · p. 43 · 2026-05-12
37294759000134,Galleria Home Equity,4.7619,sem cláusula localizada,,,,,Regulamento 472157 · 31/05/2023,Regulamento 927443 · p. 110 · 2026-07-10
37645417000111,Ubyfol Agro III Fundo de In…,10.0,sem cláusula localizada,,,,,Regulamento 471794 · 31/05/2023,Regulamento 1016909 · p. 12 · 2025-10-16
38376526000143,Hotfund,21.0,remete a suplemento,,subordinacao,26.0,"remuneração determinada no respectivo Suplemento (“Benchmark Mezanino”). 6.4. Subclasse Subordinada : As Cotas Subordinadas a serem subscritas e integralizadas exclusivamente por Parte Relacionada da Hotmart, em montante equivalente, no mínimo, à proporção da Razão de Subordinação Sênior e da Razão de Subordinação Mezanino, terão as seguintes características, vantagens, direitos e obrigações: (i) subordinam-se às Cotas Seniores e às Cotas Mezanino para efeito de amortização e/ou resgate, observados os termos deste Anexo; (ii) somente poderão ser amortizadas e/ou resgatadas, bem como receber o pagamento a título de retorno, após o resgate integral das Cotas Seniores e das Cotas Mezanino, nos ",Regulamento 769782 · 31/10/2024,Regulamento 948252 · p. 68 · 2025-07-02
38385876000176,Estratégia Educacional,10.0,sem cláusula localizada,,,,,Regulamento 208661 · 24/08/2021,Regulamento 719764 · p. 11 · 2024-08-14
38658727000133,Fornecedores Madeira Madeir…,26.665,sem cláusula localizada,,,49.0,"49 Razão de Subordinação 14.6. O Fundo deverá observar a Razão de Subordinação de, no mínimo, 136,36% (cento e trinta e seis inteiros e trinta e seis centésimos por cento). 14.7. A Razão de Subordinação deve ser apurada mensalmente pela Administradora no último dia útil de cada mês, a partir da 1ª Data de Integralização de Cotas Seniores. Caso a Razão de Subordinação não seja atendida, serão adotados os procedimentos previstos nas Cláusulas 14.8 e 14.9 abaixo. 14.8. Caso a Razão de Subordinação seja inferior ao percentual definido na Cláusula 14.6 acima por 10 (dez) Dias Úteis consecutivos serão adotados os seguintes procedimentos: (i) a Administradora deverá adotar os procedimentos necessár",Regulamento 471659 · 31/05/2023,Regulamento 1216296 · p. 62 · 2026-06-05
40919667000107,Recargapay I,50.0,remete a suplemento,,subordinacao,51.0,"e Emissão das Cotas Seniores . O Preço de Emissão das Cotas Seniores que venham a ser emitidas pelo Fundo constará do respectivo Suplemento. 13.3. Emissão de Cotas Subordinadas . O Fundo emitirá Cotas Subordinadas em qualquer quantidade, desde que observada a Razão de Subordinação no momento da respectiva emissão, com as características, vantagens, direitos e obrigações indicados no Capítulo Quatorze abaixo, sendo que o Fundo deverá manter em circulação quantidade de Cotas Subordinadas igual ou superior à necessária para o atingimento da Razão de Subordinação. 13.3.1. Caso a Administradora utilize os recursos provenientes da subscrição das Cotas Subordinadas na hipótese prevista no Artigo 14",Regulamento 393691 · 26/12/2022,Regulamento 1118056 · p. 31 · 2026-02-12
41197066000109,Ifood Pago Crédito I,10.0,confirma,10.0,subordinacao,90.0,"Máximos de Atrasos” significam, em conjunto ou, quando referido no singular, indistintamente, o Índice Máximo de Atraso F30, o Índice Máximo de Atraso F90 e o Índice Máximo de Atraso F180. “Índices de Subordinação” significam, em conjunto e indistintamente, o Índice de Subordinação Mezanino e o Índice de Subordinação Sênior. “Índice de Subordinação Mezanino” significa a razão mínima admitida entre o somatório do valor das Cotas Subordinadas Júnior em circulação e o Patrimônio Líquido, conforme apurada pelo Custodiante em cada Dia Útil, equivalente a, no mínimo (i) 10% (dez por cento), entre a Data de Início do Fundo e a data indicada no item (ii) seguinte; e (ii) 20% (vinte por cento), a par",Regulamento 825529 · 28/01/2025,Regulamento 1076481 · p. 89 · 2025-12-30
42085816000105,Cloudwalk Kick Ass I,4.8,sem cláusula localizada,,,,,Regulamento 210782 · 31/08/2021,Regulamento 733165 · p. 98 · 2024-09-05
42085830000109,Cloudwalk Akira I,3.0,sem cláusula localizada,,,,,Regulamento 513483 · 28/08/2023,Regulamento 966441 · p. 99 · 2025-07-24
42102603000144,Cloudwalk Kick Ass II,6.8,sem cláusula localizada,,,,,Regulamento 210784 · 31/08/2021,Regulamento 733239 · p. 99 · 2024-09-05
42154687000160,Multiplike Plus,20.0,confirma,20.0,subordinacao,19.0,"regresso contra os Credores Originais, a Administradora, o Custodiante, a Gestora, a Consultora Especializada o Agente de Cobrança, seus controladores, sociedades por eles direta ou indiretamente controladas, coligadas ou outras sociedades sob controle comum. ÍNDICE DE SUBORDINAÇÃO As Cotas Subordinadas, em conjunto, terão um índice de subordinação que será a relação mínima a ser observada entre o valor das Cotas Subordinadas e o Patrimônio Líquido, que deverá diariamente representar o percentual mínimo de 50% (Índice de Subordinação). As Cotas Subordinadas Júnior, terão um índice de subordinação que será a relação mínima a ser observada entre o valor das Cotas Subordinadas Júnior e o Patrim",Prospecto 1009195,Regulamento 1223029 · p. 54 · 2026-06-08
42462306000100,Is Green Solfácil II,4.5,sem cláusula localizada,,,,,Regulamento 790541 · 28/11/2024,Regulamento 896879 · p. 12 · 2025-05-05
43193260000133,Residence Club,50.0,confirma,50.0,subordinacao,27.0,"érie objeto de colo cação pública serão objeto de classificação de risco a ser realizada por agência de classificação de risco, exceto se a classificação de risco for dispensada nos termos da RCVM 175. 10.1.5 Enquanto existirem Cotas Seniores em circulação, o Índice de Subordinação Sênior deverão ser observados pelo Fundo. Enquanto existirem Cotas Subor dinadas Mezanino em circulação, o Índice de Subordinação Mezanino deverão ser observados pelo Fundo. 10.1.5.1 O Índice de Subordinação Subordinadas será a relação mínima a ser observada entre o valor das Cotas Subordinadas e o Patrimônio Líquido da Clas se, a qual deverá, diariamente, representar o percentual mínimo de 200% (duzentos por cent",Regulamento 847727 · 26/02/2025,Regulamento 1044387 · p. 26 · 2025-11-17
43309233000183,Liverpool,15.0,sem cláusula localizada,,,,,Regulamento 791922 · 29/11/2024,Regulamento 943032 · p. 30 · 2025-07-09
43616659000180,Taló 1,25.0,remete a suplemento,,subordinacao,73.0,"nova série de Cotas. 10.34.2. Após o resgate das Cotas Seniores especificadas no item 10.34, o Fundo poderá amortizar extraordinariamente as Cotas Subordinadas Mezanino e as Cotas Subordinadas Júnior vincendas, desde que observado pro forma tal pagamento, os Índice de Subordinação Sênior e Índice de Subordinação Mezanino permaneçam superiores a 1,00 (um inteiro). 10.35. Os pagamentos a título de Amortização de Principal, pagamento de Remuneração e/ou de Resgate das Cotas serão efetuados, em moeda corrente nacional, pelo valor da Cota no dia do pagamento, calculado na forma descrita neste Regulamento e no respectivo Suplemento, conforme o caso, por meio de depósito em conta corrente de titula",Regulamento 382497 · 26/11/2022,Regulamento 791844 · p. 7 · 2024-11-28
43866348000179,Opea Agro Sumitomo Chemical,5.0,sem cláusula localizada,,,,,Regulamento 741139 · 18/09/2024,Regulamento 741139 · p. 81 · 2024-09-17
44124465000120,Tmaq 21,3.0,sem cláusula localizada,,,,,Regulamento 543611 · 30/10/2023,Regulamento 951239 · p. 85 · 2025-07-08
44124617000194,Cloudwalk Akira II,5.0,sem cláusula localizada,,,,,Regulamento 513520 · 28/08/2023,Regulamento 851798 · p. 101–102 · 2025-02-28
44173467000109,MT Inss Receivables III,10.0,confirma,10.0,subordinacao,19.0,"portanto, 90% (noventa por cento), no máximo, por Cotas Seniores. Esta relação será apurada diariamente e será acessível aos Cotistas através do site do ADMINISTRADOR. 5.17 Após a Data da 1ª Integralização de cada Subclasse de Cotas Subordinadas Mezanino , o Índice de Subordinação Mezanino deverá ser igual ou superior a 111,11% (cento e onze inteiros e onze centésimos por cento). Isto quer dizer que a Classe deverá ter, no mínimo, 10% (dez por cento) de seu Patrimônio Subordinado representado por Cotas Subordinadas Júnior e, portanto, 90% (noventa por cento), no máximo, por Cotas Subordinadas Mezanino. Esta relação será apurada diariamente e será acessível aos Cotistas através do site do ADM",Regulamento 791513 · 29/11/2024,Regulamento 791513 · p. 19 · 2024-11-28
44272584000120,Lavoro Agro Fiagro - Direit…,5.0,confirma,5.0,subordinacao,114.0,"nto) em tal data, considerada proforma a integralização de Cotas da Subclasse Sênior em questão. A integralização de Cotas da Subclasse Subordinadas Mezanino A só será realizada em cada Data de Integralização de Cotas da Subclasse Subordinadas Mezanino A se o Índice de Subordinação Mezanino A (conforme prevista no Apêndice de Cotas da Subclasse Subordinadas Mezanino A) for igual ou superior a 25% (vinte e cinco por cento) em tal data, considerada proforma a integralização de Cotas da Subclasse Subordinadas Mezanino A em questão. A integralização de Cotas Subordinadas Mezanino B só será realizada em cada Data de Integralização de Cotas da Subclasse Subordinadas Mezanino B se o Índice de Subor",Regulamento 1003378 · 30/09/2025,Regulamento 1003378 · p. 133 · 2025-09-30
44574361000117,Upl 02,15.0,remete a suplemento,,subordinacao,66.0,"a série de Cotas. 10.33.2. Após o resgate das Cotas Seniores especificadas na Cláusula 10.33, o Fundo poderá amortizar extraordinariamente as Cotas Subordinadas Mezanino e as Cotas Subordinadas Júnior vincendas, desde que observado pro forma tal pagamento, os Índice de Subordinação Sênior e Índice de Subordinação Mezanino permaneçam superiores a 1,00 (um inteiro). 10.34. Os pagamentos a título de Amortização de Principal, pagamento de Remuneração e/ou de Resgate das Cotas serão efetuados, em moeda corrente nacional, pelo valor da Cota no dia do pagamento, calculado na forma descrita neste Regulamento e no respectivo Suplemento, conforme o caso, por meio de depósito em conta corrente de titul",Regulamento 453355 · 28/04/2023,Regulamento 928360 · p. 133 · 2025-06-12
45523699000102,Vixtra,10.0,diverge,4.0,subordinacao,26.0,".3.5 As Cotas Subordinadas terão direito de votar em todas e quaisquer matérias objeto de deliberação nas Assembleias Gerais, ressalvadas as hipóteses de conflito de interesse de seus Cotistas, sendo que a cada Cota Subordinada corresponderá 1 (um) voto. 14.4 Índice de Subordinação O Fundo terá como Razão de Garantia o percentual mínimo de 150% (cento e cinquenta por cento) . Isso significa que, no mínimo, 33,3 4% (trinta e três inteiros e trinta e quatro centésimos por cento) do Patrimônio Líquido do Fundo deve ser representado pelo somatório das Cotas Subordinadas em circulação, sendo que as Cotas Subordinadas Mezanino B e as Cotas Subordinadas Juniores em conjunto nunca poderão ser inferi",Regulamento 1024756 · 30/10/2025,Regulamento 1024756 · p. 26 · 2025-10-30
45598747000121,Sumup Solo,4.7619,sem cláusula localizada,,,,,Regulamento 791590 · 29/11/2024,Regulamento 883977 · p. 95 · 2025-04-22
47151680000108,Farm Tech Ibba I,20.0,sem cláusula localizada,,,,,Regulamento 993922 · 18/09/2025,Regulamento 993922 · p. 6 · 2025-07-22
47280025000150,Agro Capital Finance,30.0,remete a suplemento,,cobertura,32.0,"de Direitos Creditórios Elegíveis. 11.8.1. Observado o procedimento disposto no Compromisso de Subscrição de Cotas Subordinadas, caso o valor total das Cotas Subordinadas subscritas e integralizadas pelo Cotista Subordinado seja, a qualquer tempo, inferior à Razão de Garantia, o Cotista Subordinado, mediante solicitação do Administrador neste sentido, deverá subscrever e integralizar, no prazo máximo de 10 (dez) Dias Úteis, novas Cotas Subordinadas, pelo valor unitário determinado na forma da Cláusula 11.11.3 abaixo, de maneira a atingir a proporção equivalente à Razão de Garantia. 11.9. As Cotas Seniores serão integralizadas à vista, no ato da subscrição, pelo respectivo Preço de Emissão. 1",Regulamento 472339 · 31/05/2023,Regulamento 1074880 · p. 10; 34 · 2025-12-23
47425750000179,Cerealis,25.0,diverge,50.0,subordinacao,30.0,"30 14.4 Índice de Subordinação 14.4.1 O Fundo deverá observar o cumprimento de que o percentual de, no mínimo, 50% (cinquenta por cento) do Patrimônio Líquido do Fundo deverá ser representado por Cotas Subordinadas (“Índice de Subordinação”), sendo certo que, no mínimo, 50% (cinquenta por cento) das cotas subordinadas em circulação deverá ser representado por Cotas Subordinadas Júnior, o qual será verificado pela Administradora diariamente (“Índice de Subordinação Júnior”). 14.4.3 Os Índices de Subordinação deverão ser apurados em todo Dia Útil pela Administradora, devendo a apuração do cálculo ser informada à Gestora imediatamente e aos Cotistas mensalmente, ressalvada a hipótese de desenqu",Regulamento 1144221 · 25/03/2026,Regulamento 1237988 · p. 30 · 2026-07-02
47640584000123,Sol Agora Green Esg,10.0,sem cláusula localizada,,,,,Regulamento 395538 · 28/12/2022,Regulamento 930974 · p. 91 · 2025-06-13
47936340000192,Fundo de Investimento Nas C…,25.0,diverge,20.0,subordinacao,37.0,"ou serão exigíveis e líquidos quando de seus respectivos vencimentos; AGENTE DE FORMALIZAÇÃO a aquisição do Direito Creditório Cedente deverá ter sido previamente aprovada pelo Gestor; GESTOR a aquisição do Direito Creditório Cedent e somente ocorrerá caso o Índice de Subordinação Sênior esteja igual a, ou acima de, 1,00 (um inteiro); GESTOR o Cedente tem autorização societária para ceder os Direitos Creditórios Cedente ao Cessionário na forma do Contrato de Cessão; AGENTE DE FORMALIZAÇÃO sejam devidos por Devedores que tenham no mínimo 2 (dois) anos de relacionamento com o Cedente, com exceção de até 20% (vinte por cento) do Patrimônio Líquido do Fundo, que poderá ser alocado em Direitos Cr",Regulamento 383413 · 30/11/2022,Regulamento 801978 · p. 4 · 2025-03-11
48946335000123,Nagro Oikos Fundo de Invest…,10.0,diverge,15.0,subordinacao,30.0,", ambos, no encerramento do dia, assim entendido, como o horário de fechamento dos mercados em que o Fundo atue. Os Cotistas serão responsáveis pelo pagamento de todos os custos, tributos e emolumentos decorrentes da negociação ou transferência de suas Cotas. Índice de Subordinação Mínima O Fundo deverá ter, no mínimo, 15% (quinze por cento) de seu patrimônio representado por Cotas Subordinadas Mezanino (“Subordinação Mínima Mezanino”)",Prospecto 433583,Regulamento 1000248 · p. 57 · 2025-09-29
48953864000154,Asaas II,15.0,sem cláusula localizada,,,,,Regulamento 448661 · 20/04/2023,Regulamento 774314 · p. 33; 107 · 2024-11-05
48967719000122,Soulpay,5.0,confirma,5.0,subordinacao,82.0,"rsos às Cotas Seniores estão previstos no respectivo Suplemento. 12.2.2Subordinação das Cotas Subordinadas. As Cotas Subordinadas são as Cotas que são subordinadas às Cotas Seniores para fins de amortiza ção, resgate e distribuição de rendimentos, observada o Índice de Subordinação . P ortanto, o resgate das Cotas Subordinadas somente deverá ocorrer após o resgate total das Cotas Seniores. 12.2.3Índice de Subordinação . O Fundo deverá obser var o Índice de Subordinação de 105,26% (cento e cinco inteiros e vinte e seis cent ésimos por cento). Isso significa que, no mínimo, 5% (cinco por cento) do Patrimônio Líquido do Fundo deve ser representado por Cotas Subordinadas em circulação (“Índice d",Regulamento 785770 · 22/11/2024,Regulamento 785770 · p. 82 · 2024-11-22
49113994000141,Cap,14.0,sem cláusula localizada,,,,,Regulamento 788104 · 26/11/2024,Regulamento 788104 · p. 53 · 2024-11-22
50089559000108,Agriconnection Fiagro,15.0,confirma,15.0,subordinacao,16.0,"únior” significa a relação mínima admitida entre as Cotas Subordinadas Júnior em circulação e o Patrimônio Líquido do Fundo, a qual deverá corresponder a, pelo menos, 15% (quinze por cento). “Índices de Subordinação” significa, quando referidos em conjunto, o Índice de Subordinação Sênior e o Índice de Subordinação Júnior. “Recompra Antecipada Facultativa” significa a faculdade de uma Cedente, a qualquer tempo, realizar a recompra antecipada facultativa dos Títulos que estejam em correta adimplência, observado o Limite de Recompra Antecipada Facultativa. “Recompra Obrigatória Total” significa a obrigação das Cedentes de recomprar integralmente os Títulos objeto de um Termo de Endosso, na oco",Prospecto 556709,Regulamento 999633 · p. 52 · 2025-09-26
50098465000103,Chemical XIII,9.2,remete a suplemento,,cobertura,58.0,"itário de Emissão das Quotas Subordinadas Mezanino a ser amortizado na Data de Amortização "" T"", conforme definido no respectivo Suplemento. 14.3.1 As Amortizações Periódicas das Quotas Subordinadas Mezanino serão realizadas desde que respeitado, pro forma, o Índice de Cobertura Sênior. 14.3.2 Na hipótese de diferimento do pagamento de qualquer Amortização Periódica das Quotas Subordinadas Mezanino devido ao não atendimento do Índice de Cobertura Sênior, o pagamento será feito em data posterior, assim que for verificado o atendimento, pro forma, do Índice de Cobertura Sênior. Neste caso, para efeitos de cálculo do valor a ser pago a título de Amortização Periódica das Quotas Subordinadas Mez",Regulamento 479060 · 15/06/2023,Regulamento 690567 · p. 15 · 2024-07-01
50473039000102,Seller,10.0,remete a suplemento,,subordinacao,20.0,"fórmula, o qual deverá respeitar o valor mínimo de 1,0 (um inteiro): [(Valor Presente dos Direitos Creditórios + Valor das Disponibilidades + Comissões) * Fator de Ponderação Mezanino] Valor agregado da Cota Sênior e Cotas Subordinadas Mezanino em circulação “Índice de Subordinação Base” tem o significado atribuído no Artigo 11.8 deste Regulamento. “Índice de Subordinação – Amortização” tem o significado atribuído no Artigo 11.8 deste Regulamento. “Índice Referencial das Cotas Seniores” significa o parâmetro de rentabilidade a ser atribuído às Cotas Seniores, conforme estabelecido no respectivo Suplemento. “Índice Referencial das Cotas Subordinadas Mezanino” significa o parâmetro de rentabil",Regulamento 471085 · 30/05/2023,Regulamento 909547 · p. 99 · 2025-05-19
50536324000117,Maqnelson,50.0,sem cláusula localizada,,,,,Regulamento 644265 · 24/04/2024,Regulamento 918862 · p. 111 · 2025-06-04
50832746000130,Boasafra,30.0,confirma,30.0,subordinacao,30.0,"de 142,85% (cento e quarenta e dois inteiros e oitenta e seis centésimos de por cento) (“Razão de Garantia”). Isso significa que, no mínimo, 30,00% (trinta por cento) do Patrimônio Líquido do Fundo deve ser representado por Cotas Subordinadas em circulação (“ Índice de Subordinação”). O Fundo terá como razão de garantia mezanino o percentual mínimo de 150,00% (cento e cinquenta por cento) (“ Razão de Garantia Mezanino ”). Isso significa que, no mínimo, 20,00% (vinte por cento) do Patrimônio Líquido do Fundo deve ser representado por Cotas Subordinadas Junior (“Índice de Subordinação Junior”).",Regulamento 498474 · 31/07/2023,Regulamento 791780 · p. 44 · 2024-11-28
50857998000113,Leo Madeiras,5.0,sem cláusula localizada,,,,,Regulamento 910444 · 23/05/2025,Regulamento 1017825 · p. 62 · 2025-10-06
50988212000105,Cartão de Compra Supplier,4.5,sem cláusula localizada,,,43.0,"ara essa classe de Cotas, com referência a qualquer outra matéria. Na hipótese de inexistirem Cotas Seniores em Circulação, as Cotas Subordinadas poderão votar em qualquer matéria nas Assembleias Gerais. 14.7. Enquanto existirem CotasSeniores em Circulação, a Razão de Garantia Sênior deverá ser equivalente a, no máximo, 95,5% (noventa e cinco inteiros e cinco centésimos por cento), a Alocação Mínima de Investimento deverá ser, no mínimo, equivalente a 50% (cinquenta por cento) e o Excesso de Spread deverá ser, no mínimo, equivalente a 2,50% (dois inteiros e cinco décimos por cento) ao ano, todos calculados na periodicidade e na forma definidas neste Regulamento. DocuSign Envelope ID: A99ED7F",Regulamento 560278 · 28/11/2023,Regulamento 1013021 · p. 29; 62 · 2024-11-14
