participant_pattern,normalized_group,bank_affiliated,independent_reviewed,ownership_status,source_url,as_of_date,notes
"(?i)\bINTEGRAL(?:\s+ACCESS|\s+INVESTIMENTOS)?\b","Integral Investimentos",false,true,"independent_no_bank_parent","https://integralinvest.com.br/",2026-07-20,"Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group."
"(?i)\bLIMINE\s+TRUST\b","Limine Trust",false,true,"independent_no_bank_parent","https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm",2026-07-20,"DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking."
"(?i)\b(?:ITAU|ITAÚ|INTRAG|KINEA)\b","Itaú",true,false,"bank_group","https://www.itau.com.br/investmentservices/administracao-fiduciaria",2026-07-20,"Consolidar Itaú Unibanco, Itaú Asset, Intrag e Kinea; excluir do ranking independente."
"(?i)\bKANASTRA\b","Itaú",true,false,"minority_affiliate_user_rule","https://www.itau.com.br/media/dam/m/36e80c6030c3408c/original/010425-intrag-volta-ao-negocio-de-fidcs-de-recebiveis-em-parceria-com-a-kanastra.pdf",2026-07-20,"Itaú tornou-se acionista minoritário em janeiro de 2025. A alocação ao grupo Itaú é a regra de afiliação solicitada pelo usuário e não representa controle ou consolidação societária."
"(?i)\b(?:BANCO\s+DO\s+BRASIL|BB\s+GESTAO|BB\s+GESTÃO|BB\s+ASSET|BBDTVM)\b","Banco do Brasil",true,false,"bank_group","https://www.bb.com.br/site/investimentos/bb-asset/",2026-07-20,"Consolidar Banco do Brasil e BB Gestão/BBDTVM; excluir do ranking independente."
"(?i)\b(?:BRADESCO|BEM\s*[- ]|BRAM)\b","Bradesco",true,false,"bank_group","https://banco.bradesco/html/classic/sobre/",2026-07-20,"Consolidar Banco Bradesco, BEM DTVM e BRAM; excluir do ranking independente."
"(?i)\bSANTANDER\b","Santander",true,false,"bank_group","https://www.santander.com.br/investimentos-e-previdencia/informacoes-de-investimentos/documentos-legais",2026-07-20,"Consolidar Banco Santander e Santander DTVM; excluir do ranking independente."
"(?i)\b(?:S3\s+CACEIS|SANTANDER\s+CACEIS|CACEIS)\b","Santander",true,false,"bank_affiliated_joint_venture","https://www.santander.com.br/investimentos-e-previdencia/informacoes-de-investimentos/documentos-legais",2026-07-20,"S3 Caceis é vinculada a Santander e CACEIS; agrupar em Santander para a regra editorial e excluir do ranking independente."
"(?i)\bCAIXA(?:\s+ECONOMICA|\s+ECONÔMICA|\s+DISTRIBUIDORA|\s+ASSET)?\b","Caixa Econômica Federal",true,false,"bank_group","https://www.caixa.gov.br/",2026-07-20,"Consolidar Caixa Econômica Federal e Caixa DTVM; excluir do ranking independente."
"(?i)\bBTG\b","BTG Pactual",true,false,"bank_group","https://ri.btgpactual.com/",2026-07-20,"Consolidar Banco BTG Pactual, BTG Serviços Financeiros, BTG Asset e gestoras BTG; excluir do ranking independente."
"(?i)\bDAYCOVAL\b","Daycoval",true,false,"bank_group","https://ri.daycoval.com.br/",2026-07-20,"Consolidar Banco Daycoval e Daycoval Asset; excluir do ranking independente."
"(?i)\bGENIAL\b","Genial",true,false,"bank_group_contains_bank","https://media-cms-site.genialinvestimentos.com.br/wp-content/uploads/2023/11/21204058/Item-f.-Formulario-de-Referencia_Genial-Institucional_ADM-de-carteiras-1.pdf",2026-07-20,"Consolidar Banco Genial, Genial Investimentos e Genial Gestão. Definição estrita exclui grupos que contêm banco."
"(?i)\bXP(?:\s+INVESTIMENTOS|\s+SERVICOS|\s+SERVIÇOS|\s+VISTA|\s+ALLOCATION)?\b","XP",true,false,"bank_group_contains_bank","https://investors.xpinc.com/en/corporate-governance/corporate-structure/",2026-07-20,"Consolidar XP Investimentos, XP Serviços Financeiros, XP Vista e XP Allocation; o grupo contém Banco XP."
"(?i)(?:\bBNY(?:\s+MELLON)?\b|\bARX\s+INVESTIMENTOS\b)","BNY Mellon",true,false,"global_bank_group","https://www.bny.com/corporate/br/en.html",2026-07-20,"Consolidar BNY DTVM, BNY Banco e entidades do grupo BNY; excluir do ranking independente."
"(?i)\b(?:BANCO\s+BV|BANCO\s+VOTORANTIM|BV\s+ASSET)\b","Banco BV",true,false,"bank_group","https://ri.bv.com.br/",2026-07-20,"Consolidar Banco BV/Votorantim e BV Asset; excluir do ranking independente."
"(?i)\b(?:BANCO\s+ABC|ABC\s+BRASIL)\b","Banco ABC Brasil",true,false,"bank_group","https://ri.abcbrasil.com.br/",2026-07-20,"Consolidar entidades do Banco ABC Brasil; excluir do ranking independente."
"(?i)\b(?:BANCO\s+MASTER|MASTER\s+(?:S/?A\s+)?CORRETORA|MASTER\s+ASSET)\b","Banco Master",true,false,"bank_group","https://www.bancomaster.com.br/",2026-07-20,"Consolidar Banco Master, Master Corretora e Master Asset; excluir do ranking independente."
"(?i)\b(?:BANCO\s+J?\.?\s*SAFRA|J\s+SAFRA|SAFRA\s+ASSET)\b","Safra",true,false,"bank_group","https://www.safra.com.br/",2026-07-20,"Consolidar Banco Safra, Banco J. Safra e Safra Asset; excluir do ranking independente."
"(?i)\b(?:BANCO\s+INTER|INTER\s+(?:DISTRIBUIDORA|ASSET))\b","Inter",true,false,"bank_group","https://ri.bancointer.com.br/",2026-07-20,"Consolidar Banco Inter, Inter DTVM e Inter Asset; excluir do ranking independente."
"(?i)\b(?:BANCO\s+B3|B3\s+S\.?A\.?)\b","Banco B3",true,false,"bank_group","https://www.bancob3.com.br/",2026-07-20,"Consolidar Banco B3 e nomes jurídicos equivalentes; excluir do ranking independente."
"(?i)\b(?:BANCO\s+PINE|PINE\s+(?:ASSET|INVESTIMENTOS))\b","Banco Pine",true,false,"bank_group","https://ri.pine.com/",2026-07-20,"Consolidar Banco Pine e entidades de gestão do grupo; excluir do ranking independente."
