id,tipo_de_alteracao,estrutura_tabela_interna,fundo,cnpj,campo_alterado,valor_anterior,valor_novo,fonte,motivo,artefato
A018,Override do mínimo (confirmação),Fidc UPL Revendas,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,44574361000117,subordinacao_minima_pct → referencia_pct,15.0,15.0,Tabela interna de exposições agro — revisada por analista,Leitura automática e tabela interna coincidem; override fixa a fonte.,agro_revenda_reconciliacao_minimo.csv
A019,Override do mínimo (confirmação),Fidc MBRF,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,52720932000102,subordinacao_minima_pct → referencia_pct,—,5.0,Tabela interna de exposições agro — revisada por analista,Estrutura ausente da base; o mínimo do analista entra na inclusão.,agro_revenda_reconciliacao_minimo.csv
A020,Folga recalculada,Fidc Frimesa,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,58171340000165,folga_pp,20.0,1.0,Tabela interna de exposições agro — revisada por analista,Consequência aritmética do mínimo revisado sobre a mesma subordinação atual.,carteira_subordinacao_overrides.csv
A021,Classificação estrutural,Fidc Basf,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SALES FINANCE - RESPONSABILIDADE LIMITADA,45829624000154,categoria_estrutural,—,Agro / Revenda,Tabela interna de exposições agro — revisada por analista,"Mantido no universo agro por decisão do analista na tabela interna. O regulamento não traz vocabulário de operação e o CNPJ do cedente (BASF SA) tem CNAE de serviços compartilhados do grupo, então a evidência documental é inconclusiva.",carteira_subordinacao_overrides.csv
A022,Classificação estrutural,Fidc UPL,UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA,28472392000100,categoria_estrutural,—,Agro / Revenda,Tabela interna de exposições agro — revisada por analista,"Regulamento pontua 12 em Agro / Revenda (CPR, produtores rurais, agronegócio) e o cedente UPL do Brasil tem CNAE de atacado com predominância de insumos agropecuários. Evidência documental suficiente.",carteira_subordinacao_overrides.csv
A023,Classificação estrutural,Fidc MBRF,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,52720932000102,categoria_estrutural,—,Risco Corporativo,Tabela interna de exposições agro — revisada por analista,"Cedente declarado é BRF S.A., CNAE de comércio atacadista de carnes. O recebível é risco sacado sobre clientes de um único grupo corporativo, e não venda de insumo agrícola: pela taxonomia por lastro, é Risco Corporativo. A tabela interna o agrupa comercialmente em agro.",carteira_subordinacao_overrides.csv
A024,Revalidação documental,—,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,43309233000183,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 28 em termos de lastro agro: CPR, PRODUTORES? RU, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A025,Revalidação documental,—,TALÓ 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDI,43616659000180,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 28 em termos de lastro agro: CPR, PRODUTORES? RU, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A026,Revalidação documental,—,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIRE,47151680000108,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 26 em termos de lastro agro: CPR, PRODUTORES? RU, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A027,Revalidação documental,—,FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIR,52343195000176,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 22 em termos de lastro agro: CPR, PRODUTORES? RU, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A028,Revalidação documental,—,PONTO RURAL FIAGRO RESPONSABILIDADE LIMITADA,57131490000182,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 22 em termos de lastro agro: CPR, AGRONEGOCIO, INSUMOS? AGRIC.",agro_revenda_revisao_adicionais.csv
A029,Revalidação documental,—,FATOR TARKEN FIAGRO,56936116000191,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 22 em termos de lastro agro: CPR, AGRONEGOCIO, CDCA.",agro_revenda_revisao_adicionais.csv
A030,Revalidação documental,—,LAVORO AGRO FIAGRO - DIREITOS CREDITÓRIOS - RE,44272584000120,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 18 em termos de lastro agro: AGRONEGOCIO, INSUMOS? AGRIC, FIAGRO.",agro_revenda_revisao_adicionais.csv
A031,Revalidação documental,—,BOASAFRA FUNDO DE INVESTIMENTO EM DIREITOS CRE,50832746000130,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 18 em termos de lastro agro: CPR, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A032,Revalidação documental,—,LAVORO AGRO II FIAGRO - DIREITOS CREDITÓRIOS -,55476342000174,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 18 em termos de lastro agro: AGRONEGOCIO, INSUMOS? AGRIC, FIAGRO.",agro_revenda_revisao_adicionais.csv
A033,Revalidação documental,—,CLASSE ÚNICA DO FIDC CRÉDITO NITRO AGRO - RESP,51554551000138,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 16 em termos de lastro agro: PRODUTORES? RU, AGRONEGOCIO, INSUMOS? AGRIC.",agro_revenda_revisao_adicionais.csv
A034,Revalidação documental,—,NAGRO OIKOS FUNDO DE INVESTIMENTO NAS CADEIAS ,48946335000123,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 14 em termos de lastro agro: AGRONEGOCIO, FIAGRO.",agro_revenda_revisao_adicionais.csv
A035,Revalidação documental,—,CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CRE,47425750000179,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 13 em termos de lastro agro: CPR, AGRONEGOCIO, INSUMOS? AGRIC.",agro_revenda_revisao_adicionais.csv
A036,Revalidação documental,—,FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS A,47936340000192,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 12 em termos de lastro agro: PRODUTORES? RU, AGRONEGOCIO.",agro_revenda_revisao_adicionais.csv
A037,Revalidação documental,—,HELM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTI,58291962000127,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 11 em termos de lastro agro: AGRONEGOCIO, FIAGRO.",agro_revenda_revisao_adicionais.csv
A038,Revalidação documental,—,AGRICONNECTION FIAGRO,50089559000108,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,"Pontuação 10 em termos de lastro agro: AGRONEGOCIO, FIAGRO.",agro_revenda_revisao_adicionais.csv
A039,Revalidação documental,—,INDIE MERX RAIZ I CRÉDITO AGRO FIDC DO AGRONEG,54857414000160,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,Pontuação 8 em termos de lastro agro: AGRONEGOCIO.,agro_revenda_revisao_adicionais.csv
A040,Revalidação documental,—,AGROMERCANTIL CRÉDITO AGRO FUNDO DE INVESTIMEN,57752597000148,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sustentado),Regulamento vigente na FundosNET,Pontuação 4 em termos de lastro agro: AGRONEGOCIO.,agro_revenda_revisao_adicionais.csv
A041,Revalidação documental,—,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,55374251000128,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A042,Revalidação documental,—,UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADE,37645417000111,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A043,Revalidação documental,—,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDIT,29492605000129,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A044,Revalidação documental,—,CD CASH FUNDO DE INVESTIMENTO EM DIREITOS CRED,37035970000132,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A045,Revalidação documental,—,MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CR,50536324000117,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A046,Revalidação documental,—,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,43866348000179,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A047,Revalidação documental,—,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDI,45523699000102,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A048,Revalidação documental,—,CHEMICAL XIII - FUNDO DE INVESTIMENTO EM DIREI,50098465000103,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A049,Revalidação documental,—,WORKCAP AGRO FUNDO DE INVESTIMENTO EM DIREITOS,33076242000118,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
A050,Revalidação documental,—,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓ,52968533000165,evidência documental de Agro / Revenda,Agro / Revenda,Agro / Revenda (sem evidência no regulamento),Regulamento vigente na FundosNET,O regulamento não traz vocabulário de operação agro; mantido e sinalizado para revisão.,agro_revenda_revisao_adicionais.csv
