bloco,tabela,cnpj,emissao_id,fundo,originador,subordinacao_minima,preco_por_tipo_cota,cedente,sacado,fonte_originador_cedente,fonte_subordinacao,fonte_preco,fonte_sacado,status
slides 10–13,Fomento Mercantil · 2025-12,63465818000108,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,N/D — não localizado na curadoria flagship,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,08678936000188,N/D — tabela no nível do fundo,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,N/D,N/D,N/D,N/D,N/D,N/D — não localizado na curadoria flagship,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2025-12,52720932000102,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,N/D,N/D,N/D,N/D,N/D,N/D — não localizado na curadoria flagship,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",09195235000150,N/D — tabela no nível do fundo,FIDC DO SISTEMA PETROBRAS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09195235000150,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",52610624000124,N/D — tabela no nível do fundo,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",21126275000146,N/D — tabela no nível do fundo,VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=21126275000146,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",47228232000165,N/D — tabela no nível do fundo,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=47228232000165,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",48349509000170,N/D — tabela no nível do fundo,OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário explícito do usuário — tarefa de reclassificação,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",11230727000181,N/D — tabela no nível do fundo,FIDC GM - VENDA DE VEÍCULOS,N/D,N/D,N/D,N/D,N/D,FundosNet/B3 — regulamento 700587,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",59356753000187,N/D — tabela no nível do fundo,ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,ÂMBAR ENERGIA S.A. — CNPJ 01.645.009/0003-84.,N/D,N/D,ÂMBAR ENERGIA S.A. — CNPJ 01.645.009/0003-84.,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=59356753000187,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",50095909000149,N/D — tabela no nível do fundo,VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=50095909000149,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",62393829000159,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393829000159,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",52651831000127,N/D — tabela no nível do fundo,HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,FundosNet/B3 — regulamento 690896,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",09217024000171,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09217024000171,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",34218864000104,N/D — tabela no nível do fundo,CLASSE ÚNICA MULTIMERCADO DO FUNDO DE INVESTIMENTO FINANCEIRO MOTO-HONDA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=34218864000104,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",28279473000199,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,N/D,N/D,N/D,N/D,N/D,FundosNet/B3 — regulamento 659783,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",29492605000129,N/D — tabela no nível do fundo,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=29492605000129,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,"Agro, Indústria e Comércio · 2025-12",40801446000130,N/D — tabela no nível do fundo,EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=40801446000130,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,26287464000114,N/D — tabela no nível do fundo,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,N/D — documento não disponível nas fontes locais,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,52242420000188,N/D — tabela no nível do fundo,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52242420000188,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,36886028000115,N/D — tabela no nível do fundo,ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=36886028000115,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,26286939000158,N/D — tabela no nível do fundo,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,N/D — documento não disponível nas fontes locais,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,28169275000172,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,N/D,N/D,N/D,N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,FundosNet/B3; documento 1149521; referência 2026-03-25; cláusulas candidatas revisadas,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,32527650000186,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=32527650000186,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,50473039000102,N/D — tabela no nível do fundo,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,N/D,"10,0%",R$ 1.000,N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,FundosNet/B3; documento 909547; referência 2025-05-19; p. 99; item 8.8,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,62393679000183,N/D — tabela no nível do fundo,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,N/D,"1,0% até D+180; 2,5% após D+180","R$ 1.000,00",N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,FundosNet/B3; documento 1117954; referência 2026-02-19; p. 162–166,1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.142-145 · 1124808_emissao_emissao_1124808_2026-02-27.pdf | 1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.153-156 | 1117954_regulamento_regulamento_1117954_2026-02-19.pdf · p.164-166,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,60010416000112,N/D — tabela no nível do fundo,MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Parati Crédito Financiamento e Investimento S.A. — CNPJ 03.311.443/0001-91.,"5,0%","R$ 1.000,00",Parati Crédito Financiamento e Investimento S.A. — CNPJ 03.311.443/0001-91.,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=60010416000112,FundosNet/B3; documento 1051393; referência 2025-10-09; definição “Índice de Subordinação”,1049114_assembleia_assembleia_1049114_2025-11-26.pdf · p.1-3,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,54979779000168,N/D — tabela no nível do fundo,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário explícito do usuário — tarefa Adquirência,N/D — documento não disponível nas fontes locais,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,42922136000107,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,12817329000129,N/D — tabela no nível do fundo,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,60356171000180,N/D — tabela no nível do fundo,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk Instituição de Pagamento e Serviços Ltda. — CNPJ 18.189.547/0001-42.,"2,5%","R$ 1,00",Cloudwalk Instituição de Pagamento e Serviços Ltda. — CNPJ 18.189.547/0001-42.,N/D,Comentário explícito do usuário — tarefa Adquirência,FundosNet/B3; documento 993687; referência 2025-09-04; p. 112–113; apêndice Mezanino B,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.6-8 · ID 883040 | 883040_regulamento_regulamento_883040_2025-04-11.pdf · p.10-11 · ID 883040,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,63662224000189,N/D — tabela no nível do fundo,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=63662224000189,FundosNet/B3; documento 1059307; referência 2025-12-10; cláusulas candidatas revisadas,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Financeiro · 2025-12,57609282000146,N/D — tabela no nível do fundo,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,N/D,N/D,N/D,N/D,N/D,N/D — não localizado na curadoria flagship,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,53286499000101,N/D — tabela no nível do fundo,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,FundosNet/B3 — regulamento 579249,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,53263761000100,N/D — tabela no nível do fundo,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53263761000100,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,53216449000158,N/D — tabela no nível do fundo,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,63700113000110,N/D — tabela no nível do fundo,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=63700113000110,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,51152102000163,N/D — tabela no nível do fundo,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=51152102000163,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,29301202000155,N/D — tabela no nível do fundo,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,42358004000196,N/D — tabela no nível do fundo,ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=42358004000196,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,17250006000110,N/D — tabela no nível do fundo,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,53029409000105,N/D — tabela no nível do fundo,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53029409000105,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,51079269000146,N/D — tabela no nível do fundo,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=51079269000146,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,29225241000110,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,07727002000126,N/D — tabela no nível do fundo,FIDC PCG - BRASIL MULTICARTEIRA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,29109350000172,N/D — tabela no nível do fundo,JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=29109350000172,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,24194675000187,N/D — tabela no nível do fundo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=24194675000187,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Outros · 2025-12,55344996000144,N/D — tabela no nível do fundo,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=55344996000144,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2026-06,34197588000137,N/D — tabela no nível do fundo,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,Comentário manual do usuário — IMG_8592.jpg,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2026-06,11468186000124,N/D — tabela no nível do fundo,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=11468186000124,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
slides 10–13,Fomento Mercantil · 2026-06,32321307000180,N/D — tabela no nível do fundo,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,N/D,N/D,N/D,N/D,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=32321307000180,N/D,N/D,N/D — não localizado na curadoria flagship,N/D preservado onde não há evidência documental suficiente
