rank_outros,cnpj_fundo,nome_fidc,pl_atual_brl,competencia_pl,existente_ativo,document_id,document_reference_date,document_url,cedent_originator_explicit,evidence_summary,proposed_category,reclassification_status,manual_validation_reason,reading_method,source_limitations
11,53073485000100,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,3516792400.64,2026-06,True,,N/D,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53073485000100,Regulamento não localizado no FundosNet para o CNPJ consultado.,"A listagem pública continha outros documentos, sem regulamento disponível.",N/D,validação_manual,Documento primário indisponível; não usar nome do fundo ou prestadores como evidência.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Regulamento não localizado no FundosNet; ausência documentada.
12,48349509000170,OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3470655083.68,2026-06,True,1170302,2026-04-27,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=48349509000170,Ausência de originador ou cedente nominal no documento selecionado.,O documento mais recente disponível não individualiza cedente ou originador.,N/D,validação_manual,O arquivo selecionado não traz detalhe suficiente da política de direitos creditórios.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
13,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3394314559.41,2026-06,True,1090771,2025-01-10,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=17250006000110,Múltiplos cedentes; nomes individuais não informados.,O regulamento declara que os direitos podem ser originados por cedentes distintos e que os processos de originação não são preestabelecidos.,N/D,validação_manual,A carteira é diversificada e o regulamento não identifica uma entidade originadora.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
14,49826785000145,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3364983017.12,2026-06,True,1072129,2025-12-29,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=49826785000145,Pessoas físicas ou jurídicas; nomes individuais não informados.,A definição de Cedentes é genérica e não individualiza entidade originadora.,N/D,validação_manual,A política ampla não sustenta reclassificação sem composição atual da carteira.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
15,07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,2026-06,True,790453,2024-11-28,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=07727002000126,Entidades distintas; nomes individuais não informados.,O regulamento declara que os direitos são originados ou cedidos por entidades distintas e admite todos os segmentos econômicos.,Outros — Multicarteira,manter_em_outros,O perfil amplo é compatível com Multicarteira Outros.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
16,51079269000146,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3058107297.6,2026-06,True,884671,2025-04-11,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=51079269000146,Empresas em recuperação judicial ou não; nomes individuais não informados.,"A definição de Cedentes é genérica e a política abrange direitos judiciais, públicos e inadimplidos.",Outros — Recuperação/Judicial,manter_em_outros,"A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
17,24194675000187,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3030582055.52,2026-06,True,830508,2025-02-03,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=24194675000187,"Pessoas físicas, pessoas jurídicas ou fundos de investimento; nomes individuais não informados.","A definição de Cedente é genérica; a política contempla litígios, pré-precatórios, precatórios e créditos inadimplidos.",Outros — Recuperação/Judicial,manter_em_outros,"A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
18,53029409000105,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2943415740.48,2026-06,True,565885,2023-12-07,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53029409000105,Aquele que realiza a cessão; nome individual não informado.,A definição de Cedente é genérica; o regulamento não nomeia entidade originadora.,N/D,validação_manual,A política permite várias classes de direitos e não comprova uma categoria dominante.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
19,26405883000103,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,2633629374.15,2026-06,True,787165,2024-11-22,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=26405883000103,Pessoas físicas ou jurídicas; nomes individuais não informados.,A definição de Cedentes é genérica; o fundo adquire direitos de múltiplos segmentos com perfil NPL.,Outros — Recuperação/NPL,manter_em_outros,"A documentação sustenta subcategoria econômica, mas permanece compatível com Outros na taxonomia vigente.",FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
20,20441301000168,ARTESANAL CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2531753764.54,2026-06,True,997050,2025-09-02,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=20441301000168,Pessoas físicas ou jurídicas; nomes individuais não informados.,A definição de Cedentes é genérica e o próprio regulamento mantém a classificação Outros/Multicarteira Outros.,Outros — Multicarteira,manter_em_outros,A classificação vigente é expressamente reproduzida no regulamento.,FundosNet; seleção do regulamento público vigente mais recente e extração de texto PDF por pypdf,Extração automatizada do regulamento mais recente; a decisão taxonômica permanece sujeita a validação manual quando indicada.
