closeout_id,ordem,pacote_tipo,escopo,prioridade,status_fechamento,bloqueia_publicacao,exige_nota_publica,pendencias,fundos,pl_referencia_brl,competencia_referencia,evidencia,acao_sugerida,ui_surface,source_artifacts,rerun_command,record_ids_sample
onboarding_202605_65783221000129,201,onboarding,FIDC JOHN DEERE I SEGMENTO RECEBÍVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,16,1,736393218.62,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_65783221000129
onboarding_202605_64756643000142,202,onboarding,ARVIN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LIMITADA,alta,bloqueado,True,False,19,1,105286796.46,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_64756643000142
onboarding_202605_53823295000162,203,onboarding,ITAÚ HIMALAIA PRIVATE MARKETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITAD,alta,bloqueado,True,False,18,1,313853650.62,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_53823295000162
onboarding_202605_65220183000104,204,onboarding,WEG INTEGRADORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LIMITADA,alta,bloqueado,True,False,19,1,99995296.19,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_65220183000104
onboarding_202605_66790195000129,205,onboarding,ORIZ JURI LSN III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,84949618.3,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66790195000129
onboarding_202605_66282853000171,206,onboarding,BTG LEGATO CW II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,alta,bloqueado,True,False,17,1,59933941.0,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66282853000171
onboarding_202605_66120764000129,207,onboarding,BS2 FUNDO DE INVESTIMENTO FINANCEIRO,alta,bloqueado,True,False,17,1,56028166.65,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66120764000129
onboarding_202605_65813874000103,208,onboarding,POLO CAPITAL YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,21,1,53648284.37,2026-05,processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem cedente/sacado | sem critérios | sem sub mínima,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_65813874000103
onboarding_202605_66710965000186,209,onboarding,PONTAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,18,1,47556117.79,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66710965000186
onboarding_202605_66571503000125,210,onboarding,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEXA CITRINO - RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,40352658.18,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66571503000125
onboarding_202605_61942198000117,211,onboarding,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS HAM - RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,19,1,30336116.32,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_61942198000117
onboarding_202605_66575588000110,212,onboarding,FINANTO INSS RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,25388922.57,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66575588000110
onboarding_202605_64656737000140,213,onboarding,VINCI SPS UY3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,alta,bloqueado,True,False,16,1,23981134.32,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_64656737000140
onboarding_202605_66857424000185,214,onboarding,NEO CONSIGNADO PRIVADO FIC FIDC RESP LIMITADA,alta,bloqueado,True,False,18,1,23135295.91,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66857424000185
onboarding_202605_66814472000196,215,onboarding,CLASSE I FECHADA DO RIZA KRATOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESP LIMITADA,alta,bloqueado,True,False,17,1,21020000.0,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66814472000196
onboarding_202605_66856459000108,216,onboarding,ABSOLUTE CIVITAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,alta,bloqueado,True,False,16,1,19924287.7,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66856459000108
onboarding_202605_57658801000166,217,onboarding,SARFATY INSURED CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,19,1,19197061.33,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_57658801000166
onboarding_202605_64291147000160,218,onboarding,SANTO EXPEDITO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,alta,bloqueado,True,False,16,1,16842575.85,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_64291147000160
onboarding_202605_48411822000191,219,onboarding,SIGSUG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,18,1,16483383.36,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_48411822000191
onboarding_202605_61294007000158,220,onboarding,HOSPCOM EQUIPAMENTOS HOSPITALARES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,alta,bloqueado,True,False,17,1,15609189.06,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_61294007000158
onboarding_202605_66592945000158,221,onboarding,MONTESEGURO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,15351047.14,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66592945000158
onboarding_202605_66644176000194,222,onboarding,FORESTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,alta,bloqueado,True,False,17,1,14875566.0,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66644176000194
onboarding_202605_66282332000114,223,onboarding,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INTRA DIGITAL CASH CLT,alta,bloqueado,True,False,17,1,11635609.39,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66282332000114
onboarding_202605_66573074000125,224,onboarding,SEVEN CRÉDITO ESTRUTURADO 90 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,10591315.46,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_66573074000125
onboarding_202605_63951472000140,225,onboarding,ANDRADE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,alta,bloqueado,True,False,17,1,9990976.49,2026-05,descoberta documental | processamento documental | incorporação estruturada | fechar fila única,descobrir documentos | inventariar documentos | curar cedentes/sacados | curar critérios | validar sub mínima | sem documento | sem documento local | sem cedente/sacado,Pipeline > Refresh mensal > Onboarding,vehicle_monthly.csv.gz | industry_fund_snapshot.csv.gz | industry_curation_queue.csv.gz | document_chunk_plan.csv,python scripts/build_fidc_industry_documents.py && python scripts/build_fidc_industry_cedentes.py && python scripts/build_fidc_industry_criteria.py | python scripts/build_fidc_industry_fund_snapshot.py | python scripts/build_fidc_industry_dimensions.py,202605_63951472000140
