period_order,period_label,period_start,period_end,is_full_year,instrument_order,instrument_label,cvm_instrument,cvm_closed_offers,cvm_registered_volume_brl,cvm_harmonization_instrument,cvm_harmonization_volume_brl,cvm_harmonized_volume_brl,anbima_instrument_label,anbima_closed_volume_brl,raw_gap_brl,raw_gap_pct,harmonized_gap_brl,harmonized_gap_pct,primary_explanation,cvm_source_dataset,cvm_source_url,cvm_source_as_of_date,cvm_source_archive_sha256,cvm_metric,cvm_scope,anbima_source_name,anbima_source_url,anbima_source_snapshot,anbima_source_sheet,anbima_source_range,anbima_source_workbook_sha256,anbima_metric,anbima_scope,limitation
3,2025 FY,2025-01-01,2025-12-31,True,1,Debêntures,DEBENTURES,604,453665574708.05,OUTROS TITULOS DE SECURITIZACAO,38753636501.0,492419211209.05,Debêntures,493390073108.0017,-39724498399.95172,-0.08051337180279292,-970861898.9517212,-0.0019677369932394285,A ANBIMA inclui debêntures de securitização. A CVM passou a classificar parte desse volume como Outros títulos de securitização.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,2,FIDCs,COTAS DE FIDC,1473,116921319054.76999,,0.0,116921319054.76999,FIDC,90985106092.70312,25936212962.066864,0.28505998482477907,25936212962.066864,0.28505998482477907,A CVM mede volume registrado de ofertas primárias; a ANBIMA mede valor encerrado e o anexo não segrega sistematicamente ofertas primárias e secundárias.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,3,CRI,CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS,543,54329561267.270004,,0.0,54329561267.270004,CRI,49370890807.45136,4958670459.818642,0.1004371276013162,4958670459.818642,0.1004371276013162,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,4,Notas comerciais,NOTAS COMERCIAIS,236,53583946853.0,,0.0,53583946853.0,Notas Comerciais,51792395853.0,1791551000.0,0.03459100453828932,1791551000.0,0.03459100453828932,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
3,2025 FY,2025-01-01,2025-12-31,True,5,CRA,CERTIFICADOS DE RECEBIVEIS DO AGRONEGOCIO,150,47202138266.95,,0.0,47202138266.95,CRA,46168395183.91086,1033743083.0391388,0.022390708598842225,1033743083.0391388,0.022390708598842225,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a divergência de 2023 permanece sem causa atribuída.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,1,Debêntures,DEBENTURES,200,127739007547.0,OUTROS TITULOS DE SECURITIZACAO,20685161391.0,148424168938.0,Debêntures,146314492401.0112,-18575484854.0112,-0.12695587804863834,2109676536.9888,0.014418780411763366,A ANBIMA inclui debêntures de securitização. A CVM passou a classificar parte desse volume como Outros títulos de securitização.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,2,FIDCs,COTAS DE FIDC,554,51475115157.09,,0.0,51475115157.09,FIDC,41648129901.94184,9826985255.148155,0.23595261727922082,9826985255.148155,0.23595261727922082,A CVM mede volume registrado de ofertas primárias; a ANBIMA mede valor encerrado e o anexo não segrega sistematicamente ofertas primárias e secundárias.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,3,CRI,CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS,192,17194216830.34,,0.0,17194216830.34,CRI,15665621569.42634,1528595260.91366,0.09757641943151035,1528595260.91366,0.09757641943151035,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,4,Notas comerciais,NOTAS COMERCIAIS,102,18825007000.0,,0.0,18825007000.0,Notas Comerciais,17089791033.0,1735215967.0,0.10153523607452761,1735215967.0,0.10153523607452761,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
4,2026 jan-mai,2026-01-01,2026-05-31,False,5,CRA,CERTIFICADOS DE RECEBIVEIS DO AGRONEGOCIO,35,5508709000.0,,0.0,5508709000.0,CRA,5362680000.0,146029000.0,0.02723060111735177,146029000.0,0.02723060111735177,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a divergência de 2023 permanece sem causa atribuída.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
