cnpj,fundo,categoria_original,risco_corporativo,cedente,multicedente,multissacado,categoria_final,acao,documento_id,documento_data,pagina,evidencia,observacao
63622842000103,DESBRAVA UNO ARTIGOS ESPORTIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Risco Corporativo,não reavaliado,não aplicável,não,sim,Multicedente/Multissacado,mover,1051646,2025-12-01,"8; 30; 34","Os direitos são notas comerciais emitidas por devedores; a política não impõe concentração máxima por devedor.","Estrutura de subscrição primária de notas comerciais; pluralidade de devedores confirmada."
62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1242436,2026-07-08,"4; 49-50","Cedentes são fornecedores e o regulamento limita a carteira às duas únicas devedoras.","Validação cruzada do grupo Risco Corporativo."
38658727000133,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,Risco Corporativo,não reavaliado,indeterminado,sim,não,Multicedente/Multissacado,mover,1216296,2026-06-05,"4; 28; 85","Os direitos são originados por pessoas físicas ou jurídicas que celebram contratos com a devedora Madeira Madeira; os pagamentos são feitos aos respectivos cedentes.","Multicedente confirmado; a devedora é singular no regulamento."
31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I - RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1203635,2026-05-25,"24; 31","O contrato de cessão é celebrado com cada cedente e os limites alcançam cada devedor a partir do 21º maior devedor.","Validação cruzada do grupo Risco Corporativo."
52340225000190,INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA DE RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1171206,2026-03-25,"18; 84; 87","A política trata de novas carteiras de cedentes e de compradores por vendedor afiliado; o risco de concentração cita devedores e credores originais ou fornecedores.","Validação cruzada do grupo Risco Corporativo."
63657457000193,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,indeterminado,sim,sim,Multicedente/Multissacado,mover,1205333,2026-05-27,21,"A classe deve manter direitos de múltiplas cedentes e de no mínimo 15 devedores de grupos econômicos diferentes.","Validação cruzada do grupo Risco Corporativo."
65836995000170,PNEUCASH II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA RESP LIMITADA,Risco Corporativo,não reavaliado,indeterminado,indeterminado,indeterminado,Risco Corporativo,manter,1184847,2026-05-11,,"O PDF vigente está disponível, porém não contém camada textual suficiente para confirmar pluralidade de cedentes ou devedores.","Classificação multicedente/multissacado mantida como indeterminada."
58476088000100,SAGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,não aplicável,não,sim,Multicedente/Multissacado,mover,852325,2025-02-25,"14; 64; 101","Os direitos são notas comerciais emitidas por pessoas jurídicas do Grupo Saga; o regulamento registra ausência de diversificação entre grupos, com devedores no plural.","Multissacado confirmado dentro de um único grupo econômico."
52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Risco Corporativo,não reavaliado,"Sotreq S.A. e Somov S.A.",sim,sim,Multicedente/Multissacado,mover,1117315,2026-02-06,"51; 59; 123","Cedentes são Sotreq e Somov; devedores são pessoas físicas ou jurídicas de diversos segmentos e há quantidade mínima de devedores.","Validação cruzada do grupo Risco Corporativo."
58349979000198,VOLKSWAGEN TERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LTDA,Risco Corporativo,não reavaliado,indeterminado,indeterminado,sim,Multicedente/Multissacado,mover,826213,2025-01-28,"13; 38","A gestora monitora quantidade mínima de devedores e o fundo deve manter ao menos 100 devedores de grupos econômicos diferentes.","A pluralidade de cedentes não foi confirmada."
52720932000102,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,Risco Corporativo,não reavaliado,BRF S.A.,não,sim,Multicedente/Multissacado,mover,561369,2023-11-29,"8; 14; 20; 87","O regulamento define a BRF S.A. como cedente única; devedores são clientes da BRF e a lista admite novos devedores. Os limites de concentração alcançam ao menos 651 grupos econômicos de devedores.","Multissacado confirmado; a cedente contratual é única."
