fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Índice de inadimplência - amortização acelerada,Índice de inadimplência - amortização acelerada,—,Índice de Inadimplência Relevante <= 7%,monitoravel com ressalva,Vencidos Over 90 d / Crédito,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Índice de inadimplência - evento de avaliação,Índice de inadimplência - evento de avaliação,—,Índice de Inadimplência Relevante <= 8%,monitoravel com ressalva,Vencidos Over 90 d / Crédito,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,01/12/2022,Reserva ou caixa mínimo,enquadramento,<=,75%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,386205_regulamento_regulamento_386205_2022-12-01.pdf
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Derivativos/ativos de liquidez limitados conforme regra textual; referência de 20% em ativos/posições específicas,monitoravel com ressalva,Posições mantidas em derivativos,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776
MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,20/10/2025,Subordinação mínima sênior,Subordinação mínima sênior,—,Subordinação estrutural >= 10%,monitoravel com ressalva,Cotas Sub / PL,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,26/04/2023,Limite de concentração,elegibilidade,>=,5%,nao_monitoravel,—,451466_regulamento_regulamento_451466_2023-04-26.pdf
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,19/12/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,Direitos Creditórios / PL >= 67%; Índices de Gerenciamento adicionais aplicáveis,monitoravel com ressalva,Dir Cred / PL,1077334_regulamento_regulamento_1077334_2025-12-19.pdf · p.160-161 · ID 1077334
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,28/11/2023,Cobertura mínima de PDD/provisão,enquadramento,>=,"0,0%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,559878_regulamento_regulamento_559878_2023-11-28.pdf
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,25/08/2021,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Derivativos permitidos para caixa/liquidez até 20%,monitoravel com ressalva,Posições mantidas em derivativos,209157_regulamento_regulamento_209157_2021-08-25.pdf · ID 209157
MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,19/12/2025,Subordinação mínima júnior,Subordinação mínima júnior,—,Cotas Subordinadas Júnior / PL >= 10%,monitoravel com ressalva,Cotas Sub Jr / PL,1077334_regulamento_regulamento_1077334_2025-12-19.pdf · ID 1077334
SELLER FIDC,50.473.039/0001-02,—,Inconsistência de verificação de lastro,Inconsistência de verificação de lastro,>,5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,"909547 pp.107,112"
SELLER FIDC,50.473.039/0001-02,23/11/2023,Limite de concentração,elegibilidade,<=,20%,nao_monitoravel,—,558844_regulamento_regulamento_558844_2023-11-23.pdf
SELLER FIDC,50.473.039/0001-02,—,Índice de Cobertura Sênior,Índice de Cobertura Sênior,—,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"909547 pp.46,61,110"
SELLER FIDC,50.473.039/0001-02,—,Índice de Cobertura Mezanino,Índice de Cobertura Mezanino,—,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"909547 pp.46,61,110"
SELLER FIDC,50.473.039/0001-02,—,Alocação mínima regulatória,Alocação mínima regulatória,—,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,"909547 pp.58,115"
SELLER FIDC,50.473.039/0001-02,—,Inadimplemento de Direitos Creditórios,Inadimplemento de Direitos Creditórios,—,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,909547 pp.114-115
SELLER FIDC,50.473.039/0001-02,—,Alocação mínima tributária,Alocação mínima tributária,—,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,909547 pp.31
SELLER FIDC,50.473.039/0001-02,—,Reserva de Caixa,Reserva de Caixa,—,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,"909547 pp.51,103-104"
SELLER FIDC,50.473.039/0001-02,—,Reserva de Liquidez,Reserva de Liquidez,—,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,"909547 pp.51,103"
SELLER FIDC,50.473.039/0001-02,19/05/2025,Cobertura mínima de PDD/provisão,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,909547_regulamento_regulamento_909547_2025-05-19.pdf
SELLER FIDC,50.473.039/0001-02,—,Derivativos,Derivativos,—,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,909547 pp.58
SELLER FIDC,50.473.039/0001-02,19/05/2025,Limite de recompra,enquadramento,<=,5%,monitoravel,Recompras / Crédito ou Recompras / PL,909547_regulamento_regulamento_909547_2025-05-19.pdf
SELLER FIDC,50.473.039/0001-02,—,Índice de Subordinação,Índice de Subordinação,—,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino","909547 pp.99,107-108"
SELLER II,55.471.753/0001-77,—,PL mínimo operacional,PL mínimo operacional,—,PL diário não inferior a R$ 1.000.000 por 90 dias consecutivos,direto com ressalva,PL,704724 p.61
SELLER II,55.471.753/0001-77,—,Alocação mínima regulatória,Alocação mínima regulatória,—,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,704724 p.61
SELLER II,55.471.753/0001-77,—,Alocação mínima adicional tributária,Alocação mínima adicional tributária,—,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,704724 p.61
SELLER II,55.471.753/0001-77,—,Índice de Cobertura / Liquidez para novas emissões,Índice de Cobertura / Liquidez para novas emissões,—,"Índice de Cobertura e Índice de Liquidez >= 1,00",parcial,"Proxy com DC, disponibilidades e cotas; fatores manuais",704724 p.104; 705139 p.5
SELLER II,55.471.753/0001-77,—,Reserva de Liquidez,Reserva de Liquidez,—,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades; despesas ordinárias precisam input/manual,704724 pp.110-111
SELLER II,55.471.753/0001-77,—,Reserva de Caixa,Reserva de Caixa,—,"Principal: 100% até D-10, acumula desde D-45; Remuneração: 100% até D-5, acumula desde D-10",parcial,Disponibilidades/Ativos Financeiros vs próximo pagamento,704724 p.111; 705139 p.4
SELLER II,55.471.753/0001-77,25/07/2024,Cobertura mínima de PDD/provisão,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,704724_regulamento_regulamento_704724_2024-07-25.pdf
SELLER II,55.471.753/0001-77,—,Derivativos,Derivativos,—,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL,704724 p.61
SELLER II,55.471.753/0001-77,25/07/2024,Limite de recompra,enquadramento,>=,5%,monitoravel,Recompras / Crédito ou Recompras / PL,704724_regulamento_regulamento_704724_2024-07-25.pdf
SELLER II,55.471.753/0001-77,—,Índice de Subordinação,Índice de Subordinação,—,"Cotas Subordinadas Juniores / PL >= 33,3%",direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino",704724 pp.106-107
SELLER 3,63.572.282/0001-11,—,Inconsistência de verificação de lastro,Inconsistência de verificação de lastro,>,5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,"1089845 pp.107,112"
SELLER 3,63.572.282/0001-11,—,Índice de Cobertura Mezanino,Índice de Cobertura Mezanino,—,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"1089845 pp.46,61,110"
SELLER 3,63.572.282/0001-11,—,Índice de Cobertura Sênior,Índice de Cobertura Sênior,—,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"1089845 pp.46,61,110"
SELLER 3,63.572.282/0001-11,—,Inadimplemento de Direitos Creditórios,Inadimplemento de Direitos Creditórios,—,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,1089845 pp.114-115
SELLER 3,63.572.282/0001-11,—,Alocação mínima tributária,Alocação mínima tributária,—,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,1089845 pp.31
SELLER 3,63.572.282/0001-11,—,Alocação mínima regulatória,Alocação mínima regulatória,—,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,"1089845 pp.58,115"
SELLER 3,63.572.282/0001-11,—,Reserva de Caixa,Reserva de Caixa,—,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,"1089845 pp.51,103-104"
SELLER 3,63.572.282/0001-11,—,Reserva de Liquidez,Reserva de Liquidez,—,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,"1089845 pp.51,103"
SELLER 3,63.572.282/0001-11,21/01/2026,Cobertura mínima de PDD/provisão,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,1089845_regulamento_regulamento_1089845_2026-01-21.pdf
SELLER 3,63.572.282/0001-11,—,Derivativos,Derivativos,—,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,1089845 pp.58
SELLER 3,63.572.282/0001-11,21/01/2026,Limite de recompra,enquadramento,<=,5%,monitoravel,Recompras / Crédito ou Recompras / PL,1089845_regulamento_regulamento_1089845_2026-01-21.pdf
SELLER 3,63.572.282/0001-11,—,Índice de Subordinação,Índice de Subordinação,—,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino","1089845 pp.99,107-108"
