fidc,cri,estado,criterio_que_bloqueia_ou_evidencia,fonte_id,status
FIDC-V,CRI-IV,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-V,CRI-V,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-V,CRI-VI,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VI,CRI-I,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VI,CRI-II,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VI,CRI-III,Cedeu,Deck registra cedentes FIDC II + IV + VI,ANX-DECK,Documentado
FIDC-VI,CRI-IV,Cedeu,Deck registra cedentes FIDC II + IV + VI e cessao direta da originadora,ANX-DECK,Documentado
FIDC-VI,CRI-V,Cedeu,"Deck registra cedente FIDC VI e cessao direta; a lamina confirma a existencia de um 'Cedente Fundo' com Gestora e custodiante proprios, sem nomea-lo",ANX-DECK; ANX-LAM-V174,Documentado
FIDC-VI,CRI-VI,Cedeu,Deck registra cedentes FIDC VI + VII e cessao direta,ANX-DECK,Documentado
FIDC-VII,CRI-I,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VII,CRI-II,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VII,CRI-III,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VII,CRI-IV,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VII,CRI-V,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-VII,CRI-VI,Cedeu,Deck registra cedentes FIDC VI + VII e cessao direta,ANX-DECK,Documentado
