veiculo_id,serie,camada,n_pagamento,competencia,status,paga_amortizacao,pct_amortizacao_do_saldo,saldo_final_pct_do_VNU,paga_remuneracao,atinge_98pct_amortizado,fonte_id
CRI-II,1a,Super Senior,38,06/08/2027,Projetado,sim,4.3478,37.9310,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,39,08/09/2027,Projetado,sim,4.5455,36.2069,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,40,07/10/2027,Projetado,sim,4.7619,34.4827,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,41,08/11/2027,Projetado,sim,5.0000,32.7586,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,42,07/12/2027,Projetado,sim,5.2632,31.0344,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,43,07/01/2028,Projetado,sim,5.5556,29.3103,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,44,07/02/2028,Projetado,sim,5.8824,27.5861,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,45,07/03/2028,Projetado,sim,6.2500,25.8620,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,46,07/04/2028,Projetado,sim,6.6667,24.1379,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,47,08/05/2028,Projetado,sim,7.1429,22.4137,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,48,07/06/2028,Projetado,sim,7.6923,20.6896,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,49,07/07/2028,Projetado,sim,8.3333,18.9655,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,50,07/08/2028,Projetado,sim,9.0909,17.2413,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,51,08/09/2028,Projetado,sim,10.0000,15.5172,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,52,06/10/2028,Projetado,sim,11.1111,13.7931,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,53,08/11/2028,Projetado,sim,12.5000,12.0689,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,54,07/12/2028,Projetado,sim,14.2857,10.3448,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,55,08/01/2029,Projetado,sim,16.6667,8.6207,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,56,07/02/2029,Projetado,sim,20.0000,6.8965,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,57,07/03/2029,Projetado,sim,25.0000,5.1724,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,58,06/04/2029,Projetado,sim,33.3333,3.4483,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,59,08/05/2029,Projetado,sim,50.0000,1.7241,sim,sim,ANX-TS2-K2
CRI-II,1a,Super Senior,60,Data de Vencimento,Projetado,sim,100.0000,0.0000,sim,sim,ANX-TS2-K2
CRI-II,2a,Senior,1,05/07/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,2a,Senior,2,07/08/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,2a,Senior,3,06/09/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,2a,Senior,4,07/10/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,2a,Senior,5,07/11/2024,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,6,06/12/2024,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,7,08/01/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,8,07/02/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,9,11/03/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,10,07/04/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,11,08/05/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,12,06/06/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,13,07/07/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,14,07/08/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,15,05/09/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,16,07/10/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,17,07/11/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,18,05/12/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,19,08/01/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,20,06/02/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,21,06/03/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,22,08/04/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,23,08/05/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,24,08/06/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,25,07/07/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,26,07/08/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,27,08/09/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,28,07/10/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,29,09/11/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,30,07/12/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,31,08/01/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,32,05/02/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,33,05/03/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,34,07/04/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,35,07/05/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,36,07/06/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,37,07/07/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,38,06/08/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,39,08/09/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,40,07/10/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,41,08/11/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,42,07/12/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,43,07/01/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,44,07/02/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,45,07/03/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,46,07/04/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,47,08/05/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,48,07/06/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,49,07/07/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,50,07/08/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,51,08/09/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,52,06/10/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,53,08/11/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,54,07/12/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,55,08/01/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,56,07/02/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,57,07/03/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,58,06/04/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,59,08/05/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,60,07/06/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,61,06/07/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,62,07/08/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,63,10/09/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,64,05/10/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,65,08/11/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,66,07/12/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,67,08/01/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,68,07/02/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,69,11/03/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,70,05/04/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,71,08/05/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,72,07/06/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,73,05/07/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,74,07/08/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,75,06/09/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,76,07/10/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,77,07/11/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,78,06/12/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,79,08/01/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,80,07/02/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,81,07/03/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,82,07/04/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,83,08/05/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,84,06/06/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,85,07/07/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,86,07/08/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,87,05/09/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,88,07/10/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,89,07/11/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,90,05/12/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,91,08/01/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,92,06/02/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,93,05/03/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,94,07/04/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,95,07/05/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,2a,Senior,96,07/06/2032,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,1,05/07/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,2,07/08/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,3,06/09/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,4,07/10/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,5,07/11/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,6,06/12/2024,Projetado,não,n/d,n/d,não,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,7,08/01/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,8,07/02/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,9,11/03/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,10,07/04/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,11,08/05/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,12,06/06/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,13,07/07/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,14,07/08/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,15,05/09/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,16,07/10/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,17,07/11/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,18,05/12/2025,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,19,08/01/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,20,06/02/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,21,06/03/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,22,08/04/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,23,08/05/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,24,08/06/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,25,07/07/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,26,07/08/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,27,08/09/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,28,07/10/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,29,09/11/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,30,07/12/2026,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,31,08/01/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,32,05/02/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,33,05/03/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,34,07/04/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,35,07/05/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,36,07/06/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,37,07/07/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,38,06/08/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,39,08/09/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,40,07/10/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,41,08/11/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,42,07/12/2027,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,43,07/01/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,44,07/02/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,45,07/03/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,46,07/04/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,47,08/05/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,48,07/06/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,49,07/07/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,50,07/08/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,51,08/09/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,52,06/10/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,53,08/11/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,54,07/12/2028,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,55,08/01/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,56,07/02/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,57,07/03/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,58,06/04/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,59,08/05/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,60,07/06/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,61,06/07/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,62,07/08/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,63,10/09/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,64,05/10/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,65,08/11/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,66,07/12/2029,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,67,08/01/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,68,07/02/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,69,11/03/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,70,05/04/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,71,08/05/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,72,07/06/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,73,05/07/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,74,07/08/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,75,06/09/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,76,07/10/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,77,07/11/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,78,06/12/2030,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,79,08/01/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,80,07/02/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,81,07/03/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,82,07/04/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,83,08/05/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
CRI-II,3a,Mezanino,84,06/06/2031,Projetado,sim,n/d,n/d,sim,n/d,ANX-TS2-K2
