veiculo_id,tipo,serie,camada,wam_contratual_max_dias,wam_contratual_max_meses,wam_observado_dias,prazo_max_recebivel_dias,prazo_max_recebivel_meses,data_emissao,vencimento_do_veiculo,prazo_legal_da_serie_meses,duration_dias,duration_meses,gap_duration_vs_prazo_legal_meses,gap_prazo_max_recebivel_vs_duration_meses,periodo_revolvencia_meses,inicio_amortizacao,fonte_id
FIDC-I,FIDC,3a oferta Sub. Junior,Subordinado Jr.,2135,70.1,n/d,3836,126.1,2021-12-21,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-I,FIDC,Sub. Mezz B,Mezanino,2135,70.1,n/d,3836,126.1,2022-06-20,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-II,FIDC,1a em. Serie Unica,Senior,2400,78.9,n/d,2340 (pre) / 4500 (pos),"76,9 / 147,9",2021-10-07,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-II,FIDC,1a em. Sub. Mezz A,Mezanino,2400,78.9,n/d,2340 (pre) / 4500 (pos),"76,9 / 147,9",2021-10-07,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-II,FIDC,2a em. 2a Serie,Senior,2400,78.9,n/d,2340 (pre) / 4500 (pos),"76,9 / 147,9",2022-04-25,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-II,FIDC,2a em. Sub. Mezz B,Mezanino,2400,78.9,n/d,2340 (pre) / 4500 (pos),"76,9 / 147,9",2022-04-25,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-II,FIDC,1a em. Sub. Junior,Subordinado Jr.,2400,78.9,n/d,2340 (pre) / 4500 (pos),"76,9 / 147,9",2021-09-24,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-III,FIDC,1a Serie,Senior,2000,65.7,n/d,3845,126.3,2023-07-10,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-III,FIDC,Sub. Mezz A,Mezanino,2000,65.7,n/d,3845,126.3,2023-07-10,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-III,FIDC,Sub. Mezz B,Mezanino,2000,65.7,n/d,3845,126.3,2023-07-10,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-III,FIDC,Sub. Junior (privada),Subordinado Jr.,2000,65.7,n/d,3845,126.3,2023-09-30,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Unica Senior A,Senior,n/d,n/d,n/d,n/d,n/d,2022-06-23,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Sub. Mezz A-1,Mezanino,n/d,n/d,n/d,n/d,n/d,2022-06-23,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Sub. Junior,Subordinado Jr.,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Senior B,Senior,n/d,n/d,n/d,n/d,n/d,2023-01-12,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Sub. Mezz A-2,Mezanino,n/d,n/d,n/d,n/d,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Sub. Mezz B-1,Mezanino,n/d,n/d,n/d,n/d,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Sub. Mezz B-2,Mezanino,n/d,n/d,n/d,n/d,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-IV,FIDC,1a em. Senior C,Senior,n/d,n/d,n/d,n/d,n/d,2023-12-05,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-V,FIDC,1a em. Unica,Senior,n/d,n/d,n/d,4760,156.5,2022-12-08,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-V,FIDC,1a em. Unica Sub. Mezz,Mezanino,n/d,n/d,n/d,4760,156.5,2022-12-08,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-V,FIDC,Sub. Junior (privada),Subordinado Jr.,n/d,n/d,n/d,4760,156.5,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-VI,FIDC,1a serie,Senior,2400,78.9,n/d,3836,126,2024-11-06,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-VI,FIDC,1a serie Sub. Mezz A,Mezanino,2400,78.9,n/d,3836,126,2024-11-06,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-VI,FIDC,1a serie Sub. Mezz B,Mezanino,2400,78.9,n/d,3836,126,2024-11-06,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-VI,FIDC,Sub. Junior (privada),Subordinado Jr.,2400,78.9,n/d,3836,126,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ANX-DECK
FIDC-VII,FIDC,1a serie Senior,Senior,2400,78.9,n/d,3836,126,2026-01-13,n/d,n/d,n/d,n/d,n/d,n/d,12,n/d,ANX-DECK
FIDC-VII,FIDC,1a serie Sub. Mezz A,Mezanino,2400,78.9,n/d,3836,126,2026-01-13,n/d,n/d,n/d,n/d,n/d,n/d,12,n/d,ANX-DECK
FIDC-VII,FIDC,1a serie Sub. Mezz B,Mezanino,2400,78.9,n/d,3836,126,2026-01-13,n/d,n/d,n/d,n/d,n/d,n/d,12,n/d,ANX-DECK
FIDC-VII,FIDC,Sub. Junior (privada),Subordinado Jr.,2400,78.9,n/d,3836,126,n/d,n/d,n/d,n/d,n/d,n/d,n/d,12,n/d,ANX-DECK
