Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria,cnpj_digits,percent_value,all_percent_values_from_observation,rule_text,setor_n1,setor_n2,confidence,evidence,rule_id,subordination_pct_normalized,subordination_normalization_note,subordination_valid_for_common_level
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Reserva ou caixa mínimo,minimum_cash_ratio,"0,50%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"Alerta se proxy IME ficar abaixo de 0,50%","O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | integram a Reserva de Amortização, líquidos de quaisquer impostos, taxas, contribuições, encargos ou despesas de qualquer natureza, seja equivalente aos valores determinados conforme o cronograma acima. 9.14. A Administradora deverá manter no mínimo 0,50% (cinquenta centésimos por cento) do Patrimônio Líquido do Fundo alocado em moeda corrente nacional, ou aplicá -lo, exclusivamente, em Ativos Financeiros (“Reserva…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,0.5,0.5,"0,50%",Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,0.5,percentual_direto,False
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Reserva ou caixa mínimo,minimum_cash_ratio,50%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | tos Creditórios sejam objeto de Recompra realizada no período de 5 (cinco) Dias Úteis, a contar do seu conhecimento; (viii) a Carteira de Direitos Creditórios global, representados por CCB´s ou NCC´s deve contar com garantia que servem como colateral de no mínimo 50% (cinquenta por cento), sempre auferidos pela gestora com data de verificação no último dia útil de cada mês; (ix) caso a Reserva de Amortização, a Rese…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,50.0,50,50%,Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,50.0,percentual_direto,False
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Limite de recompra,recompras_max,15%,monitoravel,Recompras / Crédito ou Recompras / PL,Alerta se proxy IME ficar abaixo de 15%,"O Informe Mensal traz recompras mensais; thresholds acumulados exigem janela definida no documento. | Extração local heurística; validar manualmente antes de ativar alerta. | iridos ainda não liquidados. A data de vencimento a ser utilizada no cálculo deve ser a original do respectivo Direitos Creditórios Adquiridos, ainda que tenha sido objeto de renegociação. O Gestor deve diligenciar e verificar se estão sendo adotados os procedimentos de cobrança destes Direitos Creditórios Inadimplidos pelos Agentes de Cobrança, observad o o disposto no subitem 5.25.2 acima; (ii) “Índice de Recompra…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,15.0,,15%,Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,15.0,percentual_direto,False
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,Subordinação mínima,subordination_ratio_min,"181,82%",monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %","Alerta se proxy IME ficar abaixo de 181,82%","O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | ndo terá como Relação Mínima o percentual de 181,82% (cento e oitenta e um e oitenta e dois por cento). Isso significa que, no mínimo, 45% (quarenta e cinco por cento) de seu Patrimônio Líquido representado por Cotas Subordinadas, seja de subclasse Subordinada Mezanino ou da Júnior; b) Observado o disposto no Item anterior e enquanto existirem Cotas Subordinadas Mezanino em circulação, o Fundo terá como Índice de Su…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,181.82,181.82;45,"181,82%",Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,45.0,normalizado_de_razao_maior_que_100_para_45%_por_observacao,True
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,Subordinação mínima,subordination_ratio_min,22%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 22%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | s Subordinadas Mezanino em circulação, o Fundo terá como Índice de Subordinação Junior o percentual mínimo de 22% (vinte dois por cento) de seu Patrimônio Líquido representados por Cotas Subordinadas Junior. Artigo 142 - Na hipótese de inobservância de qualquer umas dos Índices de Subordinação, serão adotados os seguintes procedimentos: a) Passados cinco dias úteis consecutivos, de desenquadramento de qualquer Índic…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,22.0,22,22%,Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,22.0,percentual_direto,True
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,Subordinação mínima,subordination_ratio_min,8%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 8%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | contratado. qitech.com.br Rua Maria Carolina, 624, 7º - 12º andar, Jardim Paulistano - CEP 01445-000 TÍTULO 4 LIQUIDAÇÃO E DISPOSIÇÕES FINAIS CAPÍTULO XII EVENTOS DE AVALIAÇÃO E EVENTOS DE LIQUIDAÇÃO Seção 1 – Eventos de avaliação Artigo 148 - São considerados Eventos de Avaliação do Fundo (os “Eventos de Avaliação”) quaisquer dos seguintes eventos: a) o não atendimento da Relação Mínima e/ou do Índice de Subordinaç…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,8.0,,8%,Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,8.0,percentual_direto,True
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,10%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar acima de 10%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | os Direitos Creditórios do Fundo vencidos e não pagos a mais de 60 dias representarem mais do que 10% (dez por cento) do Patrimônio Líquido; j) ausência de pagamento pelo Fundo dos valores devidos aos titulares de Cotas Seniores ou dos titulares de Cotas Subordinadas Mezanino em cada Data de Amortização nos termos do respectivo Suplemento, não sanada no prazo de 2 (dois) dias úteis. Artigo 149 - Ocorrendo qualquer E…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,10.0,10,10%,Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,10.0,percentual_direto,False
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,Cobertura mínima de PDD/provisão,pdd_coverage_min,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,Alerta se proxy IME ficar abaixo de 100%,"O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | i) A localização geográfica dos sacados. ii) O tipo de garantia dada; e iii) O histórico de inadimplência. c) Formados os grupos, os Direitos Creditórios serão avaliados com relação aos seus riscos e à situação das garantias. Parágrafo Primeiro. A partir do 91º (nonagésimo primeiro) dia de vencido de qualquer parcela de Direitos Creditórios, a Administradora ou Custodiante poderão antecipar a alocação da provisão eq…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,100.0,,100%,Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,100.0,percentual_direto,False
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | liquidação do Fundo, nos termos da RCVM 175. Parágrafo Primeiro. Nas hipóteses de substituição da Administradora e de liquidação do Fundo, aplicam-se, no que couberem, as normas em vigor sobre responsabilidade civil ou criminal da Administradora, diretores e gerentes de instituições financeiras, independentemente das que regem a responsabilidade civil da própria Administradora. Parágrafo Segundo. Na hipótese de renú…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,,sem_percentual_parseavel,False
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | bre o Fundo e sua respectiva administração que tenham sido obtidos, gerados, preparados ou desenvolvidos pela Administradora, ou por qualquer terceiro envolvido diretamente na administração do Fundo, de forma que a instituição substituta possa cumprir, sem solução de continuidade, com os deveres e as obrigações da Administradora, nos termos deste Regulamento. Artigo 19 - As disposições relativas à substituição e à r…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,,sem_percentual_parseavel,False
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | iços de administração, o que deverá ocorrer no prazo máximo de 30 (trinta) dias corridos contados da data de realização da respectiva Assembleia Geral. qitech.com.br Rua Maria Carolina, 624, 7º - 12º andar, Jardim Paulistano - CEP 01445-000 Parágrafo Segundo. Caso (a) a Assembleia Geral não delibere pela substituição da Administradora; (b) a Assembleia Geral não obtenha quórum suficiente para deliberar sobre a subst…",1011996_regulamento_regulamento_1011996_2025-10-13.pdf · ID 1011996 · 13/10/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,18185812000114,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PJ,Risco sacado/fornecedores,alta,ativos_alvo: regex `DUPLICATAS`,sacado_fornecedores,,sem_percentual_parseavel,False
SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,23.956.882/0001-69,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | realizar a avaliação de risco das Cotas , nos termos dispostos neste Regulamento. “Agente de Cobrança” Instituição que será contratada pela Gestora, em nome do Fundo, para cobrança extraordinária dos Direitos Creditórios cedidos que venham a ser inadimplidos , nos termos dispostos neste Regulamento. Alocação Mínima Percentual mínimo de 50% (cinquenta por cento) do Patrimônio Líquido da Classe a ser mantido em Direit…",980343_regulamento_regulamento_980343_2025-08-29.pdf · ID 980343 · 29/08/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,23956882000169,50.0,50,50%,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO` | ativos_alvo: regex `PRODUTOR(?:ES)? RURAL`,fiagro_or_agro,50.0,percentual_direto,False
SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,23.956.882/0001-69,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,100%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar acima de 100%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | itórios Cedidos inadimplidos, conforme disposto nos respectivos Contratos de Cessão. 11. Será permitida a recompra dos Direitos Creditórios Cedidos inadimplidos pelos respectivos Cedentes, até o limite de 100% (cem por cento) dos Direitos Creditórios Cedidos inadimplidos, respeitado, contudo, que o Índice de Recompra não poderá exceder o Limite Máximo de Recompras. 12. Desde que não esteja em andamento qualquer Even…",980343_regulamento_regulamento_980343_2025-08-29.pdf · ID 980343 · 29/08/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,23956882000169,100.0,100,100%,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO` | ativos_alvo: regex `PRODUTOR(?:ES)? RURAL`,fiagro_or_agro,100.0,percentual_direto,False
