Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
SELLER 3,63.572.282/0001-11,Subordinada Júnior - 2ª emissão,Subordinada Júnior,12/01/2026,12/01/2026,Colocação privada,Total dividido pelo VNU das juniores em vigor,R$ 16.000.000,VNU das juniores em vigor,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Instrumento define data de emissão em 12/01/2026,1080490 pp.1-3,,,emissoes_curadas,,,,,,,,,,,,,
SELLER 3,63.572.282/0001-11,Sênior 1ª série,Sênior,21/01/2026,05/02/2026,06/02/2026,1.500.000,R$ 1.500.000.000,R$ 1.000,"DI + 0,65% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/09/2028: 16,6667%; 15/10/2028: 20,0000%; 15/11/2028: 25,0000%; 15/12/2028: 33,3333%; 15/01/2029: 50,0000%; 15/02/2029: 100,0000%",Oferta integralmente subscrita por 37 fundos de investimento,1089840 pp.1-2; 1089845 pp.151-153; 1101975 p.2; 1104314 pp.1-2,,,emissoes_curadas,,,,,,,,,,,,,
SELLER 3,63.572.282/0001-11,Subordinada Júnior - 3ª emissão,Subordinada Júnior,21/01/2026,Não identificada nos PDFs baixados,Colocação privada,Não informada,Até R$ 195.000.000,VNU calculado na forma do regulamento,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Aprovada junto à emissão sênior 1ª série,1089840 p.2,,,emissoes_curadas,,,,,,,,,,,,,
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores da 2ª (segunda) Série,Sênior,06/11/2020 11:00,Não identificada na extração offline,,,"R$ 140.000.00,00",,,,"5º, da Instrução da CVM nº 356, de 17 de dezembro de 2001, conforme alterada, e item 18.2.4 do regulamento do Fundo (“Regulamento”). ORDEM DO DIA: Deliberar, nos termos do Capítulo 18 do Regulamento do Fundo, sobre a (i) alienação pelo Fundo de Direitos Creditórios Adquiridos , conforme definido no Regulamento; (ii) amortização integral e resgate das Cotas Seniores da 2ª (segunda) Série; (iii) exclusão dos conceitos…",evento de cota,135822_assembleia_assembleia_135822_2020-11-06.pdf · ID 135822 · 06/11/2020 11:00,,,emissoes_curadas,,,,,,,,,,,,,
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores,Sênior,16/11/2020,Não identificada na extração offline,,,,,"_____ 2 SP - 23542534v1 ÍNDICE REGULAMENTO 4 CONDOMÍNIO E PRAZO DE DURAÇÃO 4 POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 CRITÉRIOS DE ELEGIBILIDADE, CONDIÇÕES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS…","_____ 2 SP - 23542534v1 ÍNDICE REGULAMENTO 4 CONDOMÍNIO E PRAZO DE DURAÇÃO 4 POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 CRITÉRIOS DE ELEGIBILIDADE, CONDIÇÕES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS…","ES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS 34 SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 37 AMORTIZAÇÃO E RESGATE DAS COTAS 41 ORDEM DE ALOCAÇÃO DOS RECURSOS 43 METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUND…",evento de cota,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821 · 16/11/2020,,,emissoes_curadas,,,,,,,,,,,,,
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores,Sênior,13/04/2023 18:00,Não identificada na extração offline,,,,,"Gestora aditarão todos os contratos vigentes envolvendo o Fundo, conforme aplicável, para que a Nova Gestora passe a figurar como instituição gestora e, quando for o caso, representante legal do Fundo, a partir da Data de Transferência (exclusive); (vii) após a Data de Transferência, a Nova Gestora fará jus à mesma remuneração atribuída à Gestora na qualidade de gestora do Fundo, sem qualquer acrescimento de encargo…","Gestora aditarão todos os contratos vigentes envolvendo o Fundo, conforme aplicável, para que a Nova Gestora passe a figurar como instituição gestora e, quando for o caso, representante legal do Fundo, a partir da Data de Transferência (exclusive); (vii) após a Data de Transferência, a Nova Gestora fará jus à mesma remuneração atribuída à Gestora na qualidade de gestora do Fundo, sem qualquer acrescimento de encargo…","Cotas ......................................................................................................................................................................................... 29 Subscrição, Integralização e Valor das Cotas ............................................................................. 32 Amortização e Resgate das Cotas ..................................................................…",evento de cota,444985_assembleia_assembleia_444985_2023-04-13.pdf · ID 444985 · 13/04/2023 18:00,,,emissoes_curadas,,,,,,,,,,,,,
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores,Sênior,19/04/2023,Não identificada na extração offline,,,,,".............................................12 Administradora ................................................................................................................................................................ 19 Obrigações, Vedações e Responsabilidades da Administradora ............................. 19 Remuneração da Administradora ......................................................................…",".............................................12 Administradora ................................................................................................................................................................ 19 Obrigações, Vedações e Responsabilidades da Administradora ............................. 19 Remuneração da Administradora ......................................................................…","Cotas ......................................................................................................................................................................................... 30 Subscrição, Integralização e Valor das Cotas ............................................................................. 33 Amortização e Resgate das Cotas ..................................................................…",evento de cota,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299 · 19/04/2023,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores na forma do Suplemento constante no Anexo II da p,Sênior,13/08/2021 16:00,Não identificada na extração offline,,,"R$ 100.000.00,00",,"ento do Fundo, para incluir novas atividades cuja responsabilidade é da Gestora; b) alteração do Capítulo 10 do Regulamento do Fundo, para definição da Relação Mínima de Subordinação, entre outros pequenos ajustes de redação; c) alteração do Capítulo 12 do Regulamento do Fundo, para prever a constituição de Reserva de Remuneração Sênior e regras de amortização extraordinária de Cotas ; d) alteração do Capítulo 13 do…","ento do Fundo, para incluir novas atividades cuja responsabilidade é da Gestora; b) alteração do Capítulo 10 do Regulamento do Fundo, para definição da Relação Mínima de Subordinação, entre outros pequenos ajustes de redação; c) alteração do Capítulo 12 do Regulamento do Fundo, para prever a constituição de Reserva de Remuneração Sênior e regras de amortização extraordinária de Cotas ; d) alteração do Capítulo 13 do…","as atividades cuja responsabilidade é da Gestora; b) alteração do Capítulo 10 do Regulamento do Fundo, para definição da Relação Mínima de Subordinação, entre outros pequenos ajustes de redação; c) alteração do Capítulo 12 do Regulamento do Fundo, para prever a constituição de Reserva de Remuneração Sênior e regras de amortização extraordinária de Cotas ; d) alteração do Capítulo 13 do Regulamento do Fundo, para atu…",evento de cota,211844_assembleia_assembleia_211844_2021-08-13.pdf · ID 211844 · 13/08/2021 16:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores referente à Segunda Série de Cotas Seniores do Fu,Sênior,30/08/2023 09:00,Não identificada na extração offline,,,"R$ 1.000,00",,,,,evento de cota,519065_assembleia_assembleia_519065_2023-08-30.pdf · ID 519065 · 30/08/2023 09:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores da Segunda Série do Fundo,Sênior,03/09/2024 11:00,Não identificada na extração offline,,,"R$ 1.000,00",,"oeda corrente nacional, pelo valor nominal unitário. Sendo, R$ 50.00 0.000,00 (cinquenta milhões de reais) integralizados no ato de subscrição e duas tranches de R$ 15.000.000,00 (quinze milhões de reais) cada, a serem integralizadas nas datas indicadas no Boletim de Subscrição assinado pelo investidor. III. Meta de Remuneração: a Meta de Remuneração será equivalente ao Benchmark abaixo determinado: Docusign Envelop…","oeda corrente nacional, pelo valor nominal unitário. Sendo, R$ 50.00 0.000,00 (cinquenta milhões de reais) integralizados no ato de subscrição e duas tranches de R$ 15.000.000,00 (quinze milhões de reais) cada, a serem integralizadas nas datas indicadas no Boletim de Subscrição assinado pelo investidor. III. Meta de Remuneração: a Meta de Remuneração será equivalente ao Benchmark abaixo determinado: Docusign Envelop…","ão positiva do CDI, acrescida de um spread de 4,5% a.a. (quatro inteiros e cinco décimos por cento) ao ano, sendo certo que os benchmarks previstos nos itens (i) e (ii) acima são alternativos e não serão, em hipótese nenhuma, buscados pelo Fundo ou aplicados sobre as Cotas Seniores de forma cumulativa. IV. Condições de Amortização e Resgate: Exceto caso caracterizado um Evento de Aceleração das Cotas Seniores, hipót…",evento de cota,749010_assembleia_assembleia_749010_2024-09-03.pdf · ID 749010 · 03/09/2024 11:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores,Sênior,30/04/2025 13:00,Não identificada na extração offline,,,"R$ 1.000,00",,"de capital a serem realizadas pelo Administrador, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição e do Regulamento , conforme o caso. VI. Prazo de Distribuição: 180 (cento e oitenta) dias; Docusign Envelope ID: FF596E89-E6A4-48B1-86DB-2B76413BA247 2 Internal Use Only VII. Meta de Remuneração: a Meta de Remuneração Sênior será correspondente a 100% da Taxa DI acrescida de “spread” de 3…","de capital a serem realizadas pelo Administrador, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição e do Regulamento , conforme o caso. VI. Prazo de Distribuição: 180 (cento e oitenta) dias; Docusign Envelope ID: FF596E89-E6A4-48B1-86DB-2B76413BA247 2 Internal Use Only VII. Meta de Remuneração: a Meta de Remuneração Sênior será correspondente a 100% da Taxa DI acrescida de “spread” de 3…","va emissão, as quais serão objeto de colocação privada, sem intermediação de instituição financeira integrante do sistema brasileiro de distribuição de valores mobiliários, cujos termos e condições são descritos no Regulamento e no Apêndice constante do Anexo B à presente ata de assembleia; e (iii) ato subsequente, a amortização extraordinária da totalidade da 2ª (segunda) série de Cotas Seniores; de forma que, após…",evento de cota,914383_assembleia_assembleia_914383_2025-04-30.pdf · ID 914383 · 30/04/2025 13:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Cotas Seniores,Sênior,03/03/2026 13:00,Não identificada na extração offline,,,"R$ 1.000,00",,"das pela Administradora, conforme orientação da Gestora em alinhamento com o Mercado Pago, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição , do Apêndice da Subclasse Sênior e do Regulamento, conforme o caso. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238 2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescid…","das pela Administradora, conforme orientação da Gestora em alinhamento com o Mercado Pago, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição , do Apêndice da Subclasse Sênior e do Regulamento, conforme o caso. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238 2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescid…","b forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis da Meta de Remuneração. VIII. Remuneração Sênior: A Remuneração Sênior será paga pelo período de 36 (trinta e seis) meses, em cada Data de Pagamento prevista na tabela do item IX abaixo. IX. Período de Carência de Amortização Sênior: Durante os primeiros 18 (dezoito) meses após a 1ª (primeira) integralização de Cota…",evento de cota,1128337_assembleia_assembleia_1128337_2026-03-03.pdf · ID 1128337 · 03/03/2026 13:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,25/05/2021 10:00,Não identificada na extração offline,,,"R$ 400.000.000,00",,,,"icardo Donisete Stabile, Rodrigo Martins Cavalcante, Jessica Bezerra Da Silva, Douglas Shibayama, Raccelli Portela Santonastaso e Marcos Moretti. Para verificar as assinaturas vá ao site https://www.portaldeassinaturas.com.br e utilize o código 6CBC-E56E-ECAC-E8F8. 101330904.1 (v) a alteração do Capítulo Quatorze - Da Amortização Acelerada, Liquidação Extraordinária Do Fundo E Resgate Antecipado De Cotas, em decorrê…",evento de cota,179557_assembleia_assembleia_179557_2021-05-25.pdf · ID 179557 · 25/05/2021 10:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,30/12/2021 10:00,Não identificada na extração offline,,,"R$ 5.756.250,46",,"), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Rafael Polifemi. 5. ORDEM DO DIA: Deliberar sobre , na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração do Agente de Cobrança , a qual passará a ser equivalente a 0,5% (cinco décimos por cento) ao…","), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Rafael Polifemi. 5. ORDEM DO DIA: Deliberar sobre , na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração do Agente de Cobrança , a qual passará a ser equivalente a 0,5% (cinco décimos por cento) ao…","o valor do Patrimônio Líquido do Fundo, observado o valor mínimo mensal de R$30.000,00 (trinta mil reais).” (vi) a alteração do item 19.2 do Regulamento d o Fundo, o qua l passará a vigorar com a seguinte redação: “19.2. Até a Data Limite de Investimento em Direitos Creditórios e/ou a ocorrência de um Evento de Amortização Acelerada, de um Evento de Avaliação ou de um Evento de Liquidação do Fundo, o Administrador d…",evento de cota,296735_assembleia_assembleia_296735_2021-12-30.pdf · ID 296735 · 30/12/2021 10:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Cotas Seniores (conforme definido no Regulamento),Sênior,29/04/2022 10:00,Não identificada na extração offline,,,"R$ 500.000.000,00",,,,"o Regulamento do Fundo (Limites de Concentração), o qual passará a vigorar com a redação constante do Anexo B a esta Ata; e 2 (iv) mediante a aprovação dos itens anteriores, consequentemente, autorizar a Administradora a tomar todas as medidas necessárias ao cumprimento das deliberações desta Ata, nos termos e prazos exigidos pela regulamentação. 6. DELIBERAÇÕES: Examinadas e debatidas as matérias constantes da Orde…",evento de cota,297780_assembleia_assembleia_297780_2022-04-29.pdf · ID 297780 · 29/04/2022 10:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,,,14/10/2022 17:00,Não identificada na extração offline,,,"R$ 42.297.479,55",,"”), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Juliana Gurzoni. 5. ORDEM DO DIA: Deliberar sobre, na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração aplicável ao Agente de Recebimento e ao Agente de Cobrança CCB e consequente alteração da Clá…","”), conforme lista de presença arquivada junto à Administradora, e a representante da Administradora. 3. COMPOSIÇÃO DA MESA: Presidente: Isabella Uno; Secretário: Juliana Gurzoni. 5. ORDEM DO DIA: Deliberar sobre, na forma da presente ata da Assembleia Geral Extraordinária de Cotistas (“Ata”): (i) a alteração da remuneração aplicável ao Agente de Recebimento e ao Agente de Cobrança CCB e consequente alteração da Clá…","ii) a alteração da redação do s itens 19.2, 19.3 e 19.4 do Capítulo Dezenove do Regulamento do Fundo, de forma a restar clara a forma de alocação dos recursos do Fundo, os quais passarão a vigorar com a seguinte redação: 19.2. Até a Data Limite de Investimento em Direitos Creditórios e/ou a ocorrência de um Evento de Amortização Acelerada, de um Evento de Avaliação ou de um Evento de Liquidação do Fundo, o Administr…",evento de cota,366672_assembleia_assembleia_366672_2022-10-14.pdf · ID 366672 · 14/10/2022 17:00,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,COTAS SENIORES 110,Sênior,12/09/2023,Não identificada na extração offline,,,,,"nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezoito d…","nos termos do Contrato de Gestão. “Relatório de Acompanhamento” Relatório mensal a ser elaborado e disponibilizado pelo Gestor aos Cotistas e ao Administrador até o 16º (décimo sexto) dia (inclusive) do mês calendário (ou o Dia Útil subsequente, caso a data máxima para disponibilização não seja um Dia Útil). ""Remuneração do Administrador"" A remuneração devida ao Administrador, conforme prevista no Capítulo Dezoito d…","ITÓRIOS 48 CAPÍTULO NOVE – DOS CRITÉRIOS DE AVALIAÇÃO DOS DIREITOS CREDITÓRIOS E DOS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO 50 CAPÍTULO DEZ - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS 50 CAPÍTULO ONZE – DA ASSEMBLEIA GERAL DE COTISTAS 58 CAPÍTULO DOZE – DA AMORTIZAÇÃO E DO RESGATE ORDINÁRIO DAS COTAS 68 CAPÍTULO TREZE – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇ…",evento de cota,521557_regulamento_regulamento_521557_2023-09-12.pdf · ID 521557 · 12/09/2023,,,emissoes_curadas,,,,,,,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Cotas Seniores da Primeira,Sênior,12/09/2023 10:00,Não identificada na extração offline,,,"R$250,00",,"erador igual ao número de dias a partir da data do Evento de Pagamento Qualificado até a Data Limite de Investimento em Direitos Creditórios e um denominador igual a 360 (trezentos e sessenta), conforme memória de cálculo apresentada na forma Anexo A a este Suplemento. 10 728393214.1 Rendimento Utilização Mínima: Remuneração semestral a ser incorporada no valor da Cota Sênior com base na diferença entre (i) a soma d…","erador igual ao número de dias a partir da data do Evento de Pagamento Qualificado até a Data Limite de Investimento em Direitos Creditórios e um denominador igual a 360 (trezentos e sessenta), conforme memória de cálculo apresentada na forma Anexo A a este Suplemento. 10 728393214.1 Rendimento Utilização Mínima: Remuneração semestral a ser incorporada no valor da Cota Sênior com base na diferença entre (i) a soma d…","forma da presente ata de Assembleia Geral Extraordinária de Cotistas (“Ata”), sobre: (i) a alteração dos itens (iv) e (vi) da Cláusula 7.4 do Regulamento; (ii) a alteração do item (h) e inclusão de novo item (t) relacionado aos Limites de Concentração descritos Anexo VIII do Regulamento; (iii) a alteração da Forma de Amortização prevista no Suplemento de Cotas Seniores da Primeira Emissão e no Suplemento de Cotas Se…",evento de cota,521510_assembleia_assembleia_521510_2023-09-12.pdf · ID 521510 · 12/09/2023 10:00,,,emissoes_curadas,,,,,,,,,,,,,
