grupo,fundo,nome_curto,cnpj,data_documento,documento_id,source_file,categoria_documento,tipo_documento,criterio,chave,evento,comparacao,limite,threshold_value,threshold_unit,monitorabilidade_ime,metrica_ime,fonte_pagina,trecho,mudanca_vs_evidencia_anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,20%,0.2,ratio,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299,"vidades. ""Não substancialmente envolvido"" significa que a atividade em questão é secundária às principais operações do patrocinador do projeto. 3 www.cites.org. 4 Não se aplica à compra de equipamento médico, equipamento de controle de qualidade (medição) ou outro equipamento em que possa ser demonstrado que a fonte radioativa é insignificante e / ou está adequadamente revestida. 5 Não se aplica à aquisição e uso de…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024 10:00,732139,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf,assembleia,AGE,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,20%,0.2,ratio,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,732139_assembleia_assembleia_732139_2024-09-03.pdf · ID 732139,"ômetros e quinhentos metros) de comprimento; 14. Comércio transfronteiriço de resíduos,10 com exceção dos resíduos não perigosos destinados a reciclagem; 4 Não se aplica à compra de equipamento médico, equipamento de controle de qualidade (medição) ou outro equipamento em que possa ser demonstrado que a fonte radioativa é insignificante e / ou está adequadamente revestida. 5 Não se aplica à aquisição e uso de cobert…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,20%,0.2,ratio,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"ômetros e quinhentos metros) de comprimento; 14. Comércio transfronteiriço de resíduos,10 com exceção dos resíduos não perigosos destinados a reciclagem; 4 Não se aplica à compra de equipamento médico, equipamento de controle de qualidade (medição) ou outro equipamento em que possa ser demonstrado que a fonte radioativa é insignificante e / ou está adequadamente revestida. 5 Não se aplica à aquisição e uso de cobert…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,regulamento,Regulamento,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821,"odem ser adversamente afetados por mudanças nas políticas governamentais, bem como por: (i) flutuações das taxas de câmbio; (ii) alterações na inflação; (iii) alterações nas taxas de juros; (iv) alterações na política fiscal; e (v) outros eventos políticos, diplomáticos, sociais e econômicos que possam afetar o Bras il, ou os mercados internacionais. Além disso, o Fundo não poderá realizar operações em mercados de d…",primeira evidência local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,13/04/2023 18:00,444985,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf,assembleia,AGE,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,444985_assembleia_assembleia_444985_2023-04-13.pdf · ID 444985,"podem ser adversamente afetados por mudanças nas políticas governamentais, bem como por: (i) flutuações das taxas de câmbio; (ii) alterações na inflação; (iii) alterações nas taxas de juros; (iv) alterações na política fiscal; e (v) outros eventos políticos, diplomáticos, sociais e econômicos que possam afetar o Brasil, ou os mercados internacionais. Além disso, o Fundo não poderá realizar operações em mercados de d…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299,"podem ser adversamente afetados por mudanças nas políticas governamentais, bem como por: (i) flutuações das taxas de câmbio; (ii) alterações na inflação; (iii) alterações nas taxas de juros; (iv) altera ções na política fiscal; e (v) outros eventos políticos, diplomáticos, sociais e econômicos que possam afetar o Brasil, ou os mercados internacionais. Além disso, o Fundo não poderá realizar operações em mercados de…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024 10:00,732139,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf,assembleia,AGE,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,732139_assembleia_assembleia_732139_2024-09-03.pdf · ID 732139,"stora envidará seus melhores esforços para adquirir Ativos Financeiros cujos vencimentos propiciem à Carteira classificação de investimento de “longo prazo”, para fins de tributação dos Cotistas. Entretanto, não há garantia de que o Fundo terá o tratamento tributário aplicável aos fundos de longo prazo, de forma que a Gestora não assume qualquer compromisso nesse sentido. 2.9 A Gestora poderá utilizar instrumentos d…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024 10:00,732139,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf,assembleia,AGE,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,732139_assembleia_assembleia_732139_2024-09-03.pdf · ID 732139,"podem ser adversamente afetados por mudanças nas políticas governamentais, bem como por: (i) flutuações das taxas de câmbio; (ii) alterações na inflação; (iii) alterações nas taxas de juros; (iv) alterações na política fiscal; e (v) outros eventos políticos, diplomáticos, sociais e econômicos que possam afetar o Brasil, ou os mercados internacionais. Além disso, o Fundo não poderá realizar operações em mercados de d…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"stora envidará seus melhores esforços para adquirir Ativos Financeiros cujos vencimentos propiciem à Carteira classificação de investimento de “longo prazo”, para fins de tributação dos Cotistas. Entretanto, não há garantia de que o Fundo terá o tratamento tributário aplicável aos fundos de longo prazo, de forma que a Gestora não assume qualquer compromisso nesse sentido. 2.9 A Gestora poderá utilizar instrumentos d…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Hedges/derivativos permitidos,permitted_hedges,enquadramento,texto,,,texto,parcial,Posições mantidas em derivativos,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"podem ser adversamente afetados por mudanças nas políticas governamentais, bem como por: (i) flutuações das taxas de câmbio; (ii) alterações na inflação; (iii) alterações nas taxas de juros; (iv) alterações na política fiscal; e (v) outros eventos políticos, diplomáticos, sociais e econômicos que possam afetar o Brasil, ou os mercados internacionais. Além disso, o Fundo não poderá realizar operações em mercados de d…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/04/2025,914386,data/raw/33254370000104/914386_regulamento_regulamento_914386_2025-04-30.pdf,regulamento,Regulamento,Limite de concentração,concentration_limits,elegibilidade,>=,67%,0.67,ratio,nao_monitoravel,,914386_regulamento_regulamento_914386_2025-04-30.pdf · ID 914386,"CEN ou pela CVM. 2.1.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. 2.1.3 Decorridos 180 (cento e oitenta) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 67% (sessenta e sete por cento) do seu Patrimônio Líquido em Direitos Creditórios. 2.1.4 O Fundo poderá ter uma concent…",primeira evidência local
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,206963_regulamento_regulamento_206963_2021-07-15.pdf · ID 206963,"s a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento; e (ii) Ativos Financeiros listados na cláusula 2.10 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os D…",primeira evidência local
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,206963_regulamento_regulamento_206963_2021-07-15.pdf · ID 206963,"versificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em no me do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 5 2.2 A cada aquisição de Direitos C…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/07/2021,201177,data/raw/33254370000104/201177_regulamento_regulamento_201177_2021-07-30.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,201177_regulamento_regulamento_201177_2021-07-30.pdf · ID 201177,"a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento; e (ii) Ativos Financeiros listados na cláusula 2.10 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Dir…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/07/2021,201177,data/raw/33254370000104/201177_regulamento_regulamento_201177_2021-07-30.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,201177_regulamento_regulamento_201177_2021-07-30.pdf · ID 201177,"rsificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em 5 instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pe la CVM. 2.2 A cada aquisição de Direitos Cre…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,207364_regulamento_regulamento_207364_2021-08-13.pdf · ID 207364,"valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atenda m aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento; e (ii) Ativos Financeiros listados na cláusula 2.10 abaixo, obs ervados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Dir…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,207364_regulamento_regulamento_207364_2021-08-13.pdf · ID 207364,"ersificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome 4 do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.2 A cada aquisição de Direitos Cre…",sem mudança vs evidência anterior
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021 16:00,211844,data/raw/33254370000104/211844_assembleia_assembleia_211844_2021-08-13.pdf,assembleia,AGE,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,100%,1.0,ratio,monitoravel,Dir Cred / PL,211844_assembleia_assembleia_211844_2021-08-13.pdf · ID 211844,"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO CNPJ/ME Nº 33.254.370/0001 -04 ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DE COTISTAS REALIZADA EM 13 DE AGOSTO DE 2021. 1. HORA E LOCAL: Realizada às 16:00hs, na sede social da CAPTALYS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA., instituição administradora (“ Administradora ”) do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CRE…",alterou de >= 50% para >= 100%
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,228026_regulamento_regulamento_228026_2021-10-21.pdf · ID 228026,"a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento; e (ii) Ativos Financeiros li stados na cláusula 2.10 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Di…",alterou de >= 100% para >= 50%
