Fundo,CNPJ,Critério,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,cnpj_digits,arquivo_origem_tabela,Chave,Status curadoria,Evento,Comparação,Limite,Monitoramento,Métrica IME sugerida,Comentário,Trecho/Fórmula
SELLER 3,63.572.282/0001-11,Inadimplemento de Direitos Creditórios,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,Não usar como gatilho automático; usar só como sinal qualitativo,A regra é diária e por título; IME mensal por bucket não comprova o evento jurídico.,1089845 pp.114-115,63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Inconsistência de verificação de lastro,>5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,Sem alerta automático,"Depende de auditoria de documentos comprobatórios, não de Informe Mensal.","1089845 pp.107,112",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Índice de Subordinação,"Cotas Subordinadas Juniores / PL >= 33,3%",direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino","Vermelho se < 33,3%; evento de avaliação se não recomposto após comunicação","A extração heurística anterior lia '3,3%'; a página 106 mostra claramente 33,3%.",704724 pp.106-107,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Índice de Cobertura / Liquidez para novas emissões,"Índice de Cobertura e Índice de Liquidez >= 1,00",parcial,"Proxy com DC, disponibilidades e cotas; fatores manuais","Alerta se proxy < 1,00, principalmente antes de nova emissão","Exige Valor Presente, Comissões e fatores. Fator Sênior da 1ª série = 66,70% no aditivo de 26/07/2024.",704724 p.104; 705139 p.5,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50% após prazo aplicável,IME não valida elegibilidade individual.,704724 p.61,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Alocação mínima adicional tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído também traz inconsistência redacional: '67%' com extenso 'cinquenta por cento'.,704724 p.61,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,PL mínimo operacional,PL diário não inferior a R$ 1.000.000 por 90 dias consecutivos,direto com ressalva,PL,Vermelho se PL < R$1mm por janela persistente,"IME é mensal; não observa 90 dias diários, mas identifica risco evidente.",704724 p.61,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Derivativos,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL,Vermelho se posição agregada em derivativos != 0,IME só mostra posição agregada.,704724 p.61,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Reserva de Liquidez,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades; despesas ordinárias precisam input/manual,Só ativar se base de despesas estiver cadastrada,IME não traz o cálculo contratual completo.,704724 pp.110-111,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Reserva de Caixa,"Principal: 100% até D-10, acumula desde D-45; Remuneração: 100% até D-5, acumula desde D-10",parcial,Disponibilidades/Ativos Financeiros vs próximo pagamento,Alerta se caixa disponível < próximo serviço da dívida dentro da janela,Precisa calendário e saldo vivo; o calendário da sênior 1ª série foi extraído.,704724 p.111; 705139 p.4,55471753000177,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,Subordinação mínima,7%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 7%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | entos e cinquenta e dois) Dias Úteis; Per. Snr – é o percentual do PLEoP composto por Cotas Seniores. 11.3 Caso, em determinado mês-calendário, a média móvel dos três meses anteriores ao cálculo da Rentabilidade Excedente seja inferior a 7% (sete por cento), a Gestora informará à Administradora, para que o Índice de Subordinação seja elevado conforme tabela abaixo: Rentabilidade Excedente do Fundo (R) Índice de Subo…",1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340 · 03/03/2026,33254370000104,data/regulatory_profiles/all_fidcs_criteria_monitoraveis_ime.csv,subordination_ratio_min,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Subordinação mínima,7%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 7%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | iante esteja acima de 7% (sete por cento) até julho de 2025, haverá aumento no percentual acima equivalente à diferença do Índice Histórico de Inadimplência Comerciante e 7% (sete inteiros por cento). A Razão de Subordinação Júnior será calculada diariamente pelo Gestor e disponibilizada mensalmente, em cada Data de Cálculo, por meio do Relatório de Acompanhamento, sendo certo que, em caso de desenquadramento da Raz…",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,37511828000114,data/regulatory_profiles/all_fidcs_criteria_monitoraveis_ime.csv,subordination_ratio_min,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Alocação mínima em direitos creditórios,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | ca o Mercado Pago, contratado para prestação de serviços de agente de recebimento dos Direitos Creditórios do Fundo. “Agente Escriturador” (Bookepping Agent) Significa o Administrador, na qualidade de instituição responsável pela escrituração das Cotas do Fundo. “Alocação Mínima de Investimento” (Minimum Investment Allocation) Significa a alocação de, no mínimo, 50% (cinquenta por cento) do Patrimônio Líquido do Fun…",1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,37511828000114,data/regulatory_profiles/all_fidcs_criteria_monitoraveis_ime.csv,credit_rights_allocation_min,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,,,,,,,
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Atraso/Inadimplência - evento de avaliação,8%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar acima de 8%,Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | Sênior no mês calendário de referência; pela (ii) média diária do Valor Principal da totalidade dos Direitos Creditórios Para Fins de Juros Excedentes no mês calendário de referência. O Índice de Juros Excedente será calculado e disponibilizado pelo Gestor por meio do Relatório de Acompanhamento. “Índice Histórico de Inadimplência Comerciante” (Historical Merchant Default Rate) Significa: (i) para fins de verificaçã…,1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776 · 20/10/2025,37511828000114,data/regulatory_profiles/all_fidcs_criteria_monitoraveis_ime.csv,default_rate_evaluation_event,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,,,,,,,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 10%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | composta por 1.200.000 (um milhão e duzentas mil) Cotas Seniores, que totalizarão até R$1.200.000.000,00 (um bilhão e duzentos milhões de reais), considerando o Valor Nominal Unitário de Emissão. “Razão de Subordinação Júnior” significa a relação mínima admitida entre o somatório do valor das Cotas Subordinadas Júnior em Circulação e o Patrimônio Líquido do Fundo, equivalente a 10% (dez por cento). A Razão de Subord…",1077334_regulamento_regulamento_1077334_2025-12-19.pdf · ID 1077334 · 19/12/2025,41970012000126,data/regulatory_profiles/all_fidcs_criteria_monitoraveis_ime.csv,subordination_ratio_min,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,,,,,,,
SELLER,50.473.039/0001-02,Índice de Subordinação,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino",Vermelho se < 10%; para Seller/Seller 3 o regulamento prevê evento de avaliação se a recomposição não ocorrer no prazo,"Usar junior/PL, não subordinação total incluindo mezanino. IME precisa reconciliar classes de cotas.","909547 pp.99,107-108",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Índice de Cobertura Sênior,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas","IME traz DC, caixa e cotas, mas não traz de forma padronizada Valor Presente pelo contrato, Comissões e fatores por série; exige parâmetros manuais.","909547 pp.46,61,110",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Índice de Cobertura Mezanino,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas",Mesma limitação do Índice de Cobertura Sênior; só aplicar se houver cota mezanino emitida.,"909547 pp.46,61,110",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50%; evento de liquidação se desenquadramento persistir por 20 dias úteis,"IME vê direitos creditórios agregados, mas não valida elegibilidade individual. Usar como monitoramento de enquadramento econômico, não prova jurídica final.","909547 pp.58,115",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Alocação mínima tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído mostra inconsistência redacional: '67%' com extenso 'cinquenta por cento'. Validar juridicamente antes de alerta duro.,909547 pp.31,50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Derivativos,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,Vermelho se posição agregada em derivativos != 0,"IME só mostra posição agregada; se houver valor, precisa análise do tipo/contraparte, mas para vedação total o alerta é útil.",909547 pp.58,50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Reserva de Liquidez,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,Amarelo/vermelho apenas se a base de despesas mensais for cadastrada,IME não traz uma linha padronizada de '3 meses de despesas ordinárias' para o cálculo contratual.,"909547 pp.51,103",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Reserva de Caixa,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,Alerta se caixa disponível < próximo pagamento esperado dentro da janela,"Depende do cronograma de cotas, saldo vivo e remuneração acumulada; IME ajuda, mas não resolve sozinho.","909547 pp.51,103-104",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Inadimplemento de Direitos Creditórios,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,Não usar como gatilho automático; usar só como sinal qualitativo,A regra é diária e por título; IME mensal por bucket não comprova o evento jurídico.,909547 pp.114-115,50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Inconsistência de verificação de lastro,>5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,Sem alerta automático,"Depende de auditoria de documentos comprobatórios, não de Informe Mensal.","909547 pp.107,112",50473039000102,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Subordinação,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino",Vermelho se < 10%; para Seller/Seller 3 o regulamento prevê evento de avaliação se a recomposição não ocorrer no prazo,"Usar junior/PL, não subordinação total incluindo mezanino. IME precisa reconciliar classes de cotas.","1089845 pp.99,107-108",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Cobertura Sênior,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas","IME traz DC, caixa e cotas, mas não traz de forma padronizada Valor Presente pelo contrato, Comissões e fatores por série; exige parâmetros manuais.","1089845 pp.46,61,110",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Cobertura Mezanino,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas",Mesma limitação do Índice de Cobertura Sênior; só aplicar se houver cota mezanino emitida.,"1089845 pp.46,61,110",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50%; evento de liquidação se desenquadramento persistir por 20 dias úteis,"IME vê direitos creditórios agregados, mas não valida elegibilidade individual. Usar como monitoramento de enquadramento econômico, não prova jurídica final.","1089845 pp.58,115",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Alocação mínima tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído mostra inconsistência redacional: '67%' com extenso 'cinquenta por cento'. Validar juridicamente antes de alerta duro.,1089845 pp.31,63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Derivativos,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,Vermelho se posição agregada em derivativos != 0,"IME só mostra posição agregada; se houver valor, precisa análise do tipo/contraparte, mas para vedação total o alerta é útil.",1089845 pp.58,63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Reserva de Liquidez,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,Amarelo/vermelho apenas se a base de despesas mensais for cadastrada,IME não traz uma linha padronizada de '3 meses de despesas ordinárias' para o cálculo contratual.,"1089845 pp.51,103",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Reserva de Caixa,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,Alerta se caixa disponível < próximo pagamento esperado dentro da janela,"Depende do cronograma de cotas, saldo vivo e remuneração acumulada; IME ajuda, mas não resolve sozinho.","1089845 pp.51,103-104",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Inadimplemento de Direitos Creditórios,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,Não usar como gatilho automático; usar só como sinal qualitativo,A regra é diária e por título; IME mensal por bucket não comprova o evento jurídico.,1089845 pp.114-115,63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Inconsistência de verificação de lastro,>5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,Sem alerta automático,"Depende de auditoria de documentos comprobatórios, não de Informe Mensal.","1089845 pp.107,112",63572282000111,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Índice de Subordinação,"Cotas Subordinadas Juniores / PL >= 33,3%",direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino","Vermelho se < 33,3%; evento de avaliação se não recomposto após comunicação","A extração heurística anterior lia '3,3%'; a página 106 mostra claramente 33,3%.",704724 pp.106-107,55471753000177,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Índice de Cobertura / Liquidez para novas emissões,"Índice de Cobertura e Índice de Liquidez >= 1,00",parcial,"Proxy com DC, disponibilidades e cotas; fatores manuais","Alerta se proxy < 1,00, principalmente antes de nova emissão","Exige Valor Presente, Comissões e fatores. Fator Sênior da 1ª série = 66,70% no aditivo de 26/07/2024.",704724 p.104; 705139 p.5,55471753000177,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50% após prazo aplicável,IME não valida elegibilidade individual.,704724 p.61,55471753000177,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,Alocação mínima adicional tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído também traz inconsistência redacional: '67%' com extenso 'cinquenta por cento'.,704724 p.61,55471753000177,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER II,55.471.753/0001-77,PL mínimo operacional,PL diário não inferior a R$ 1.000.000 por 90 dias consecutivos,direto com ressalva,PL,Vermelho se PL < R$1mm por janela persistente,"IME é mensal; não observa 90 dias diários, mas identifica risco evidente.",704724 p.61,55471753000177,reports/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
