CNPJ,Fundo,Competência,Métrica,Valor na lâmina (%),Valor no Informe Mensal Estruturado (%),Valor absoluto IME (R$),Diferença em p.p.,Diferença relativa (%),Status,Fonte na lâmina,Fonte/tag path no IME,Observação técnica
34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 30,5.42,1.5062423809310654,7081288.65,-3.9137576190689343,-72.20955016732351,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_31_60, VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 60,4.24,1.1780877777983974,5538537.3,-3.061912222201603,-72.2149109009812,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 90,3.71,0.9162064226678976,4307355.99,-2.793793577332102,-75.30440909250949,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 180,2.15,0.3959479134016314,1861467.65,-1.7540520865983686,-81.58381798131947,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
34408539000104,CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 360,,0.0,0.0,,,AUSENTE NA LÂMINA,Não exibido na lâmina,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado",A lâmina não apresenta Over 360; o IME calcula o corte cumulativo acima de 360 dias.
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 30,4.99,0.8651873881850767,1462022.3199999998,-4.1248126118149235,-82.66157538707262,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_31_60, VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 60,3.35,0.6340343050876811,1071412.18,-2.715965694912319,-81.07360283320355,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 90,2.88,0.4968309300034386,839561.37,-2.383169069996561,-82.74892604154726,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 180,1.28,0.2025632898894167,342298.16,-1.0774367101105833,-84.17474297738931,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Jan-26,Over 360,,0.0,0.0,,,AUSENTE NA LÂMINA,Não exibido na lâmina,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado",A lâmina não apresenta Over 360; o IME calcula o corte cumulativo acima de 360 dias.
