termo_canonico,aliases_grafias,termo_legado_pre_rcvm175,categoria,definicao_proposta,tipo_afirmacao,cnpj_fundo,fundo,segmento_oficial,subtipo_funcional_documental,pl,familia_documental_independente,documento,documento_id,documento_cnpj,data_versao,pagina,secao_clausula_artigo,trecho_curto,trecho_tipo,sha256,confianca,status,fonte_primaria,fonte_metodologica
custódia e verificação periódica,,,lastro,Custódia depende do tipo de ativo; verificação periódica tem hipóteses próprias.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,arts. 37 a 39,Custódia depende do tipo de ativo; verificação periódica tem hipóteses próprias.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
alocação em direitos creditórios,,,política de investimento,Mais de 50% do PL em direitos creditórios; classe de cotas de FIDC observa mínimo de 67%.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,art. 44,Mais de 50% do PL em direitos creditórios; classe de cotas de FIDC observa mínimo de 67%.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
provisão,,,contabilidade,"Ajuste contábil por redução do valor recuperável, distinto de perda realizada e caixa reservado.",normativa contábil,,,,,,norma,Instrução CVM 489 — página oficial,icvm_489,,verificado em 2026-07-16,,Capítulo III,"Ajuste contábil por redução do valor recuperável, distinto de perda realizada e caixa reservado.",paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/legislacao/instrucoes/inst489.html,
write-off,,,contabilidade,Lançamento para perdas segue critérios próprios e não encerra necessariamente a cobrança.,orientação oficial,,,,,,norma,Ofício-Circular CVM/SIN/SNC 1/2013,oficio_sin_snc_01_2013,,verificado em 2026-07-16,,item 3,Lançamento para perdas segue critérios próprios e não encerra necessariamente a cobrança.,paráfrase normativa; conferir artigo indicado,,alta,novo,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin-snc/anexos/oc-sin-snc-0113.pdf,
segmentos da Tabela II,,,reporte regulatório,Tabela II classifica valores reportados; as aberturas financeiras possuem semântica própria.,orientação oficial,,,,,,norma,Ofício-Circular CVM/SIN/SNC 1/2013,oficio_sin_snc_01_2013,,verificado em 2026-07-16,,item 5.2 e seguintes,Tabela II classifica valores reportados; as aberturas financeiras possuem semântica própria.,paráfrase normativa; conferir artigo indicado,,alta,novo,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin-snc/anexos/oc-sin-snc-0113.pdf,
First Payment Default (FPD),FPD; first payment default; default na primeira parcela,,desempenho,"Exposição da coorte em default na primeira obrigação dividida pela exposição elegível da coorte; coorte, janela e critério de default devem ser declarados.",convenção analítica; ausência de definição literal no corpus varrido,,,,,,convenção analítica,Metodologia da revisão do Glossário de 100 FIDCs,glossary_methodology_20260716,,2026-07-16,,Convenções analíticas de desempenho,"Exposição da coorte em default na primeira obrigação dividida pela exposição elegível da coorte; coorte, janela e critério de default devem ser declarados.",definição metodológica interna; não é cláusula contratual,,alta quanto à convenção; não aplicável como prevalência contratual,legado; corrigir,,reports/glossario_100_fidcs_20260716/methodology.md
"fundo, classe, subclasse, série e cota",,,regime e arquitetura,Níveis distintos: classe tem patrimônio; subclasses e séries diferenciam direitos de cotas.,normativa refletida no contrato,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,6,definições do anexo,"…o, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos anexos dos Apêndices descreverão as condições específicas das séries de cada Subclasse. “Asse…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
patrimônio segregado,,,regime e arquitetura,"Patrimônio próprio da classe, sem patrimônio separado por subclasse.",normativa refletida no contrato,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,7,definição da classe,"REGULAMENTO DO CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, CNPJ/MF Nº 26.286.939/0001-58 (“FUNDO”). – VIGENTE EM 20.10.2025. 7 #116186740v1<T…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
fundo versus CNPJ da classe,,,regime e arquitetura,O identificador documental pode pertencer à classe; o fundo e as classes devem ser reconciliados.,específica de fundo,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,Cartão de crédito,unidades de recebíveis de arranjo de pagamento,6702700848.65,pagseguro,FIDC PagSeguro I — regulamento,1149521,28169275000172,25/03/2026; vigente_na_coleta,1,cabeçalho,…TO EM DIREITOS CREDITÓRIOS PAGSEGURO I RESPONSABILIDADE LIMITADA CNPJ/MF: N/A Classe Única: 28.169.275/0001-72 VIGÊNCIA: 25/3/2026 1. INTERPRETAÇÃO Interpretação Conjunta 1.1. ESTE REGULAMENTO DEVE SER LIDO E INTERP…,extração do PDF primário na página conferida,61d330f934d36164cb286ca9432e1bf4de544189282df5a710c68c86b3193a30,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,
ausência de subordinação,,,estrutura de capital,Waterfall não implica necessariamente subclasses subordinadas.,contraprova específica,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,Financeiro,crédito pessoal,5001607361.66,monee,Monee I FIDC RL — regulamento,1159092,42922136000107,10/04/2026; vigente_na_coleta,58,item 1.2(b),"…Patrimônio Líquido da Classe, nos termos deste Regulamento, são pari passu entre si, não havendo qualquer tipo de preferência, prioridade ou subordinação entre os titulares de Cotas; e (c) não possuem meta de renta…",extração do PDF primário na página conferida,a9ae2020b2588f372795b64ee02f9c77a5dfa99ab254e8472ea4146bb0537bf9,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1159092&cvm=true,
critérios de elegibilidade,,,elegibilidade,"Testes contratuais de entrada, distintos de existência e transferência.",prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,59,art. 4.1,"…www.bradescoasset.com.br/bram/html/pt.html. 4. CAPÍTULO QUARTO – CRITÉRIOS DE ELEGIBILIDADE 4.1 Critérios de Elegibilidade . O Fundo , em benefício da Classe Única, somente poderá adquirir Direitos Creditórios que a…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
elegibilidade versus concentração,,,elegibilidade,Teste individual e limite agregado são dimensões separadas.,prática recorrente,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Serviços,contratos de venda de energia,7377892270.31,aetos,Aetos Energia FIDC — regulamento,794164,52610624000124,21/11/2024; vigente_na_coleta,38,arts. 4.1 e 4.2,"…s Direitos Creditórios ofertados na respectiva Data de Oferta, a concentração do Patrimônio Líquido, considerando- se o somatório do valor de todos os Direitos Creditórios Cedidos, agrupados de acordo com a respecti…",extração do PDF primário na página conferida,d7fc415d8007505cd3fc652ba8d964ec5ed05109ef933478144f01e9d591f551,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,
elegibilidade de NPL e precatório,,,termo por recebível,Créditos vencidos ou litigiosos exigem critérios próprios; não definem todo FIDC.,específica de subtipo,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,Setor público,"NPL, precatórios e créditos litigiosos",5765091894.78,alternative_assets_iii,Alternative Assets III FIDC RL — regulamento,784984,29225241000110,21/11/2024; vigente_na_coleta,8,art. 4.7,"…rivado ou público, neste último caso, já representados ou não em Precatórios de titularidade do Cedente e/ou (ii) Direitos Creditórios performados que se encontrem vencidos e inadimplidos na data de sua cessão à Cla…",extração do PDF primário na página conferida,16c804bd74da034f3f549ba7cabf9546cf051c9f7f940c2ddbe08e1faf2d4e10,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=784984&cvm=true,
limite de concentração,,,concentração,Limites podem ter exceções e requisitos; o percentual de um fundo não é universal.,prática recorrente,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Cartão de crédito,meios de pagamento,40658253334.57,tapso,TAPSO FIDC RL — regulamento,1066031,26287464000114,17/12/2025; vigente_na_coleta,25,art. 3.6.1,"…ersifi cação além dos previstos neste Capítulo. 3.6.1. Limite de Concentração por Devedor. O Fundo poderá adq uirir Direitos Creditórios Elegíveis e Ativos Financeiros dos Devedores, ou de coobrigação de uma mesma P…",extração do PDF primário na página conferida,121bf95356c6131aad33a397ec1d782b97f0cb11141613d61c80b7c71ab800f0,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true,
ausência de limite contratual,,,concentração,"A inexistência contratual de determinado limite é caso específico, não regra.",específica de fundo,63700113000110,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Financeiro,crédito privado multicarteira,5655088696.55,itau_nc,NC 2025 I FIDC RL — regulamento,1074015,63700113000110,31/12/2025; vigente_na_coleta,19,art. 5.14,"…stidores profissionais, o Fundo não observará nenhum critério de concentração máxima por Devedor, cedente ou originador. 5.15. O Administrador, o Gestor, o Custodiante , o Custodiante do Direito Creditório e suas re…",extração do PDF primário na página conferida,8bb05d22b3ba0f8cca2ab5d0192480b97ce6a58710aafd36f5ff3f9a0810bef7,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1074015&cvm=true,
cessão sem regresso,,,transferência,Ausência de regresso por solvência não elimina responsabilidade por existência e formalização.,prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,55,arts. 3.6 e 3.7,"…orizadas à prestação desse serviço pelo BACEN ou pela CVM. 3.6 Inexistência de Direito de Regresso e Coobrigação . O Fundo , em benefício da Classe Única, adquirirá Direitos Creditórios Elegíveis e todos e quaisquer…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
cessão sem regresso,,,transferência,Ausência de regresso por solvência não elimina responsabilidade por vício.,prática recorrente,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Cartão de crédito,meios de pagamento,40658253334.57,tapso,TAPSO FIDC RL — regulamento,1066031,26287464000114,17/12/2025; vigente_na_coleta,24,arts. 3.1.5 e 3.1.6,"…zadas à prestação desse serviço pelo BACEN ou pela CVM. 3.1.5. Inexistência de Direito de Regresso e Coobrigação. A Cl asse adquirirá Direitos Creditórios Elegíveis e todos e quaisquer direitos, pr errogativas, gara…",extração do PDF primário na página conferida,121bf95356c6131aad33a397ec1d782b97f0cb11141613d61c80b7c71ab800f0,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true,
cessão sem regresso,,,transferência,A responsabilidade do cedente precisa ser decomposta por risco de crédito e vício.,prática recorrente,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,Cartão de crédito,unidades de recebíveis de arranjo de pagamento,6702700848.65,pagseguro,FIDC PagSeguro I — regulamento,1149521,28169275000172,25/03/2026; vigente_na_coleta,17,arts. 3.14 e 3.15,"…õe a respectiva U.R. 3.14. Inexistência de Direito de Regresso e Coobrigação. A Classe adquirirá Direitos Creditórios Elegíveis e todos e quaisquer direitos, prerrogativas, garantias e acessórios pertinentes, em car…",extração do PDF primário na página conferida,61d330f934d36164cb286ca9432e1bf4de544189282df5a710c68c86b3193a30,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,
endosso eletrônico em preto,,,transferência,Endosso é forma própria de transferência e não alias automático de cessão civil.,específica de subtipo,63953619000130,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Comercial,consignado privado,7784357515.48,mt_global,Classe Consignado Privado do MT Global FIDC RL — anexo/regulamento,1222863,63953620000165,02/06/2026; vigente_na_coleta,5,arts. 4.5 a 4.10.3,"…ão adquiridos pela Classe por meio: (i) contratos de promessa de endosso e/ou termos de endosso (“Contratos de Endosso”) firmados entre a Classe e a Parati Crédito, Financiamento e Investimento S.A., instituição fin…",extração do PDF primário na página conferida,71399bc1b41829bdfa10310500cada714a9f517b1440504ba7dc647dbefafdc9,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1222863&cvm=true,
recompra ou resolução por vício,,,transferência,Remédio por desconformidade original não equivale a proteção geral contra inadimplência.,específica de fundo,63953619000130,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Comercial,consignado privado,7784357515.48,mt_global,Classe Consignado Privado do MT Global FIDC RL — anexo/regulamento,1222863,63953620000165,02/06/2026; vigente_na_coleta,8,art. 4.22,"…o, então o endosso desse Direito Creditório poderá ser objeto de resolução pela Classe. Nessa hipótese, a Classe terá o direito de resolver o endosso desse Direito Creditório, devolvendo-o ao Endossante por valor a…",extração do PDF primário na página conferida,71399bc1b41829bdfa10310500cada714a9f517b1440504ba7dc647dbefafdc9,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1222863&cvm=true,
coobrigação possível,,,transferência,Coobrigação varia conforme o direito e o instrumento.,específica de template,53216449000158,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Financeiro,NPL e precatórios,6390376605.81,rio_esperanza,Rio Vermelho FIDC Não Padronizado — regulamento,880741,53216449000158,11/04/2025; vigente_na_coleta,28,arts. 5.2.1 e 5.7,"…ou instrume nto conforme aplicável, podendo ser cedidos à Classe com ou sem coobrigação do respectivo Cedente.",extração do PDF primário na página conferida,710a1e277e199231c1a1e1d5e94466d455cbb7e768cc4b966b17da4ba43d5c6c,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=880741&cvm=true,
verificação de lastro na aquisição,,,lastro,Gestor ou terceiro supervisionado verifica lastro na aquisição.,prática recorrente,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,Cartão de crédito,unidades de recebíveis de arranjo de pagamento,6702700848.65,pagseguro,FIDC PagSeguro I — regulamento,1149521,28169275000172,25/03/2026; vigente_na_coleta,19,arts. 3.27 a 3.29,"…s de elegibilidade Critérios de Elegibilidade (i) deverão ser de titularidade dos Cedentes, bem como devidos pelo Devedor; (ii) deverão ter um prazo máximo de 24 (vinte e quatro) meses entre a data de aquisição pela…",extração do PDF primário na página conferida,61d330f934d36164cb286ca9432e1bf4de544189282df5a710c68c86b3193a30,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,
lastro na aquisição versus periódico,,,lastro,Aquisição e verificação periódica possuem responsáveis e objetos distintos.,prática recorrente,50906397000153,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Comercial,consignado e antecipação FGTS,5930105860.45,btg_consignados,BTG Pactual Consignados FIDC — regulamento consolidado em retificação,939418,50906397000153,02/07/2025; consolidado_em_retificacao,22,arts. 12.15 a 12.21,"…diligências relacionadas à aquisição de Direitos Creditórios, o GESTOR deve verificar a possibilidade de ineficácia da cessão à classe em virtude de riscos de natureza fiscal, alcançando Di- reitos Creditórios que…",extração do PDF primário na página conferida,191658079168068d00a40a151c8aa34c18e3c0f40157c57d873a930b313a6e67,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=939418&cvm=true,
custodiante contratado para lastro,,,lastro,"O prestador efetivo depende do contrato, sob responsabilidade normativa aplicável.",prática recorrente,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cartão de crédito,meios de pagamento,9984886332.21,cloudwalk_bela,Cloudwalk Bela FIDC — regulamento,1117954,62393679000183,19/02/2026; vigente_na_coleta,60,arts. 9.6 a 9.8,"…as diligências relacionadas à aquisição de Direitos Creditórios, verificar a possibilidade de ineficácia da cessão à Classe A em virtude de riscos de natureza fiscal, alcançando Direitos Creditórios que tenham repre…",extração do PDF primário na página conferida,0deee5b9516712e6d9403f74f13ad4bd8e788ca31e644024346bcc3a1c90b1f6,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1117954&cvm=true,
dispensa de verificação de lastro,,,lastro,Há dispensa específica; custodiante não é verificador universal.,específica de fundo,09195235000150,FIDC DO SISTEMA PETROBRAS,Industrial,recebíveis de empresas do Sistema Petrobras,60841973938.55,petrobras,FIDC do Sistema Petrobras — regulamento,792797,09195235000150,29/11/2024; vigente_na_coleta,18,arts. 6º e 7º,"…o de qualquer cotista em sentido contrário. Artigo 6º - Conforme dispensado pela CVM, o Custodiante não será responsável",extração do PDF primário na página conferida,c6fcf6dee0dddadf27023da1a76a18e8d698b5e319e2f74c0971d5f4ed7e04ac,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=792797&cvm=true,
não incidência da verificação de lastro,,,lastro,A natureza do instrumento pode afastar a rotina do art. 36.,específica de subtipo,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Serviços,crédito privado multicarteira,8615892918.29,itau_nc,Itaú Crédito Privado FIDC RL — regulamento,579249,53286499000101,21/12/2023; vigente_na_coleta,55,regra de lastro,…tórios: (i) Riscos Operacionais. (a) Documentos Comprobatórios – Verificação do Lastro. Considerando que nenhum Direito Creditório elegível à carteira do Fundo enquadra-se na definição presente na alínea “a” do inci…,extração do PDF primário na página conferida,d5d0704a0fae8cc0de8362f0c9c987fa17a0a11b388b64e4fcd7b04a77efb378,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579249&cvm=true,
não incidência da verificação de lastro,,,lastro,A guarda documental pode permanecer mesmo quando a verificação não incide.,específica de subtipo,63700113000110,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Financeiro,crédito privado multicarteira,5655088696.55,itau_nc,NC 2025 I FIDC RL — regulamento,1074015,63700113000110,31/12/2025; vigente_na_coleta,52,regra de lastro,…tórios: (i) Riscos Operacionais. (a) Documentos Comprobatórios – Verificação do Lastro. Considerando que nenhum Direito Creditório elegível à carteira do Fundo enquadra-se na definição presente na alínea “a” do inci…,extração do PDF primário na página conferida,8bb05d22b3ba0f8cca2ab5d0192480b97ce6a58710aafd36f5ff3f9a0810bef7,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1074015&cvm=true,
índice de subordinação,,,estrutura de capital,"O índice é contratual; 10% é exemplo específico, não threshold universal.",específica de fundo,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Serviços,contratos de venda de energia,7377892270.31,aetos,Aetos Energia FIDC — regulamento,794164,52610624000124,21/11/2024; vigente_na_coleta,40,art. 5.2.1,"…toramento 5.2.1 Índice de Subordinação. É o percentual mínimo de 10% (dez por cento) (“Índice de Subordinação”). Isso significa que, no mínimo, 10% (dez por cento) do Patrimônio Líquido do Fundo deve ser representad…",extração do PDF primário na página conferida,d7fc415d8007505cd3fc652ba8d964ec5ed05109ef933478144f01e9d591f551,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,
waterfall de caixa,,,estrutura de capital,Ordem de caixa é distinta da apropriação de resultado e da absorção de perdas.,prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,106,art. 12.8,…Cielo - Regulamento (16.10.2025) 12.6 O valor unitário das Cotas Mezanino será o estabelecido no respectivo Apêndice das Cotas Mezanino. 12.7 Cálculo do Valor das Cotas Subordinadas. O valor unitário das Cotas Subor…,extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
