priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
12,Onda 1 - top 50 por volume,sem_classificacao_setorial,19388423000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOSAN,Não classificado,Revisar manualmente,baixa,9,1390000000.0,790000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
13,Onda 1 - top 50 por volume,confianca_media_alto_volume,49520420000198,AFINITTY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIC/Alocador,FIC de FIDC,media,18,1261000000.0,1121000000.0,sem_curadoria_local,nome_emissor: regex `FIC DE FIDC` | nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
14,Onda 1 - top 50 por volume,confianca_media_alto_volume,65839682000176,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,Crédito PF,FGTS,media,1,1250000000.0,1250000000.0,sem_curadoria_local,nome_emissor: regex `\bFGTS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
15,Onda 1 - top 50 por volume,confianca_media_alto_volume,57325251000163,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,6,1230974000.0,1230974000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
16,Onda 1 - top 50 por volume,confianca_media_alto_volume,61385893000125,FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA,FIC/Alocador,FIC de FIDC,media,2,1202000000.0,601000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
17,Onda 1 - top 50 por volume,confianca_media_alto_volume,11468186000124,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Judicial/Precatórios/NPL,Não padronizado/NPL,media,5,1170000000.0,920000000.0,sem_curadoria_local,nome_emissor: regex `NAO PADRONIZADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
18,Onda 1 - top 50 por volume,confianca_media_alto_volume,8654210000105,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP,Crédito PJ,Recebíveis comerciais/multissetorial,media,8,1059999999.74,1059999999.74,sem_curadoria_local,nome_emissor: regex `MULTISSETORIAL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
19,Onda 1 - top 50 por volume,confianca_media_alto_volume,61271872000189,PINE INSS FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Crédito PF,Consignado/INSS,media,1,1000000000.0,1000000000.0,sem_curadoria_local,nome_emissor: regex `\bINSS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
20,Onda 1 - top 50 por volume,confianca_media_alto_volume,61188091000125,BYX MOZART FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CRÉDITO CONSIGNADO RESP. LIMITADA,Crédito PF,Consignado/INSS,media,1,1000000000.0,1000000000.0,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
21,Onda 1 - top 50 por volume,sem_classificacao_setorial,22358482000199,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,6,969998255.18,909998255.12,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
22,Onda 1 - top 50 por volume,sem_classificacao_setorial,31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I,Não classificado,Revisar manualmente,baixa,13,944000401.9,889000286.14,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
23,Onda 1 - top 50 por volume,confianca_media_alto_volume,63322011000108,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS STELLANTIS MOBILITY II - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,900000000.0,900000000.0,sem_curadoria_local,nome_emissor: regex `\bSTELLANTIS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
24,Onda 1 - top 50 por volume,confianca_media_alto_volume,61351481000174,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS STELLANTIS MOBILITY I - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,900000000.0,900000000.0,sem_curadoria_local,nome_emissor: regex `\bSTELLANTIS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
25,Onda 1 - top 50 por volume,confianca_media_alto_volume,49916151000183,ASA LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIC/Alocador,FIC de FIDC,media,8,860000000.0,750000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
26,Onda 1 - top 50 por volume,sem_classificacao_setorial,55070804000159,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,850000000.0,850000000.0,emissoes_curadas,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
27,Onda 1 - top 50 por volume,sem_classificacao_setorial,41351629000163,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,3,830000000.02,100000000.0,emissoes_curadas,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
28,Onda 1 - top 50 por volume,sem_classificacao_setorial,62627051000103,TOP 2025 E FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,826750000.0,826750000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
29,Onda 1 - top 50 por volume,sem_classificacao_setorial,62390922000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLT NOW RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,808570000.0,380000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
30,Onda 1 - top 50 por volume,confianca_media_alto_volume,42196288000161,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EXODUS INSTITUCIONA,FIC/Alocador,FIC de FIDC,media,4,755000000.0,705000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
31,Onda 1 - top 50 por volume,confianca_media_alto_volume,61669748000176,LAVORO FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,Agro,Agro,media,1,730000000.0,730000000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
32,Onda 1 - top 50 por volume,confianca_media_alto_volume,60871638000120,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS II - CREDITO MERCANTIL RESP LIMITADA,Crédito PJ,Recebíveis comerciais/multissetorial,media,2,720000000.0,720000000.0,sem_curadoria_local,nome_emissor: regex `CREDITO MERCANTIL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
33,Onda 1 - top 50 por volume,sem_classificacao_setorial,53779703000126,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,718750000.0,718750000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
34,Onda 1 - top 50 por volume,sem_classificacao_setorial,57535898000110,ARTESANAL CRÉDITO ESTRUTURADO II FIDC DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,712500000.0,712500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
35,Onda 1 - top 50 por volume,confianca_media_alto_volume,57816252000100,NATURA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITO PESSOAL,Crédito PF,Crédito pessoal/consumo,media,4,710000000.0,710000000.0,sem_curadoria_local,nome_emissor: regex `CREDITO PESSOAL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
36,Onda 1 - top 50 por volume,confianca_media_alto_volume,58148845000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PICPAY FGTS,Crédito PF,FGTS,media,1,700000000.0,700000000.0,sem_curadoria_local,nome_emissor: regex `\bFGTS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
37,Onda 1 - top 50 por volume,sem_classificacao_setorial,50491214000186,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,12,680000000.0,400000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
38,Onda 1 - top 50 por volume,confianca_media_alto_volume,47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OPEA AGRO INSUMOS,Agro,Agro,media,1,675000000.0,675000000.0,sem_curadoria_local,nome_emissor: regex `\bAGRO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
39,Onda 1 - top 50 por volume,sem_classificacao_setorial,43721652000128,NXC CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,12,649999998.63,305000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
40,Onda 1 - top 50 por volume,confianca_media_alto_volume,61799604000134,GCB FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS RESPONSABILIDADE LIMITADA,Crédito PJ,Risco sacado/fornecedores,media,2,614000000.0,614000000.0,sem_curadoria_local,nome_emissor: regex `FORNECEDORES`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
41,Onda 1 - top 50 por volume,sem_classificacao_setorial,62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,601000000.05,40000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
42,Onda 1 - top 50 por volume,sem_classificacao_setorial,58215693000110,SEGUE ÁRTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,7,600000000.0,510000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
43,Onda 1 - top 50 por volume,confianca_media_alto_volume,42462120000150,SIFRA ENERGY PODIUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Infra/Energia,Energia/infra,media,3,600000000.0,600000000.0,sem_curadoria_local,nome_emissor: regex `ENERGY`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
44,Onda 1 - top 50 por volume,confianca_media_alto_volume,65505678000171,ERYTHRINA FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,2,580000000.0,580000000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
45,Onda 1 - top 50 por volume,confianca_media_alto_volume,62790827000101,MRV PRÓ SOLUTO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IMOBILIÁRIOS DE RESP LIMITADA,Imobiliário,Imobiliário,media,1,570000000.0,570000000.0,sem_curadoria_local,nome_emissor: regex `IMOBILIARIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
46,Onda 1 - top 50 por volume,confianca_media_alto_volume,55374251000128,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BLUE II SEGMENTO CRÉDITO CORPORATIVO DE RESP LTDA,Crédito PJ,Recebíveis comerciais/multissetorial,media,1,570000000.0,570000000.0,sem_curadoria_local,nome_emissor: regex `CREDITO CORPORATIVO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
47,Onda 1 - top 50 por volume,confianca_media_alto_volume,53216449000158,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Judicial/Precatórios/NPL,Não padronizado/NPL,media,1,560000000.0,0.0,sem_curadoria_local,nome_emissor: regex `NAO PADRONIZADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
48,Onda 1 - top 50 por volume,confianca_media_alto_volume,57584334000177,TAYA TECH FGTS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Crédito PF,FGTS,media,4,559619750.0,559619750.0,sem_curadoria_local,nome_emissor: regex `\bFGTS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
49,Onda 1 - top 50 por volume,sem_classificacao_setorial,66057868000136,AMETISTA III FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,548000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
50,Onda 1 - top 50 por volume,sem_classificacao_setorial,40801446000130,CTG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,11,533000000.04,533000000.04,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
51,Onda 2 - top 150 por volume,confianca_media_alto_volume,37284201000178,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Imobiliário,Imobiliário,media,12,530000021.24,380000000.84,sem_curadoria_local,nome_emissor: regex `IMOBILIARIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
