rank,cnpj_classe,denominacao,source_type,source_id,source_reference_date,source_delivery_date,source_title,supports_fields,source_url,download_url,fund_manager_url,local_path,read_status,consulted_at,source_note
3,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CVM/FundosNet,fundosnet:993253,16/09/2025,17/09/2025 08:07,Oferta Pública de Distribuição de Cotas — Anúncio de Encerramento,oferta secundária de 2025; volume; séries,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=993253&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993253,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,/Users/matheusjprates/fidc/data/raw/industry_large_funds/62393679000183/993253_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
4,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,ANBIMA Data,anbima:53286499000101:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53286499000101,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,A leitura documental é compatível com Outros/Multicarteira Outros.
4,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CVM Informe Mensal FIDC,universe_latest:2026-05:53286499000101,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53286499000101,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
4,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CVM/FundosNet,fundosnet:579248,21/12/2023,04/01/2024 11:03,Atos de Deliberação do Administrador — Instrumento Particular de Constituição/Encerramento do Fundo,constituição e primeira emissão; valor não localizado,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579248&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=579248,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53286499000101,/Users/matheusjprates/fidc/data/raw/industry_large_funds/53286499000101/579248_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
4,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,CVM/FundosNet,fundosnet:579249,21/12/2023,04/01/2024 11:04,Regulamento,política de investimento; instrumentos de crédito; prestadores,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=579249&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=579249,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53286499000101,/Users/matheusjprates/fidc/data/raw/industry_large_funds/53286499000101/579249_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
5,53263761000100,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,ANBIMA Data,anbima:53263761000100:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53263761000100,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,O cadastro ANBIMA traz Outros/Multicarteira Outros; a política permite carteira judicial/NPL ampla.
5,53263761000100,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM Informe Mensal FIDC,universe_latest:2026-05:53263761000100,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53263761000100,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
5,53263761000100,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM/FundosNet,fundosnet:830304,03/02/2025,03/02/2025 09:50,Regulamento,"política ampla de NPL, precatórios e créditos litigiosos; subclasses",https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=830304&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=830304,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=53263761000100,/Users/matheusjprates/fidc/data/raw/industry_large_funds/53263761000100/830304_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
6,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,ANBIMA Data,anbima:52242420000188:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52242420000188,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,"A leitura documental é compatível com Financeiro/Crédito Pessoal do snapshot, embora o foco contratual seja mais específico."
6,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM Informe Mensal FIDC,universe_latest:2026-05:52242420000188,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52242420000188,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
6,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM/FundosNet,fundosnet:523931,19/09/2023,20/09/2023 17:44,Atos de Deliberação do Administrador — Instrumento Particular de Constituição/Encerramento do Fundo,constituição e primeira emissão de 2023; volume,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=523931&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=523931,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52242420000188,/Users/matheusjprates/fidc/data/raw/industry_large_funds/52242420000188/523931_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
6,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM/FundosNet,fundosnet:938243,30/06/2025,02/07/2025 17:28,Regulamento,originação; CCB; FGTS e consignado; devedores,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=938243&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=938243,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52242420000188,/Users/matheusjprates/fidc/data/raw/industry_large_funds/52242420000188/938243_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
7,65473848000183,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,ANBIMA — ausência/evidência documental,anbima:65473848000183:2025-12-29,2025-12-29,,snapshot ANBIMA consultado sem correspondência por CNPJ da classe,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=65473848000183,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,nao_identificado,2026-07-16,O nome PAN AUTO não é evidência de crédito automotivo. O classificador local baseado no nome deve ser descartado; a única evidência econômica primária localizada foi a aquisição de precatórios federais no 1T26.
7,65473848000183,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,CVM Informe Mensal FIDC,universe_latest:2026-05:65473848000183,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=65473848000183,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
7,65473848000183,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,CVM/FundosNet,fundosnet:1142758,18/03/2026,23/03/2026 20:27,Atos de Deliberação do Administrador — Instrumento Particular de Emissão de Cotas,incorporação de parcela cindida da classe BTG Empresas,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1142758&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1142758,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=65473848000183,/Users/matheusjprates/fidc/data/raw/industry_large_funds/65473848000183/1142758_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
7,65473848000183,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,CVM/FundosNet,fundosnet:1196918,31/03/2026,não identificado no arquivo local,Informe Trimestral — Demonstrativo Trimestral de FIDC,relatório 1T26; aquisição de precatórios federais; cessões; garantias; pré-pagamentos,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1196918&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1196918,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=65473848000183,/Users/matheusjprates/fidc/outputs/analysis/raw_top20_new/65473848000183/1196918_informe_trimestral.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
8,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,ANBIMA Data,anbima:52610624000124:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,"A leitura documental é compatível com Agro, Indústria e Comércio/Recebíveis Comerciais."
8,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM Informe Mensal FIDC,universe_latest:2026-05:52610624000124,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
8,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM/FundosNet,fundosnet:551833,19/10/2023,13/11/2023 18:53,Atos de Deliberação do Administrador — Instrumento Particular de Constituição/Encerramento do Fundo,constituição em 2023; índice histórico de subordinação de 15%,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=551833&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=551833,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,/Users/matheusjprates/fidc/data/raw/industry_large_funds/52610624000124/551833_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
8,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CVM/FundosNet,fundosnet:794164,21/11/2024,04/12/2024 09:51,Regulamento,cedente; devedores; energia; classes; subordinação,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=794164,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=52610624000124,/Users/matheusjprates/fidc/data/raw/industry_large_funds/52610624000124/794164_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
9,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,ANBIMA Data,anbima:28169275000172:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,O cadastro ANBIMA traz Outros/Multicarteira Outros; a estrutura econômica documental é de meios de pagamento.
9,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,CVM Informe Mensal FIDC,universe_latest:2026-05:28169275000172,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
9,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,CVM/FundosNet,fundosnet:1148251,30/03/2026,30/03/2026 16:41,Oferta Pública de Distribuição de Cotas — Anúncio de Início,oferta de 2026; volume e série,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1148251&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1148251,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,/Users/matheusjprates/fidc/data/raw/industry_large_funds/28169275000172/1148251_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
9,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,CVM/FundosNet,fundosnet:1149521,25/03/2026,31/03/2026 10:52,Regulamento,cedentes; PagSeguro como devedor; transações de pagamento; subordinação,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1149521,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,/Users/matheusjprates/fidc/data/raw/industry_large_funds/28169275000172/1149521_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
9,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,CVM/FundosNet,fundosnet:773514,04/11/2024,07/11/2024 14:01,Oferta Pública de Distribuição de Cotas — Anúncio de Início,encerramento e integralização da oferta da 3ª série em 2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=773514&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=773514,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=28169275000172,/Users/matheusjprates/fidc/data/raw/industry_large_funds/28169275000172/773514_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
10,63953620000165,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,ANBIMA — ausência/evidência documental,anbima:63953620000165:2025-12-29,2025-12-29,,snapshot ANBIMA consultado sem correspondência por CNPJ da classe,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=63953620000165,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,nao_identificado,2026-07-16,Tipo/Foco não identificado no snapshot ANBIMA de 29/12/2025; o anexo documental descreve consignado privado.
10,63953620000165,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,CVM Informe Mensal FIDC,universe_latest:2026-05:63953620000165,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=63953620000165,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
10,63953620000165,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,CVM/FundosNet,fundosnet:1087883,08/01/2026,19/01/2026 21:35,Atos de Deliberação do Administrador — Instrumento Particular de Emissão de Cotas,colocação privada de cotas; volume agregado das classes,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1087883&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1087883,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=63953620000165,/Users/matheusjprates/fidc/data/raw/industry_large_funds/63953620000165/1087883_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
