veiculo_id,serie,saldo_atual_R$,indexador,taxa_contratada,taxa_equivalente_CDI_hoje,taxa_equivalente_pre_hoje,spread_sobre_DI_bps,custo_ponderado_da_camada,custo_medio_ponderado_das_cotas_publicas,custo_da_subordinada,custos_fixos_anualizados_bps,custo_distribuicao_uma_vez_bps,custo_all_in_bps,data_base,fonte_id,status,nota_metodo
FIDC_III,Subordinada Subordinada 1 |,17229406.709922303,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_III,Subordinada Mezanino 1 | Série 1,21132888.919999998,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_III,Subordinada Mezanino 1 | Série 2,8467880.59,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_IV,Senior 1,17499900.909322884,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_V,Senior Série 1,53414326.570529036,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_V,Subordinada Subordinada 1 |,4982323.29001115,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_V,Subordinada Mezanino 1 | Série 1,9142698.73997136,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VI,Senior Série 1,140122607.14304927,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VI,Subordinada Subordinada 1 |,31546685.779855285,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VI,Subordinada Mezanino 1 | Série 1,28149052.760294303,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VI,Subordinada Mezanino 2 | Série 1,11298715.81003567,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VII,Senior Série 1,458534164.8906379,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VII,Subordinada Mezanino 1 | Série 1,91855704.87008367,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VII,Subordinada Mezanino 2 | Série 1,36852012.199839145,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_VII,Subordinada Subordinada 1 |,32385570.000069797,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K1,Série 1,n/d,Pré,"11,51% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI1_PROSP_20240216 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K1,Série 2,n/d,Pré,"12,74% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI1_PROSP_20240216 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K1,Série 3,n/d,Pré,"16,48% a.a. (número; extenso 17,48%)",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI1_PROSP_20240216 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K1,Série 4,n/d,Pré,"20,95% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI1_PROSP_20240216 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K1,Série 5,n/d,Pré + residual,"9,86% a.a. + prêmio residual",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI1_PROSP_20240216 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K2,Série 1,251034895.0,Pré,"13,1926% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K2,Série 2,72227698.0,Pré,"14,5663% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K2,Série 3,40262437.0,DI+,"DI + 6,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K2,Série 4,16140523.0,DI+,"DI + 10,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K2,Série 5,20035464.0,Residual,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 1,280220422.0,Pré,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 2,91488714.0,DI%,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 3,106260503.0,Pré,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 4,59166297.0,DI+,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 5,25214984.0,DI+,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K3,Série 6,25502014.0,Residual,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 1,n/d,Pré,"14,2216% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 2,n/d,Pré,"14,2216% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 3,n/d,Pré,"15,3565% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 4,n/d,Pré,"15,3565% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 5,n/d,DI+,"DI + 5,50% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 6,n/d,DI+,"DI + 10,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_K4,Série 7,n/d,Pré + residual,"13,2480% a.a. + residual",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 1,n/d,Pré,"14,81% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 2,n/d,DI%,"104,00% do DI",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 3,n/d,Pré,"15,78% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 4,n/d,DI+,"DI + 5,50% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 5,n/d,DI+,"DI + 8,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V174,Série 6,n/d,Pré + residual,"14,07% a.a. + residual",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417 | CVM_FUNDOSNET_TERMOS_CRI_20260822 | CVM_CRI_2026_CLASSE,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V177,Série 1,n/d,DI+,"DI + 1,50% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_FUNDOSNET_TERMOS_CRI_20260822,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V177,Série 2,n/d,DI+,"DI + 2,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_FUNDOSNET_TERMOS_CRI_20260822,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V177,Série 3,n/d,DI+,"DI + 5,50% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_FUNDOSNET_TERMOS_CRI_20260822,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V177,Série 4,n/d,DI+,"DI + 8,00% a.a.",n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_FUNDOSNET_TERMOS_CRI_20260822,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
CRI_V177,Série 5,n/d,DI% + residual,100% do DI + prêmio final residual,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_FUNDOSNET_TERMOS_CRI_20260822,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_I,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_I_REG_202411,n/d,"admin 0,074% + gestão 0,20% + custódia 0,031%; mínimos aplicáveis"
FIDC_II,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_II_REG_202412,n/d,"admin por fórmula/escala; gestão 0,12%; custódia 0,02%; cobrança 1% da carteira líquida de PDD"
FIDC_III,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_III_REG_202512,n/d,"admin 0,04%; gestão 0,20%; custódia 0,02%; cobrança 1% da carteira líquida; mínimos"
FIDC_IV,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_IV_REG_202510,n/d,"admin R$15 mil/mês; gestão deduzida; custódia 0,02%; adicional inicial"
FIDC_V,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_V_REG_202411,n/d,"admin 0,09% + gestão 0,30% + custódia 0,03%; mínimos"
FIDC_VI,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_VI_REG_202605,n/d,"admin 0,10% + gestão 0,20% + custódia 0,02%; distribuição até 0,60%"
FIDC_VII,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,DOC_FIDC_VII_REG_202605,n/d,"admin 0,10% + gestão 0,20% + custódia 0,02%; distribuição até 0,60%"
CRI_K1,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,235.66,n/d,2026-08-22,ANX_CRI1_PROSP_20240216,n/d,"distribuição ampla R$13,8567 mi / 2,3566% da oferta pública; rating anual R$100 mil"
CRI_K2,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI2_RATING_202406,n/d,"Custos públicos insuficientes para anualizar todos os componentes. O all-in permanece n/d; preço de cessão, hedge e capital retido também não estão capturados."
CRI_K3,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI3_LAM_PREL_20250422,n/d,"Custos públicos insuficientes para anualizar todos os componentes. O all-in permanece n/d; preço de cessão, hedge e capital retido também não estão capturados."
CRI_K4,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRI4_INICIO_20250929,n/d,"Custos públicos insuficientes para anualizar todos os componentes. O all-in permanece n/d; preço de cessão, hedge e capital retido também não estão capturados."
CRI_V174,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,ANX_CRIV_LAM_PREL_20260417,n/d,"Custos públicos insuficientes para anualizar todos os componentes. O all-in permanece n/d; preço de cessão, hedge e capital retido também não estão capturados."
CRI_V177,Resumo do veículo,n/d,misto,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FUNDOSNET_VERT177_20260720,n/d,"Custos públicos insuficientes para anualizar todos os componentes. O all-in permanece n/d; preço de cessão, hedge e capital retido também não estão capturados."
