Nome,CLOUDWALK KICK ASS I,CLOUDWALK AKIRA I,CLOUDWALK KICK ASS II,CLOUDWALK AKIRA II FIDC,CLOUDWALK BIG PICTURE I,CLOUDWALK BIG PICTURE II,CLOUDWALK BIG PICTURE III,CLOUDWALK BIG PICTURE IV,CLOUDWALK A.I.,CLOUDWALK PI,CLOUDWALK BELA
"Emissões detectadas (data, classe, preço e volume)",01/09/2021 · cotas subordinadas do Fundo (“ Cotas · Subordinada: R$ 6 mm,21/01/2022 · 1ª série: R$ 500 mm,"02/09/2021 · cotas subordinadas do Fundo (“ Cotas · Subordinada: R$ 18 mm
21/01/2022 · 1ª série: R$ 1.500 mm
23/08/2023 · 1ª Série: R$ 950 mm
31/10/2024 · classe sênior · Sênior: termos econômicos não identificados","21/01/2022 · 1ª série: R$ 1.500 mm
23/08/2023 · 1ª Série: R$ 1.500 mm
19/08/2024 · 1ª Série: R$ 1.500 mm
29/08/2024 · 1ª Série: R$ 1.500 mm
28/02/2025 · 1ª Série: R$ 1.500 mm","05/03/2024 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
14/03/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: R$ 878 mm
14/03/2024 · Cotas Seniores e da Subclasse de Cotas Subordinadas · Sênior: termos econômicos não identificados
15/04/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: termos econômicos não identificados
22/04/2024 · 1ª Série: R$ 878 mm
25/04/2024 · COTAS SENIORES DA · Sênior: R$ 878 mm
23/12/2025 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
23/12/2025 · Cotas Seniores emitidas em · Sênior: termos econômicos não identificados","05/03/2024 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
14/03/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: R$ 291 mm
14/03/2024 · Cotas Seniores e da Subclasse de Cotas Subordinadas · Sênior: termos econômicos não identificados
15/04/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: termos econômicos não identificados
25/04/2024 · COTAS SENIORES DA · Sênior: R$ 291 mm
22/12/2025 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
22/12/2025 · Cotas Seniores emitidas em · Sênior: termos econômicos não identificados","05/03/2024 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
14/03/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: R$ 142 mm
14/03/2024 · Cotas Seniores e da Subclasse de Cotas Subordinadas · Sênior: termos econômicos não identificados
15/04/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: termos econômicos não identificados
22/04/2024 · 1ª Série: R$ 142 mm
25/04/2024 · COTAS SENIORES DA · Sênior: R$ 142 mm
22/12/2025 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
22/12/2025 · Cotas Seniores emitidas em · Sênior: termos econômicos não identificados","05/03/2024 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
14/03/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: R$ 120 mm
14/03/2024 · Cotas Seniores e da Subclasse de Cotas Subordinadas · Sênior: termos econômicos não identificados
16/04/2024 · COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE · Sênior: termos econômicos não identificados
22/04/2024 · 1ª Série: R$ 240 mm
25/04/2024 · COTAS SENIORES DA · Sênior: R$ 240 mm
22/12/2025 · Cotas Seniores e da Subclasse de Cotas · Sênior: termos econômicos não identificados
22/12/2025 · Cotas Seniores emitidas em · Sênior: termos econômicos não identificados","07/10/2024 · Cotas Seniores · Sênior: termos econômicos não identificados
11/10/2024 · Cotas Seniores · Sênior: termos econômicos não identificados
11/10/2024 · cotas seniores da Classe (“Cotas Seniores ”) e a 1ª · Sênior: termos econômicos não identificados
14/10/2024 · cotas seniores da 1ª (primeira) emissão de cotas · Sênior: R$ 1.680 mm
01/11/2024 · Cotas Seniores · Sênior: termos econômicos não identificados
07/11/2024 · COTAS SENIORES E DE COTAS SUBORDINADAS · Sênior: termos econômicos não identificados
04/09/2025 · Cotas Seniores · Sênior: termos econômicos não identificados","11/04/2025 · 1ª série: termos econômicos não identificados
11/04/2025 · COTAS SENIORES DA 1ª (PRIMEIRA) E DA 2ª · Sênior: R$ 3.142 mm
11/04/2025 · Cotas Seniores · Sênior: termos econômicos não identificados
22/04/2025 · 1ª série: R$ 1.650 mm
24/04/2025 · 1ª série: R$ 3.142 mm
04/09/2025 · Cotas Seniores · Sênior: termos econômicos não identificados","09/09/2025 · Cotas Seniores · Sênior: termos econômicos não identificados
12/09/2025 · COTAS SENIORES · Sênior: R$ 4.200 mm
16/09/2025 · COTAS SENIORES · Sênior: termos econômicos não identificados
19/02/2026 · Cotas Seniores · Sênior: termos econômicos não identificados
19/02/2026 · Cotas Seniores e · Sênior: termos econômicos não identificados
27/02/2026 · COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE · Sênior: R$ 5.500 mm
20/04/2026 · COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE · Sênior: termos econômicos não identificados"
Remuneração-alvo por emissão detectada,—,—,—,—,—,—,—,—,"14/10/2024 · cotas seniores da 1ª (primeira) emissão de cotas · Sênior: DI + 0,85%","11/04/2025 · 1ª série: DI + 0,95%",—
Amortização/vencimento por emissão detectada,—,—,—,—,—,—,—,—,—,—,—
Regulamento-base dos thresholds,05/09/2024 · 2024,24/07/2025 · 2025,05/09/2024 · 2024,28/02/2025 · 2025,23/12/2025 · 2025,22/12/2025 · 2025,22/12/2025 · 2025,22/12/2025 · 2025,04/09/2025 · 2025,04/09/2025 · 2025,19/02/2026 · 1117954_regulamento_regulamento_1117954_2026-02-19.pdf
Alocação mínima em DCs,>= 3%; >= 50%,>= 50%,>= 50%,>= 50%,>= 50%,>= 50%,>= 50%,>= 5%; >= 50%,>= 50%,>= 50%,>= 33%; >= 50%
Subordinação mínima,—,—,—,—,—,—,>= 5%,—,">= 3%; >= 2,75%; >= 2,5%; 15,5%; +2",">= 16%; >= 15,75%; >= 15,5%; 15,5%; +1",">= 7%; >= 14,25%; >= 0,5034%; >= 14%"
Evento de avaliação por atraso,>= 3%; 3%,—,>= 5%; 5%,—,—,—,—,>= 5%; 5%,—,—,—
Liquidação/vencimento por atraso,—,—,—,—,—,—,—,—,—,—,—
Cobertura mínima PDD,—,—,—,—,—,—,—,—,—,—,—
Reserva/caixa mínimo,—,—,—,—,—,—,—,—,">= 52,5%",">= 52,5%",">= 52,5%"
Hedges permitidos,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,texto; Regra textual de derivativos/hedge; verificar observação e fonte.,—,—,<=; texto; Regra textual de derivativos/hedge; verificar observação e fonte.
